lesson_id,grade,domain_id,reviewer,status,notes
us-ca-math-middle-school-textbooks-v2-p6-6-rp-ratios,P6,6.RP,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-p6-6-ns-rational-numbers,P6,6.NS,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-p6-6-ee-expressions-equations,P6,6.EE,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-p6-6-g-area-volume,P6,6.G,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-p6-6-sp-distributions,P6,6.SP,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s1-7-rp-proportions,S1,7.RP,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s1-7-ns-rational-operations,S1,7.NS,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s1-7-ee-linear-expressions,S1,7.EE,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s1-7-g-scale-circles-angles,S1,7.G,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s1-7-sp-inference-probability,S1,7.SP,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s2-8-ns-real-numbers,S2,8.NS,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s2-8-ee-exponents-linear-systems,S2,8.EE,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s2-8-f-function-relationships,S2,8.F,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s2-8-g-transformations-pythagorean-volume,S2,8.G,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
us-ca-math-middle-school-textbooks-v2-s2-8-sp-bivariate-data,S2,8.SP,S18 automated full-scope reviewer under owner conditional release request,accept,Accepted by full-scope automated S18 checklist; owner conditional release request remains the human release authorization.
