reviewIndex,questionId,grade,semester,knowledgePointId,unitTitle,type,difficulty,promptZhHans,answer,explanationZhHans,sampleReason,decision,issueType,reviewerNotes,actionRequired
1,pep-junior-candidate-k01-mc-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升17℃，傍晚又下降4℃。傍晚气温是多少？,0,按正负变化计算：-13+17-4=0，所以傍晚气温是0℃。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
2,pep-junior-candidate-k01-mc-015,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Core,某地清晨气温为-18℃，中午上升23℃，傍晚又下降6℃。傍晚气温是多少？,-1,按正负变化计算：-18+23-6=-1，所以傍晚气温是-1℃。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
3,pep-junior-candidate-k01-mc-028,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,multiple-choice,Foundation,某地清晨气温为-13℃，中午上升16℃，傍晚又下降7℃。傍晚气温是多少？,-4,按正负变化计算：-13+16-7=-4，所以傍晚气温是-4℃。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
4,pep-junior-candidate-k01-fi-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-10，点B表示4。A、B两点之间的距离是____。,14,两点距离为4-(-10)=14，所以距离是14。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
5,pep-junior-candidate-k01-fi-014,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-7，点B表示8。A、B两点之间的距离是____。,15,两点距离为8-(-7)=15，所以距离是15。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
6,pep-junior-candidate-k01-fi-027,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,fill-in,Foundation,数轴上点A表示-12，点B表示5。A、B两点之间的距离是____。,17,两点距离为5-(-12)=17，所以距离是17。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
7,pep-junior-candidate-k01-sa-001,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算并说明符号：-33+32-21。,-22,先合并正负变化，-33+32-21=-22，结果为负数。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
8,pep-junior-candidate-k01-sa-014,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算并说明符号：-46+29-11。,-28,先合并正负变化，-46+29-11=-28，结果为负数。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
9,pep-junior-candidate-k01-sa-027,S1,upper,pep-junior-s1-upper-rational-numbers,有理数与数轴基础,short-answer,Foundation,计算并说明符号：-28+26-24。,-26,先合并正负变化，-28+26-24=-26，结果为负数。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
10,pep-junior-candidate-k02-mc-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Core,化简：(3x+3)+(3x-4)。,6x-1,同类项合并得(3+3)x+(3-4)=6x-1。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
11,pep-junior-candidate-k02-mc-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Core,化简：(6x+9)+(1x-3)。,7x+6,同类项合并得(6+1)x+(9-3)=7x+6。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
12,pep-junior-candidate-k02-mc-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,multiple-choice,Core,化简：(4x+8)+(3x-2)。,7x+6,同类项合并得(4+3)x+(8-2)=7x+6。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
13,pep-junior-candidate-k02-fi-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Core,解方程：3x+12=27。x=____。,5,两边减12得3x=15，再除以3，x=5。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
14,pep-junior-candidate-k02-fi-015,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Core,解方程：5x+6=56。x=____。,10,两边减6得5x=50，再除以5，x=10。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
15,pep-junior-candidate-k02-fi-028,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,fill-in,Core,解方程：2x+5=15。x=____。,5,两边减5得2x=10，再除以2，x=5。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
16,pep-junior-candidate-k02-sa-001,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Core,每本练习本x元，买4本后又花8元买笔，共用24元。写出求x的方程。,4x+8=24,4本练习本花4x元，加上8元等于24元，方程是4x+8=24。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
17,pep-junior-candidate-k02-sa-014,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Core,每本练习本x元，买7本后又花7元买笔，共用49元。写出求x的方程。,7x+7=49,7本练习本花7x元，加上7元等于49元，方程是7x+7=49。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
18,pep-junior-candidate-k02-sa-027,S1,upper,pep-junior-s1-upper-expressions-linear-equations,整式初步与一元一次方程,short-answer,Core,每本练习本x元，买5本后又花6元买笔，共用16元。写出求x的方程。,5x+6=16,5本练习本花5x元，加上6元等于16元，方程是5x+6=16。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
19,pep-junior-candidate-k03-mc-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Foundation,两个角组成平角，其中一个角是42°，另一个角是多少？,138°,平角为180°，另一个角是180°-42°=138°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
20,pep-junior-candidate-k03-mc-014,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Foundation,两个角组成平角，其中一个角是133°，另一个角是多少？,47°,平角为180°，另一个角是180°-133°=47°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
21,pep-junior-candidate-k03-mc-027,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,multiple-choice,Foundation,两个角组成平角，其中一个角是124°，另一个角是多少？,56°,平角为180°，另一个角是180°-124°=56°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
22,pep-junior-candidate-k03-fi-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Foundation,线段AB长14厘米，点C是AB的中点。AC=____。,7厘米,中点把线段平均分成两段，AC=14÷2=7厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
23,pep-junior-candidate-k03-fi-014,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Foundation,线段AB长40厘米，点C是AB的中点。AC=____。,20厘米,中点把线段平均分成两段，AC=40÷2=20厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
24,pep-junior-candidate-k03-fi-027,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,fill-in,Foundation,线段AB长66厘米，点C是AB的中点。AC=____。,33厘米,中点把线段平均分成两段，AC=66÷2=33厘米。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
25,pep-junior-candidate-k03-sa-001,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Foundation,两个角互余，其中一个角是40°。求另一个角的度数，并写出理由。,50°,互余两角和为90°，所以另一个角是90°-40°=50°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
26,pep-junior-candidate-k03-sa-015,S1,upper,pep-junior-s1-upper-geometric-figures,几何图形初步,short-answer,Foundation,两个角互余，其中一个角是69°。求另一个角的度数，并写出理由。,21°,互余两角和为90°，所以另一个角是90°-69°=21°。,fixed-cell-first-middle-last,approved,none,"S18 sample review found the item answerable, grade-appropriate, source-safe, and answer/explanation aligned.",none
