id,grade,semester,type,difficulty,topicId,topicTitleZhHans,volume,chapter,status,severity,confidence,sourceStage,solvableStatus,ragFitStatus,answerMatchStatus,explanationMatchStatus,mcUniquenessStatus,independentAnswer,correctedAnswer,issueTags,qaOutputConcernTags,rationaleZhHans,answer,acceptedAnswers,stageASolvableStatus,stageASeverity,stageAIndependentAnswer,stageBAnswerMatchStatus,stageBExplanationMatchStatus,stageBMcUniquenessStatus,stageBCorrectedAnswer,stageCSeverity,promptZhHans
bnu-high-ds-v1-s4-004,S4,upper,multiple-choice,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,pass,充分不必要条件,充分不必要条件,math_error|answer_mismatch|explanation_contradiction,,"题目可解，p的解集为[1,3]，q的解集为[2,3]，p是q的真子集，故p⇒q但q⇏p，p是q的充分不必要条件。存储答案“充要条件”错误，解析虽指出p不是q的子集、q是p的子集，却错误推断为必要不充分，且与存储答案矛盾。正确选项为“充分不必要条件”。",充要条件,充要条件,pass,none,充分不必要条件,fail,fail,pass,必要不充分条件,blocker,已知条件p：|x - 2| ≤ 1，条件q：x² - 5x + 6 ≤ 0，则p是q的（ ）
bnu-high-ds-v1-s4-007,S4,upper,multiple-choice,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-c,pass,pass,pass,pass,pass,"[1, 3]",,,,"题目可解，解集正确，补集为[1,3]，选项唯一，解析一致，无任何问题。","[1, 3]","[1, 3]",pass,none,"[1, 3]",pass,pass,pass,,none,已知全集U=R，集合A={x | x² - 4x + 3 > 0}，则∁ᵤA等于（ ）
bnu-high-ds-v1-s4-009,S4,upper,fill-in,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"(-∞, +∞)","(-∞, +∞)",math_error|answer_mismatch|explanation_contradiction,self_correction_language|overlong_rationale,"不等式 2^{x²-3x} > 1/8 等价于 x²-3x > -3，即 x²-3x+3 > 0，判别式 Δ = -3 < 0，恒成立，解集为 R，区间表示为 (-∞, +∞)。存储答案 (-∞, 1) ∪ (2, +∞) 错误，解析虽正确推导出 R 但与答案矛盾，属于严重数学错误。","(-∞, 1) ∪ (2, +∞)","(-∞, 1) ∪ (2, +∞) | (-∞,1)∪(2,+∞)",pass,none,"(-∞, -1) ∪ (4, +∞)",fail,fail,not_applicable,"(-∞, +∞)",blocker,不等式 2^{x² - 3x} > 1/8 的解集用区间表示为______。
bnu-high-ds-v1-s4-012,S4,upper,fill-in,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,fail,pass,fail,fail,not_applicable,无解（条件矛盾）,无解（条件矛盾）,math_error|explanation_contradiction|unsolvable,overlong_rationale,"命题 p：|x-a|<1 ⇒ a-1<x<a+1；命题 q：x²-3x+2<0 ⇒ 1<x<2。若 p 是 q 的充分不必要条件，则 p⇒q 且 q⇏p，即 (a-1, a+1) 是 (1,2) 的真子集。需满足 a-1≥1 且 a+1≤2，且等号不能同时成立，解得 a≥2 且 a≤1，矛盾，无解。存储答案 [2,3] 错误，解析推导与答案矛盾，题目条件导致无解，属于数学错误。","[2, 3]","[2, 3]",pass,none,"[2, 3]",fail,fail,not_applicable,无解（条件矛盾）,blocker,设命题 p：|x - 2| < 1，命题 q：x² - 3x + 2 < 0。若 p 是 q 的充分不必要条件，则实数 a 的取值范围是______。（注：原题中 a 未出现，此处改为：设命题 p：|x - a| < 1，命题 q：x² - 3x + 2 < 0。若 p 是 q 的充分不必要条件，则实数 a 的取值范围是______。）
bnu-high-ds-v1-s4-014,S4,upper,short-answer,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"[-2, 2]","[-2, 2]",math_error|answer_mismatch|explanation_contradiction,,"不等式组解集应为 [-2, 2]，存储答案 [-2, 4) 错误，解析虽指出正确解集但与答案矛盾，构成严重错误。","[-2, 4)","[-2, 4)",pass,none,"[-2, 4)",fail,fail,not_applicable,"[-2, 2]",blocker,"解不等式组：{ 2x - 1 < x + 3,  x² - 4 ≤ 0 }，并将解集用区间表示。"
bnu-high-ds-v1-s4-017,S4,upper,short-answer,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,"(2, 3]",,,overlong_rationale,"存储答案与独立解一致，均为(-∞,-1]∪[3,4)，解析正确。","(-∞, -1] ∪ [3, 4)","(-∞, -1] ∪ [3, 4)",pass,none,"(2, 3]",pass,pass,not_applicable,,,已知函数 f(x) = √(x² - 2x - 3) 的定义域为 A，g(x) = ln(4 - x) 的定义域为 B。求 A ∩ B，并用区间表示。
bnu-high-ds-v1-s4-019,S4,upper,multiple-choice,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,fail,pass,fail,fail,fail,,,ambiguous_mc|bad_options|explanation_contradiction,,单选题存在两个正确选项：A ∈ B 和 {1} ∈ B 均正确，解析也承认 {1} ∈ B 正确，但答案仅选 A，导致多解，题目不可用。,A ∈ B,A ∈ B,pass,none,A ∈ B,fail,fail,fail,,blocker,"已知集合 A = {1, 2, 3, 4}，B = {x | x ⊆ A}，则下列关系中正确的是（ ）"
bnu-high-ds-v1-s4-020,S4,upper,short-answer,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,充要条件,充要条件,math_error|answer_mismatch|explanation_contradiction,self_correction_language,p: |x-1|≤2 解得 -1≤x≤3；q: x²-2x-3≤0 解得 -1≤x≤3。解集相同，p⇔q，应为充要条件。存储答案为“充分不必要条件”，解析虽指出错误但未修正答案，存在数学错误和答案矛盾。,充分不必要条件,充分不必要条件,pass,none,充分不必要条件,fail,fail,not_applicable,充要条件,blocker,已知 p：|x - 1| ≤ 2，q：x² - 2x - 3 ≤ 0。判断 p 是 q 的什么条件，并说明理由。
bnu-high-ds-v1-s4-022,S4,upper,multiple-choice,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-c,pass,pass,pass,pass,pass,"(-∞,1]∪[3,+∞)",,,,"题目可解，解集M=(1,3)，补集为(-∞,1]∪[3,+∞)，选项A正确且唯一。答案与解析均匹配，无任何问题。","(-∞,1]∪[3,+∞)","(-∞,1]∪[3,+∞)",pass,none,"(-∞,1]∪[3,+∞)",pass,pass,pass,,none,设全集U=R，集合M={x | |x-2| < 1}，则∁UM等于（ ）
bnu-high-ds-v1-s4-024,S4,upper,fill-in,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,0,0,answer_mismatch|explanation_contradiction,,"题目可解，符合预备知识范围。独立求解得 a=-1, b=1, a+b=0。存储答案为-1，与正确结果0不符；解析过程得出0但最终答案错误，存在答案不匹配和解释矛盾。",-1,-1,pass,none,0,fail,fail,not_applicable,0,blocker,"若关于x的不等式ax² + bx + 2 > 0的解集为(-1, 2)，则a + b的值为______。"
