"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","remediationReason","mandatoryOriginalP2","adjacentOverusedFamily","promptZhHans","answer","acceptedAnswers","reviewNotes"
"hjb-high-ds-v3-s4-001","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","full-package-template-normalization","no","no","V3修复变式0001：选择：设集合 A={1,2,3,...,118}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。","13","13","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-002","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","mandatory-original-p2-remediation","yes","no","V3修复变式0002：填空：设集合 A={1,2,3,...,31}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","6","6","V3 remediated candidate row; remediation reason: mandatory-original-p2-remediation. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-003","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","full-package-template-normalization","no","no","V3修复变式0003：解答：设集合 A={1,2,3,...,73}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","12","12","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-004","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","mandatory-original-p2-remediation","yes","no","V3修复变式0004：选择：设集合 A={1,2,3,...,134}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","23","23","V3 remediated candidate row; remediation reason: mandatory-original-p2-remediation. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-005","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","full-package-template-normalization","no","no","V3修复变式0005：填空：设集合 A={1,2,3,...,169}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。","14","14","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-006","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","full-package-template-normalization","no","no","V3修复变式0006：解答：设集合 A={1,2,3,...,88}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。","22","22","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-007","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","full-package-template-normalization","no","no","V3修复变式0007：选择：设集合 A={1,2,3,...,84}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","14","14","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","mandatory-original-p2-remediation","yes","no","V3修复变式0008：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","6","6","V3 remediated candidate row; remediation reason: mandatory-original-p2-remediation. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-009","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","full-package-template-normalization","no","no","V3修复变式0009：解答：设集合 A={1,2,3,...,68}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","8","8","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-010","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","full-package-template-normalization","no","no","V3修复变式0010：选择：设集合 A={1,2,3,...,34}，B 为 A 中能被 4 整除的数，C 为 A 中能被 5 整除的数。求只属于 B 和 C 中一个集合的元素个数。","12","12","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-011","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","full-package-template-normalization","no","no","V3修复变式0011：填空：设集合 A={1,2,3,...,32}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-012","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","full-package-template-normalization","no","no","V3修复变式0012：解答：设集合 A={1,2,3,...,89}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。","22","22","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-013","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","full-package-template-normalization","no","no","V3修复变式0013：选择：设集合 A={1,2,3,...,18}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-014","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","full-package-template-normalization","no","no","V3修复变式0014：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","7","7","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-015","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","full-package-template-normalization","no","no","V3修复变式0015：解答：设集合 A={1,2,3,...,58}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-016","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","full-package-template-normalization","no","no","V3修复变式0016：选择：设集合 A={1,2,3,...,57}，B 为 A 中能被 5 整除的数，C 为 A 中能被 6 整除的数。求只属于 B 和 C 中一个集合的元素个数。","18","18","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-017","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","full-package-template-normalization","no","no","V3修复变式0017：填空：设集合 A={1,2,3,...,25}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。","4","4","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-018","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","full-package-template-normalization","no","no","V3修复变式0018：解答：设集合 A={1,2,3,...,49}，B 为 A 中能被 4 整除的数，C 为 A 中能被 5 整除的数。求只属于 B 和 C 中一个集合的元素个数。","17","17","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-019","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","full-package-template-normalization","no","no","V3修复变式0019：选择：设集合 A={1,2,3,...,63}，集合 B 为其中能被 4 整除的数。求集合 B 的元素个数。","15","15","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-020","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","full-package-template-normalization","no","no","V3修复变式0020：填空：设集合 A={1,2,3,...,37}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。","15","15","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-021","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","full-package-template-normalization","no","no","V3修复变式0021：解答：设集合 A={1,2,3,...,18}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。","9","9","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-022","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","full-package-template-normalization","no","no","V3修复变式0022：选择：设集合 A={1,2,3,...,68}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。","18","18","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
"hjb-high-ds-v3-s4-023","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","full-package-template-normalization","no","no","V3修复变式0023：填空：设集合 A={1,2,3,...,18}，集合 B 为其中能被 3 整除的数。求集合 B 的元素个数。","6","6","V3 remediated candidate row; remediation reason: full-package-template-normalization. Prompt content rebuilt offline from deterministic HJB safe-template patterns with V3 IDs and evidence fields preserved; S18 manual re-review required before any app integration."
