index,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationNeed,illustrationType,priority,confidence,manualReviewRequired,reasonZhHans,generationBriefZhHans,copyrightSafetyZhHans,promptZhHans,answer,skillTags,competencyTags,misconceptionTags,evidenceCardIds
1,hjb-junior-ds-v2-s1-001,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-001 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,下列各组式子中，是同类项的是（ ）,B. 2a²b 与 -5a²b,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
2,hjb-junior-ds-v2-s1-002,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-002 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,化简：5x - (3x - 2y) + y = ______。,2x + 3y,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
3,hjb-junior-ds-v2-s1-003,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-003 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：2(3a² - ab) - 3(2a² - ab - 1)，其中 a = -2，b = 3。,-3,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
4,hjb-junior-ds-v2-s1-004,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-004 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若多项式2x³ - 3x² + kx - 5与多项式x³ + 2x² - 3x + 1的和中不含x的一次项，则k的值为（ ）,C. 3,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
5,hjb-junior-ds-v2-s1-005,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-005 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式2xᵐ⁺¹y²与-3x³yⁿ是同类项，则m + n = ______。,4,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
6,hjb-junior-ds-v2-s1-006,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-006 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,已知多项式 A = 3x² - 2xy + 5，B = -x² + 4xy - 3。求 2A - B 的结果，并指出化简后的多项式中常数项的值。,7x² - 8xy + 13，常数项为13,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
7,hjb-junior-ds-v2-s1-007,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Exam,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-007 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,化简 4x - [2y - (3x + y) - 5x] 的结果是（ ）,12x - y,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
8,hjb-junior-ds-v2-s1-008,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,fill-in,Challenge,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-008 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,若单项式 3x^{m+1}y² 与 -2x³y^{n} 是同类项，则 m+n = ______。,4,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
9,hjb-junior-ds-v2-s1-009,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,short-answer,Core,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-009 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,先化简，再求值：3(x² - 2x + 1) - 2(2x² - x - 3)，其中 x = -1。,-x² - 4x + 9，当x=-1时值为12,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
10,hjb-junior-ds-v2-s1-010,S1,upper,七年级上册,整式的加减,hjb-junior-s1-upper-polynomial-add-subtract,multiple-choice,Foundation,not-needed,none,P3,high,false,题目主要依靠符号运算或文字条件即可作答，逐题插图不是必要投入。,为沪教版初中数学题 hjb-junior-ds-v2-s1-010 绘制原创题目插图，单元「整式的加减」，不要复制教材或试卷版式。 无需生成逐题插图。,无需生成题图。,一个多项式减去 2x² - 3x + 1 等于 5x² + 2x - 4，则这个多项式是（ ）,B. 7x² - x - 3,代数式意义；整式识别；合并同类项；去括号；整式加减,符号意识；运算能力；数学表达,like terms judged by coefficient only；minus sign lost before brackets；variable part changed during simplification,hjb-junior-s1-upper-polynomial-add-subtract
