"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v4-s4-002","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","V4修复变式0002：填空：设集合 A={1,2,3,...,31}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","6","6","|B|=floor(31/9)=3，|C|=floor(31/10)=3，|B∩C|=floor(31/90)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","V4修复变式0008：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","6","6","|B|=floor(34/10)=3，|C|=floor(34/11)=3，|B∩C|=floor(34/110)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-024","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","V4修复变式0024：解答：设集合 A={1,2,3,...,39}，B 为 A 中能被 3 整除的数，C 为 A 中能被 4 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","16","16","|B|=floor(39/3)=13，|C|=floor(39/4)=9，|B∩C|=floor(39/12)=3。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=16。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-028","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","V4修复变式0028：选择：设集合 A={1,2,3,...,43}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","9 | 10 | 8 | 11","9","9","|B|=floor(43/8)=5，|C|=floor(43/9)=4，|B∩C|=floor(43/72)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=9。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-034","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","V4修复变式0034：选择：设集合 A={1,2,3,...,26}，B 为 A 中能被 2 整除的数，C 为 A 中能被 3 整除的数。求只属于 B 和 C 中一个集合的元素个数。","14 | 12 | 15 | 13","13","13","|B|=floor(26/2)=13，|C|=floor(26/3)=8，|B∩C|=floor(26/6)=4。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=13。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-039","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","V4修复变式0039：解答：设集合 A={1,2,3,...,24}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。","","12","12","B 中元素为不超过 24 的 2 的倍数，共 floor(24/2)=12 个。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-041","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","V4修复变式0041：填空：设集合 A={1,2,3,...,99}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。","","9","9","B 中元素为不超过 99 的 10 的倍数，共 floor(99/10)=9 个。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-050","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","V4修复变式0050：填空：设集合 A={1,2,3,...,116}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","21","21","|B|=floor(116/9)=12，|C|=floor(116/10)=11，|B∩C|=floor(116/90)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=21。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-051","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Foundation","V4修复变式0051：解答：解不等式 x+4>8，求 x 的取值范围右端常数 8-4 的值。","","4","4","两边同时减去 4，得 x>8-4=4。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-056","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","V4修复变式0056：填空：求不等式组 x+6>8，x≤6 的整数解个数。","","4","4","由 x+6>8 得 x>2。又 x≤6，整数 x 为 3 到 6，共有 6-2=4 个。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-070","S4","必修 第一册","等式与不等式","等式与不等式","multiple-choice","Challenge","V4修复变式0070：选择：求不等式组 x+7>11，x≤7 的整数解个数。","4 | 2 | 5 | 3","3","3","由 x+7>11 得 x>4。又 x≤7，整数 x 为 5 到 7，共有 7-4=3 个。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-107","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Foundation","V4修复变式0107：填空：已知 log_6(6^7)=m，求 m。","","7","7","由对数定义，log_6(6^7)=7，所以 m=7。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-122","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","V4修复变式0122：填空：已知 log_10(10^23)=m，且 log_10(10^n)=m+3。求 m+n。","","49","49","由对数定义得 m=23。又 log_10(10^n)=n=m+3=26，所以 m+n=23+26=49。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-126","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","V4修复变式0126：解答：已知 log_2(2^14)=m，且 log_2(2^n)=m+3。求 m+n。","","31","31","由对数定义得 m=14。又 log_2(2^n)=n=m+3=17，所以 m+n=14+17=31。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-127","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Foundation","V4修复变式0127：选择：已知 log_6(6^11)=m，求 m。","12 | 10 | 11 | 13","11","11","由对数定义，log_6(6^11)=11，所以 m=11。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-134","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","V4修复变式0134：填空：已知 log_2(2^12)=m，且 log_2(2^n)=m+3。求 m+n。","","27","27","由对数定义得 m=12。又 log_2(2^n)=n=m+3=15，所以 m+n=12+15=27。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-148","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","V4修复变式0148：选择：已知 log_12(12^22)=m，且 log_12(12^n)=m+3。求 m+n。","48 | 46 | 49 | 47","47","47","由对数定义得 m=22。又 log_12(12^n)=n=m+3=25，所以 m+n=22+25=47。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-160","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Exam","V4修复变式0160：选择：函数 f(x)=6^x。若 f(t)=6·f(2)，求 f(t)+f(t-1)。","254 | 252 | 253 | 251","252","252","f(2)=6²，所以 f(t)=6·f(2)=6³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=216+36=252。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-163","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Foundation","V4修复变式0163：选择：函数 f(x)=11^x，求 f(2)。","132 | 110 | 121 | 143","121","121","代入 x=2，f(2)=11^2=121。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-170","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","V4修复变式0170：填空：函数 f(x)=7^x。若 f(t)=7·f(2)，求 f(t)+f(t-1)。","","392","392","f(2)=7²，所以 f(t)=7·f(2)=7³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=343+49=392。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-174","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","V4修复变式0174：解答：函数 f(x)=3^x。若 f(t)=3·f(2)，求 f(t)+f(t-1)。","","36","36","f(2)=3²，所以 f(t)=3·f(2)=3³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=27+9=36。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-176","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Exam","V4修复变式0176：填空：函数 f(x)=10^x。若 f(t)=10·f(2)，求 f(t)+f(t-1)。","","1100","1100","f(2)=10²，所以 f(t)=10·f(2)=10³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=1000+100=1100。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-186","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","V4修复变式0186：解答：函数 f(x)=3^x。若 f(t)=3·f(2)，求 f(t)+f(t-1)。","","36","36","f(2)=3²，所以 f(t)=3·f(2)=3³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=27+9=36。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-198","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","V4修复变式0198：解答：函数 f(x)=11^x。若 f(t)=11·f(2)，求 f(t)+f(t-1)。","","1452","1452","f(2)=11²，所以 f(t)=11·f(2)=11³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=1331+121=1452。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-200","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Exam","V4修复变式0200：填空：函数 f(x)=3^x。若 f(t)=3·f(2)，求 f(t)+f(t-1)。","","36","36","f(2)=3²，所以 f(t)=3·f(2)=3³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=27+9=36。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-204","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","V4修复变式0204：解答：已知 f(x)=9x+6，求 f(16)。","","150","150","f(16)=9×16+6=150。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-208","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V4修复变式0208：选择：已知 f(x)=12x+4，若 f(t)=f(17)+2×12，求 t+f(t)。","251 | 252 | 250 | 253","251","251","一次函数斜率为 12，函数值增加 2×12 时自变量增加 2，所以 t=17+2=19。f(t)=12×19+4=232，故 t+f(t)=251。","mandatory-original-p2-recheck"
"hjb-high-ds-v4-s4-212","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V4修复变式0212：填空：已知 f(x)=6x+2，求 f(18)。","","110","110","f(18)=6×18+2=110。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-214","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V4修复变式0214：选择：已知 f(x)=9x+3，若 f(t)=f(11)+2×9，求 t+f(t)。","134 | 132 | 135 | 133","133","133","一次函数斜率为 9，函数值增加 2×9 时自变量增加 2，所以 t=11+2=13。f(t)=9×13+3=120，故 t+f(t)=133。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-218","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","fill-in","Foundation","V4修复变式0218：填空：已知 f(x)=11x+2，求 f(10)。","","112","112","f(10)=11×10+2=112。","fresh-150-sample-fill"
"hjb-high-ds-v4-s4-235","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V4修复变式0235：选择：已知 f(x)=7x+8，若 f(t)=f(10)+2×7，求 t+f(t)。","104 | 105 | 103 | 106","104","104","一次函数斜率为 7，函数值增加 2×7 时自变量增加 2，所以 t=10+2=12。f(t)=7×12+8=92，故 t+f(t)=104。","challenge-exam-targeted-p2-sweep"
"hjb-high-ds-v4-s4-244","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","V4修复变式0244：选择：已知 f(x)=12x+8，若 f(t)=f(14)+2×12，求 t+f(t)。","216 | 217 | 215 | 218","216","216","一次函数斜率为 12，函数值增加 2×12 时自变量增加 2，所以 t=14+2=16。f(t)=12×16+8=200，故 t+f(t)=216。","challenge-exam-targeted-p2-sweep"
