questionId,grade,semester,topicId,unitTitle,questionType,difficulty,promptZhHans,answer,illustrationCategory,categoryLabelZh,illustrationPhase,gptImage2Batch,templateFamilyId,templateKey,normalizedPromptTemplate,suggestedImageKind,exactMathLabelsNeeded,notes
pep-junior-v2-s1-k04-fi-001,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为89°，另一个同位角为____。,89°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-002,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为98°，另一个同位角为____。,98°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-003,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为107°，另一个同位角为____。,107°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-004,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为116°，另一个同位角为____。,116°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-005,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为45°，另一个同位角为____。,45°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-006,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为54°，另一个同位角为____。,54°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-007,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为63°，另一个同位角为____。,63°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-008,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为72°，另一个同位角为____。,72°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-009,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为81°，另一个同位角为____。,81°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-010,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为90°，另一个同位角为____。,90°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
pep-junior-v2-s1-k04-fi-011,S1,lower,pep-junior-s1-lower-lines-coordinates,相交线、平行线与平面直角坐标系,fill-in,Core,两条平行直线被一条截线所截，一组同位角中一个角为99°，另一个同位角为____。,99°,plane_geometry,平面几何与三角函数,core,batch-1-core-plane-geometry,pep-junior-illustration-template-001,plane_geometry | pep-junior-s1-lower-lines-coordinates | fill-in | 两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,两条平行直线被一条截线所截，N组同位角中N个角为#°，另N个同位角为____。,plane geometry construction diagram,"yes: vertex labels, angle marks, side lengths, arcs, and congruence/similarity marks should be deterministic overlays",Prioritize this category first because geometry and trigonometry diagrams carry the highest instructional value.
