questionId,grade,semester,knowledgePointId,type,storedAnswer,acceptedAnswers,computedAnswer,status,severity,notes
pep-junior-candidate-k01-mc-001,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,0,0,0,pass,none,OK
pep-junior-candidate-k01-mc-002,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,0,0,0,pass,none,OK
pep-junior-candidate-k01-mc-003,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,0,0,0,pass,none,OK
pep-junior-candidate-k01-mc-004,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,0,0,0,pass,none,OK
pep-junior-candidate-k01-mc-005,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,0,0,0,pass,none,OK
pep-junior-candidate-k01-mc-006,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-5,-5,-5,pass,none,OK
pep-junior-candidate-k01-mc-007,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-5,-5,-5,pass,none,OK
pep-junior-candidate-k01-mc-008,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-5,-5,-5,pass,none,OK
pep-junior-candidate-k01-mc-009,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,4,4,4,pass,none,OK
pep-junior-candidate-k01-mc-010,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,4,4,4,pass,none,OK
pep-junior-candidate-k01-mc-011,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-7,-7,-7,pass,none,OK
pep-junior-candidate-k01-mc-012,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-1,-1,-1,pass,none,OK
pep-junior-candidate-k01-mc-013,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-1,-1,-1,pass,none,OK
pep-junior-candidate-k01-mc-014,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-1,-1,-1,pass,none,OK
pep-junior-candidate-k01-mc-015,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-1,-1,-1,pass,none,OK
pep-junior-candidate-k01-mc-016,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-1,-1,-1,pass,none,OK
pep-junior-candidate-k01-mc-017,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-12,-12,-12,pass,none,OK
pep-junior-candidate-k01-mc-018,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,3,3,3,pass,none,OK
pep-junior-candidate-k01-mc-019,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,3,3,3,pass,none,OK
pep-junior-candidate-k01-mc-020,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,3,3,3,pass,none,OK
pep-junior-candidate-k01-mc-021,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,3,3,3,pass,none,OK
pep-junior-candidate-k01-mc-022,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-8,-8,-8,pass,none,OK
pep-junior-candidate-k01-mc-023,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-8,-8,-8,pass,none,OK
pep-junior-candidate-k01-mc-024,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-2,-2,-2,pass,none,OK
pep-junior-candidate-k01-mc-025,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-2,-2,-2,pass,none,OK
pep-junior-candidate-k01-mc-026,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-2,-2,-2,pass,none,OK
pep-junior-candidate-k01-mc-027,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,7,7,7,pass,none,OK
pep-junior-candidate-k01-mc-028,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,-4,-4,-4,pass,none,OK
pep-junior-candidate-k01-fi-001,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,14,14,14,pass,none,OK
pep-junior-candidate-k01-fi-002,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,18,18,18,pass,none,OK
pep-junior-candidate-k01-fi-003,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,15,15,15,pass,none,OK
pep-junior-candidate-k01-fi-004,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,11,11,11,pass,none,OK
pep-junior-candidate-k01-fi-005,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,8,8,8,pass,none,OK
pep-junior-candidate-k01-fi-006,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,12,12,12,pass,none,OK
pep-junior-candidate-k01-fi-007,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,16,16,16,pass,none,OK
pep-junior-candidate-k01-fi-008,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,13,13,13,pass,none,OK
pep-junior-candidate-k01-fi-009,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,17,17,17,pass,none,OK
pep-junior-candidate-k01-fi-010,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,14,14,14,pass,none,OK
pep-junior-candidate-k01-fi-011,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,18,18,18,pass,none,OK
pep-junior-candidate-k01-fi-012,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,7,7,7,pass,none,OK
pep-junior-candidate-k01-fi-013,S1,upper,pep-junior-s1-upper-rational-numbers,fill-in,11,11,11,pass,none,OK
