"id","grade","topicId","topicTitleZhHans","chapter","conceptIds","difficulty","type","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","evidenceCardIds","examPatternCardIds","sourceDistanceStatus","mathQaStatus","terminologyQaStatus","reviewNotes"
"pep-high-ds-v1-s4-complex-numbers-001","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Foundation","multiple-choice","在练习aa中，设复数 z=-2+3i，则 z 在复平面内对应的点位于（ ）。","第一象限 | 第二象限 | 第三象限 | 第四象限","第二象限","第二象限","z 的实部为-2，虚部为3，所以答案为第二象限。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-002","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Core","fill-in","在练习ab中，已知复数 z=3+4i，求 |z|² 的值为______。","","25","25","|z|²=3²+4²=25，所以答案为25。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-003","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Challenge","short-answer","在练习ac中，已知 z=4+5i，w=2-i，求 z+w 的共轭复数。","","6-4i","6-4i | 6 - 4i","z+w=6+4i，其共轭复数为6-4i，所以答案为6-4i。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-004","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Foundation","short-answer","在练习ad中，已知 z=5+2i，w=2-i，求 z+w 的共轭复数。","","7-1i","7-1i | 7 - 1i","z+w=7+1i，其共轭复数为7-1i，所以答案为7-1i。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-005","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Core","multiple-choice","在练习ae中，设复数 z=1-3i，则 z 在复平面内对应的点位于（ ）。","第一象限 | 第二象限 | 第三象限 | 第四象限","第四象限","第四象限","z 的实部为1，虚部为-3，所以答案为第四象限。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-006","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Challenge","fill-in","在练习af中，已知复数 z=2+4i，求 |z|² 的值为______。","","20","20","|z|²=2²+4²=20，所以答案为20。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-007","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Foundation","short-answer","在练习ag中，已知 z=3+5i，w=2-i，求 z+w 的共轭复数。","","5-4i","5-4i | 5 - 4i","z+w=5+4i，其共轭复数为5-4i，所以答案为5-4i。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-008","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Core","multiple-choice","在练习ah中，设复数 z=-4+2i，则 z 在复平面内对应的点位于（ ）。","第一象限 | 第二象限 | 第三象限 | 第四象限","第二象限","第二象限","z 的实部为-4，虚部为2，所以答案为第二象限。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-009","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Challenge","fill-in","在练习ai中，已知复数 z=5+3i，求 |z|² 的值为______。","","34","34","|z|²=5²+3²=34，所以答案为34。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
"pep-high-ds-v1-s4-complex-numbers-010","S4","pep-high-s4-complex-numbers","复数","复数","complex-numbers | complex-operations | complex-plane | complex-roots","Foundation","short-answer","在练习aj中，已知 z=1+4i，w=2-i，求 z+w 的共轭复数。","","3-3i","3-3i | 3 - 3i","z+w=3+3i，其共轭复数为3-3i，所以答案为3-3i。","pep-high-complex-numbers","s18-remediation-s4-complex-numbers-pattern","passed-auto-source-scan","pending-teacher-signoff","passed-s18-remediation","S18 deterministic remediation of DeepSeek V4 Pro candidate; candidate-only; requires teacher math signoff before any app integration."
