knowledgePointOrder,knowledgePointId,grade,semester,unitTitle,type,expectedCount,actualCount
1,pep-junior-s1-upper-rational-numbers,S1,upper,有理数与数轴基础,multiple-choice,28,28
1,pep-junior-s1-upper-rational-numbers,S1,upper,有理数与数轴基础,fill-in,27,27
1,pep-junior-s1-upper-rational-numbers,S1,upper,有理数与数轴基础,short-answer,27,27
2,pep-junior-s1-upper-expressions-linear-equations,S1,upper,整式初步与一元一次方程,multiple-choice,27,27
2,pep-junior-s1-upper-expressions-linear-equations,S1,upper,整式初步与一元一次方程,fill-in,28,28
2,pep-junior-s1-upper-expressions-linear-equations,S1,upper,整式初步与一元一次方程,short-answer,27,27
3,pep-junior-s1-upper-geometric-figures,S1,upper,几何图形初步,multiple-choice,27,27
3,pep-junior-s1-upper-geometric-figures,S1,upper,几何图形初步,fill-in,27,27
3,pep-junior-s1-upper-geometric-figures,S1,upper,几何图形初步,short-answer,28,28
4,pep-junior-s1-lower-lines-coordinates,S1,lower,相交线、平行线与平面直角坐标系,multiple-choice,27,27
4,pep-junior-s1-lower-lines-coordinates,S1,lower,相交线、平行线与平面直角坐标系,fill-in,27,27
4,pep-junior-s1-lower-lines-coordinates,S1,lower,相交线、平行线与平面直角坐标系,short-answer,27,27
5,pep-junior-s1-lower-equations-inequalities-data,S1,lower,二元一次方程组、不等式与数据初步,multiple-choice,28,28
5,pep-junior-s1-lower-equations-inequalities-data,S1,lower,二元一次方程组、不等式与数据初步,fill-in,27,27
5,pep-junior-s1-lower-equations-inequalities-data,S1,lower,二元一次方程组、不等式与数据初步,short-answer,27,27
6,pep-junior-s2-upper-triangles-congruence,S2,upper,三角形、全等与轴对称,multiple-choice,27,27
6,pep-junior-s2-upper-triangles-congruence,S2,upper,三角形、全等与轴对称,fill-in,28,28
6,pep-junior-s2-upper-triangles-congruence,S2,upper,三角形、全等与轴对称,short-answer,27,27
7,pep-junior-s2-upper-polynomials-fractions,S2,upper,整式乘法、因式分解与分式,multiple-choice,27,27
7,pep-junior-s2-upper-polynomials-fractions,S2,upper,整式乘法、因式分解与分式,fill-in,27,27
7,pep-junior-s2-upper-polynomials-fractions,S2,upper,整式乘法、因式分解与分式,short-answer,28,28
8,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,S2,lower,二次根式、勾股定理与平行四边形,multiple-choice,27,27
8,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,S2,lower,二次根式、勾股定理与平行四边形,fill-in,27,27
8,pep-junior-s2-lower-roots-pythagorean-quadrilaterals,S2,lower,二次根式、勾股定理与平行四边形,short-answer,27,27
9,pep-junior-s2-lower-linear-functions-data,S2,lower,一次函数与数据分析,multiple-choice,28,28
9,pep-junior-s2-lower-linear-functions-data,S2,lower,一次函数与数据分析,fill-in,27,27
9,pep-junior-s2-lower-linear-functions-data,S2,lower,一次函数与数据分析,short-answer,27,27
10,pep-junior-s3-upper-quadratics-circle-probability,S3,upper,一元二次方程、二次函数、圆与概率初步,multiple-choice,27,27
10,pep-junior-s3-upper-quadratics-circle-probability,S3,upper,一元二次方程、二次函数、圆与概率初步,fill-in,28,28
10,pep-junior-s3-upper-quadratics-circle-probability,S3,upper,一元二次方程、二次函数、圆与概率初步,short-answer,27,27
11,pep-junior-s3-lower-inverse-similarity-trigonometry,S3,lower,反比例函数、相似与锐角三角函数,multiple-choice,27,27
11,pep-junior-s3-lower-inverse-similarity-trigonometry,S3,lower,反比例函数、相似与锐角三角函数,fill-in,27,27
11,pep-junior-s3-lower-inverse-similarity-trigonometry,S3,lower,反比例函数、相似与锐角三角函数,short-answer,28,28
