"id","grade","unitTitle","type","difficulty","deepseekSeverity","deepseekIssueCodes","deepseekConfidence","codexStatus","codexAction","codexReason","answer","deepseekIssueDetailsZhHans","promptZhHans"
"hjb-junior-ds-v2-s1-003","S1","整式的加减","short-answer","Exam","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","0","标准答案为0，但独立计算得20。解析中代入计算得20，与答案0矛盾。","先化简，再求值：3(a²b - ab) - 2(ab - a²b)，其中a = -1，b = 2。"
"hjb-junior-ds-v2-s1-012","S1","整式的加减","short-answer","Challenge","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","第一步去括号时符号错误；正确结果为 12a²b - 3ab²","标准答案指出第一步去括号时符号错误，正确结果为 12a²b - 3ab²。但独立计算发现：原式 = 3a²b - [2ab² - (4a²b + ab²) - 5a²b] + 2ab²。先去小括号：= 3a²b - [2ab² - 4a²b - ab² - 5a²b] + 2ab²。合并中括号内：2ab² - ab² = ab²，-4a²b - 5a²b = -9a²b，得 3a²b - [ab² - 9a²b] + 2ab²。去中括号：= 3a²b - ab² + 9a²b + 2ab² = 12a²b + ab²。正确结果应为 12a²b + ab²，而非 12a²b - 3ab²。解析中错误地认为 -5a²b 去括号应变号，但实际已正确处理。解析最后一步合并同类项时，-ab² + 2ab² = ab²，而非 -3ab²。因此答案和解析均错误。","小明在化简一个整式时，写下了以下步骤：\n原式 = 3a²b - [2ab² - (4a²b + ab²) - 5a²b] + 2ab²\n= 3a²b - 2ab² + 4a²b + ab² - 5a²b + 2ab²\n= (3a²b + 4a²b - 5a²b) + (-2ab² + ab² + 2ab²)\n= 2a²b + ab²\n请指出小明在哪一步开始出错，并写出正确的化简结果。"
"hjb-junior-ds-v2-s1-015","S1","整式的加减","short-answer","Exam","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","-10","标准答案为 -10，但独立计算得 -20。解析中化简为 -5x²y + 5xy，代入 x=-1, y=2 得 -5×1×2 + 5×(-1)×2 = -10 - 10 = -20。解析最后一步写为“-10 - 10 = -20”，但答案却为 -10，矛盾。","先化简，再求值：2(x²y + xy) - 3(x²y - xy) - 4x²y，其中 x = -1，y = 2。"
"hjb-junior-ds-v2-s1-020","S1","整式的加减","fill-in","Challenge","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","-4","标准答案为-4，但独立计算得-2。解析中正确得出a=-3, b=1，但a+b=-2，与答案-4矛盾。","若代数式 (2x² + ax - y + 6) - (2bx² - 3x + 5y - 1) 的值与字母 x 的取值无关，则 a + b = ______。"
"hjb-junior-ds-v2-s1-033","S1","整式的加减","short-answer","Core","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","1","标准答案给出1，但化简后表达式为 x²-2，代入 x=-1 得 -1。解析中也指出答案为-1，与标准答案矛盾。","先化简，再求值：\(3(x^2 - 2y) - 2(x^2 - 3y + 1)\)，其中 \(x = -1\)，\(y = 2\)。"
"hjb-junior-ds-v2-s1-038","S1","整式的加减","fill-in","Foundation","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","1","标准答案给出1，但化简结果为-1。解析中也得出-1，与标准答案矛盾。","化简：3a - [5a - (2a - 1)] = ______。"
"hjb-junior-ds-v2-s1-045","S1","整式的加减","short-answer","Core","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","-10","标准答案为 -10，但独立计算得 -20。解析中化简得 -5x²y+5xy，代入 x=-1,y=2 得 -5×1×2 + 5×(-1)×2 = -10 -10 = -20，与答案矛盾。","先化简，再求值：\(2(x^2y + xy) - 3(x^2y - xy) - 4x^2y\)，其中 \(x = -1\)，\(y = 2\)。"
"hjb-junior-ds-v2-s1-057","S1","整式的乘除","short-answer","Core","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","4x^4 y^5","标准答案为 4x^4 y^5，但解析计算得 12x^4 y^4，两者不一致。独立计算得 12x^4 y^4，故答案错误。","计算：\( (2x^2 y)^3 \cdot (-3xy^2)^2 \div (6x^4 y^3) \)。"
"hjb-junior-ds-v2-s1-058","S1","整式的乘除","multiple-choice","Foundation","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","12a^4 b^5","标准答案为 12a^4 b^5，但解析计算得 12a^4 b^4，两者不一致。独立计算得 12a^4 b^4，故答案错误。","计算 \( (2a^2 b)^3 \cdot (-3a b^2)^2 \div (6a^4 b^3) \) 的结果是（ ）。"
"hjb-junior-ds-v2-s1-063","S1","整式的乘除","short-answer","Exam","P1","wrong-answer | explanation-mismatch","high","repair-required","复算并修正标准答案、acceptedAnswers、解析；若题干不稳则重生成。","Answer or explanation consistency blocker.","−13","标准答案为 −13，但解析计算得 −11，两者不一致。独立计算得 −11，故答案错误。","先化简，再求值：(x + 2)(x − 2) − (x − 1)²，其中 x = −3。"
