id,grade,semester,type,knowledgePointId,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
pep-junior-candidate-k01-mc-001,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,0,某地清晨气温为-13℃，中午上升17℃，傍晚又下降4℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-002,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,0,某地清晨气温为-14℃，中午上升19℃，傍晚又下降5℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-003,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,0,某地清晨气温为-15℃，中午上升21℃，傍晚又下降6℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-004,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,0,某地清晨气温为-16℃，中午上升23℃，傍晚又下降7℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-005,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,0,某地清晨气温为-17℃，中午上升25℃，傍晚又下降8℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-006,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-5,某地清晨气温为-18℃，中午上升16℃，傍晚又下降3℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-007,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-5,某地清晨气温为-19℃，中午上升18℃，傍晚又下降4℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-008,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-5,某地清晨气温为-20℃，中午上升20℃，傍晚又下降5℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-009,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,4,某地清晨气温为-12℃，中午上升22℃，傍晚又下降6℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-010,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,4,某地清晨气温为-13℃，中午上升24℃，傍晚又下降7℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-011,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-7,某地清晨气温为-14℃，中午上升15℃，傍晚又下降8℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-012,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-1,某地清晨气温为-15℃，中午上升17℃，傍晚又下降3℃。傍晚气温是多少？
pep-junior-candidate-k01-mc-013,S1,upper,multiple-choice,pep-junior-s1-upper-rational-numbers,pass,none,,,计算正确，选项无歧义，适合七年级有理数运算基础题。,-1,某地清晨气温为-16℃，中午上升19℃，傍晚又下降4℃。傍晚气温是多少？
