id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
bnu-primary-ds-v1-p1-001,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,题目清晰，答案正确，符合一年级上学期要求。,1,教室里，老师请5位小朋友站成一排，每人手里举一张数字卡片，从左到右依次是：2、4、1、5、3。老师问：“从左数，第3个小朋友举的数字是几？”
bnu-primary-ds-v1-p1-002,P1,upper,fill-in,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,题目简单明了，答案正确，适合基础练习。,5,树上有3只小鸟，又飞来2只。现在树上一共有多少只小鸟？请填数字。
bnu-primary-ds-v1-p1-003,P1,upper,short-answer,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,题目合理，答案和解释正确，符合挑战难度。,6-2=4,妈妈买了6个苹果，吃掉一些后还剩2个。妈妈吃了几个苹果？请写出算式和答案。
bnu-primary-ds-v1-p1-004,P1,upper,multiple-choice,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,排队问题典型，答案正确，选项无歧义。,5只,小动物们排队做操。从左边数，小兔排在第2个；从右边数，小兔排在第4个。这一队一共有多少只小动物？
bnu-primary-ds-v1-p1-005,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,逆向加法问题，答案正确，适合基础训练。,7,盘子里有一些草莓，吃掉4颗后，还剩3颗。盘子里原来有多少颗草莓？请填数字。
bnu-primary-ds-v1-p1-006,P1,upper,short-answer,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,减法应用，答案和解释正确。,9-5=4,小明有9块糖，分给弟弟一些后，自己还剩5块。小明分给弟弟多少块糖？请写出算式和答案。
bnu-primary-ds-v1-p1-007,P1,upper,multiple-choice,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,比大小和可能性，答案正确，选项合理。,2种,数字卡片上写着0、3、5、7、9。老师把卡片扣在桌上，让小朋友抽一张。抽到比5大的数有几种可能？
bnu-primary-ds-v1-p1-008,P1,upper,fill-in,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,加法应用，答案正确。,10,一盒蜡笔，用掉2支后还剩8支。这盒蜡笔原来有多少支？请填数字。
bnu-primary-ds-v1-p1-009,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,加法应用，答案正确。,3+6=9,停车场里开走3辆车后，还有6辆车。停车场原来有多少辆车？请写出算式和答案。
bnu-primary-ds-v1-p1-010,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,减法应用，答案正确。,5张,小丽有7张贴纸，送给好朋友一些后，还剩2张。小丽送出去多少张贴纸？
bnu-primary-ds-v1-p1-011,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,一一对应数数，答案正确，可接受中文数字。,7,小美在整理她的玩具盒。她把玩具一个一个地放在桌上，一边放一边数：1、2、3、4、5、6、7。她数到7的时候，桌上正好放完了所有的玩具。请问小美一共有几个玩具？
bnu-primary-ds-v1-p1-012,P1,upper,short-answer,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,0-10数数，答案正确，解释合理。,不对，从0到10一共有11个数。,老师让小明从0开始数到10，小明这样数：0、1、2、3、4、5、6、7、8、9、10。数完后，老师问：“你一共数了几个数？”小明想了想说：“10个。”你认为小明说得对吗？为什么？
bnu-primary-ds-v1-p1-013,P1,upper,multiple-choice,Foundation,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,0的意义，答案正确。,0,下面哪个数表示一个也没有？
bnu-primary-ds-v1-p1-014,P1,upper,fill-in,Core,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,一一对应减法，答案正确。,1,数一数，填一填。教室里有5张桌子，每张桌子配1把椅子，现在有4把椅子。还缺___把椅子。
bnu-primary-ds-v1-p1-015,P1,upper,short-answer,Challenge,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,0的减法应用，答案正确。,6颗。因为给了妹妹6颗后自己剩下0颗，说明原来只有6颗，全部给了妹妹。,小华有一些糖果，他先数出6颗给妹妹，自己还剩下0颗。小华原来有几颗糖果？请你说一说你是怎么想的。
bnu-primary-ds-v1-p1-016,P1,upper,multiple-choice,Exam,bnu-primary-p1-upper-life-number-sense,生活中的数,pass,none,,,排队之间问题，答案正确。,3个,小动物们排队做操，从前往后数，小兔排在第3个，小猴排在第7个。小兔和小猴之间有几个小动物？
bnu-primary-ds-v1-p1-017,P1,upper,fill-in,Foundation,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较多少，答案正确，可接受“多2支”。,多,比一比，填一填。小丽有6支铅笔，小刚有4支铅笔。小丽的铅笔比小刚的___。
bnu-primary-ds-v1-p1-018,P1,upper,short-answer,Core,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较长短和差值，答案正确。,红绳子长，长3米。,两根绳子，红绳子长8米，蓝绳子长5米。哪根绳子长？长多少米？
bnu-primary-ds-v1-p1-019,P1,upper,multiple-choice,Challenge,bnu-primary-p1-upper-comparison,比较,pass,none,,,题目清晰，比较数字大小，答案正确。,小宇,三个小朋友比体重。小杰重25千克，小文重22千克，小宇重28千克。他们三人中，谁最重？
bnu-primary-ds-v1-p1-020,P1,upper,fill-in,Exam,bnu-primary-p1-upper-comparison,比较,pass,none,,,数量相等，答案“同样多”正确，接受“一样多”合理。,同样多,在括号里填上“多”“少”或“同样多”。盘子里有5个苹果和5个梨，苹果和梨___。
bnu-primary-ds-v1-p1-021,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较和减法，答案正确，接受多种表述。,小红多，多2支,小红有5支铅笔，小明有3支铅笔。谁多？多几支？
bnu-primary-ds-v1-p1-022,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较长度，选项清晰，答案C正确。,C,"下面哪根绳子最长？\nA. 一根绳子长4米\nB. 一根绳子长3米\nC. 一根绳子长5米\nD. 一根绳子长2米"
bnu-primary-ds-v1-p1-023,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,pass,none,,,生活经验比较轻重，答案“西瓜”正确。,西瓜,一个西瓜需要两只手抱，一个苹果一只手就能拿起。哪个比较重？填：____重。
bnu-primary-ds-v1-p1-024,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,pass,none,,,数量相等，答案“一样多”正确。,一样多,小丽有8块糖，小华有8块糖。他们的糖一样多吗？
bnu-primary-ds-v1-p1-025,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较数量，2最少，答案D正确。,D,"下面哪盘水果的个数最少？\nA. 5个苹果\nB. 4个香蕉\nC. 6个橘子\nD. 2个桃子"
bnu-primary-ds-v1-p1-026,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,pass,none,,,求差，8-3=5，答案“5米”正确。,5米,一棵大树高8米，一棵小树高3米。大树比小树高多少米？
bnu-primary-ds-v1-p1-027,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较多少，6-4=2，答案“2个”正确。,2个,篮子里有6个鸡蛋，盘子外有4个鸡蛋。篮子里比盘子外多几个？
bnu-primary-ds-v1-p1-028,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,pass,none,,,判断大小关系，C正确，其他错误。,C,"下面哪句话是对的？\nA. 5比3少\nB. 4比6多\nC. 7比2多\nD. 1比9多"
bnu-primary-ds-v1-p1-029,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,pass,none,,,求重量差，12-4=8，答案“8千克”正确。,8千克,一只狗重12千克，一只猫重4千克。狗比猫重多少千克？
bnu-primary-ds-v1-p1-030,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较和减法，答案正确，接受多种表述。,男孩多，多2个,教室里有9个男孩和7个女孩。男孩多还是女孩多？多几个？
bnu-primary-ds-v1-p1-031,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-comparison,比较,pass,none,,,比较数量，青苹果多，答案正确。,青苹果多,桌上有3个红苹果和5个青苹果。哪种苹果多？
bnu-primary-ds-v1-p1-032,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-comparison,比较,pass,none,,,数量相等，答案“一样多”正确。,一样多,小明的铅笔盒里有4支铅笔，小红的铅笔盒里有4支铅笔。谁的铅笔多？填“小明多”“小红多”或“一样多”。
bnu-primary-ds-v1-p1-033,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,加法应用题，算式和得数正确。,2+3=5,树上有2只鸟，又飞来3只鸟。现在树上一共有几只鸟？请写出算式和得数。
bnu-primary-ds-v1-p1-034,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,减法算式选择，8-3=5正确。,8-3=5,妈妈买了8个鸡蛋，用了3个。还剩几个鸡蛋？正确的算式是哪一个？
bnu-primary-ds-v1-p1-035,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,逆向加法，6+2=8，答案正确。,8,盒子里有一些糖，吃掉2颗后还剩6颗。盒子里原来有□颗糖。□里填几？
bnu-primary-ds-v1-p1-036,P1,upper,short-answer,Foundation,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,加法应用题，算式和得数正确。,5+2=7,鱼缸里有5条金鱼，爸爸又放进去2条。现在鱼缸里一共有几条金鱼？请写出算式和得数。
bnu-primary-ds-v1-p1-037,P1,upper,multiple-choice,Core,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,数学正确，算式与解释一致，选项无歧义，适合P1。,7-4=3,篮子里有7个橘子，小朋友拿走一些后还剩4个。拿走了几个橘子？正确的算式是哪一个？
bnu-primary-ds-v1-p1-038,P1,upper,fill-in,Challenge,bnu-primary-p1-upper-within-10-add-sub,加与减（一）,pass,none,,,数学正确，答案8，解释清晰，适合P1。,8,小红有□块积木，送给弟弟3块后还剩5块。□里填几？
