"reviewReason","questionId","grade","semester","type","difficulty","status","solverMethod","independentAnswer","storedAnswer","acceptedAnswers","notes","promptZhHans"
"required-solver-gap","pep-primary-p1-lower-006","P1","lower","short-answer","Core","solver-gap","","","12","12 | 12张","solver:no deterministic solver matched this free-form item","老师给小朋友分图形卡片，有正方形、三角形、圆形三种。小明说：“我按形状分类，正方形有5张，三角形有3张，圆形有4张。”小红说：“我按颜色分类，红色有6张，蓝色有4张，黄色有2张。”请问图形卡片一共有多少张？"
"required-solver-gap","pep-primary-p1-lower-009","P1","lower","short-answer","Core","solver-gap","","","3×2=6元，6+5=11元，一共11元","3×2=6元，6+5=11元，一共11元 | 3×2=6 6+5=11 11元 | 2+2+2=6元 6+5=11元 一共11元 | 11元 | 11","solver:no deterministic solver matched this free-form item","妈妈去超市买了3个苹果，每个苹果2元，又买了一盒5元的牛奶。妈妈一共花了多少钱？请写出算式和答案。"
"required-solver-gap","pep-primary-p1-lower-011","P1","lower","fill-in","Foundation","solver-gap","","","把4个正方形排成一排","把4个正方形排成一排 | 排成一排 | 4个正方形排成一排 | 把四个正方形排成一排","solver:no deterministic solver matched this free-form item","小芳用4个完全一样的正方形纸片拼图形。请写出一种一定能拼成长方形的拼法。"
"required-solver-gap","pep-primary-p1-lower-015","P1","lower","short-answer","Core","solver-gap","","","16本","16本 | 16 | 借走了16本","solver:no deterministic solver matched this free-form item","学校图书角原来有35本故事书，同学们借走一些后还剩19本。借走了多少本？请列式并计算。"
"required-solver-gap","pep-primary-p1-lower-016","P1","lower","multiple-choice","Foundation","solver-gap","","","一个正方形","一个正方形","solver:no deterministic solver matched this free-form item","下面哪个图形不是用4个同样的小正方形拼成的？"
"required-solver-gap","pep-primary-p1-lower-017","P1","lower","fill-in","Core","solver-gap","","","破十法","破十法 | 破十法（或平十法）","solver:no deterministic solver matched this free-form item","计算12-7时，先把12分成10和2，先算10-7=3，再算3+2=5。这种方法是______。"
"required-solver-gap","pep-primary-p1-lower-021","P1","lower","short-answer","Core","solver-gap","","","按颜色分：3个；按形状分：2个","按颜色分：3个；按形状分：2个 | 红色：3，正方形：2 | 3；2","solver:no deterministic solver matched this free-form item","桌面上有下面这些图形：一个红色正方形，一个蓝色正方形，一个红色三角形，一个蓝色三角形，一个红色圆形。想一想，按颜色分类，红色图形有几个？按形状分类，正方形有几个？"
"required-solver-gap","pep-primary-p1-lower-022","P1","lower","multiple-choice","Foundation","solver-gap","","","把13分成10和3，先算10-8=2，再算2+3=5","把13分成10和3，先算10-8=2，再算2+3=5","solver:no deterministic solver matched this free-form item","计算 13 - 8 时，下面哪种方法正确使用了“破十法”？"
"required-solver-gap","pep-primary-p1-lower-026","P1","lower","fill-in","Foundation","solver-gap","","","平行四边形（或长方形、正方形）","平行四边形（或长方形、正方形） | 平行四边形 | 长方形 | 正方形 | 平行四边形或长方形 | 平行四边形或正方形","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形可以拼成一个什么图形？"
"required-solver-gap","pep-primary-p1-lower-028","P1","lower","multiple-choice","Foundation","solver-gap","","","64，46，28","64，46，28","solver:no deterministic solver matched this free-form item","下面哪组数字是按从大到小的顺序排列的？"
"required-solver-gap","pep-primary-p1-lower-029","P1","lower","fill-in","Core","solver-gap","","","4人","4人 | 4","solver:no deterministic solver matched this free-form item","下表是一（1）班同学最喜欢的水果情况：\n苹果：8人，香蕉：5人，草莓：12人，西瓜：9人。\n最喜欢草莓的人数比最喜欢苹果的多几人？"
"required-solver-gap","pep-primary-p1-lower-030","P1","lower","short-answer","Foundation","solver-gap","","","一共80人，多4人","一共80人，多4人 | 80人，4人 | 80,4","solver:no deterministic solver matched this free-form item","一（1）班有42人，一（2）班有38人。两个班一共有多少人？一（1）班比一（2）班多多少人？"
"required-solver-gap","pep-primary-p1-lower-031","P1","lower","multiple-choice","Core","solver-gap","","","3种","3种","solver:no deterministic solver matched this free-form item","小丽用彩纸拼了一个图案：她先放了一个红色的圆，然后在圆的右边放了一个蓝色的正方形，最后在正方形下面放了一个黄色的三角形。请问这个图案中一共有几种不同的平面图形？"
"required-solver-gap","pep-primary-p1-lower-032","P1","lower","fill-in","Foundation","solver-gap","","","7","7 | 七","solver:no deterministic solver matched this free-form item","计算15 - 8时，小华用“破十法”：先把15分成10和5，10减8等于2，再算2加5等于几？请填出最后的得数。"
"required-solver-gap","pep-primary-p1-lower-033","P1","lower","short-answer","Core","solver-gap","","","66","66","solver:no deterministic solver matched this free-form item","用数字卡片摆出57，这个数中“5”在十位上，表示5个十；“7”在个位上，表示7个一。如果要摆出比57大，但十位上的数字和个位上的数字相同的两位数，这个数是多少？"
"required-solver-gap","pep-primary-p1-lower-036","P1","lower","short-answer","Foundation","solver-gap","","","5","5 | 5个","solver:no deterministic solver matched this free-form item","老师拿来一些图形卡片，其中有3个长方形、2个正方形、4个三角形和1个圆。请回答：长方形和正方形一共有几个？"
"required-solver-gap","pep-primary-p1-lower-037","P1","lower","multiple-choice","Core","solver-gap","","","12 - 5","12 - 5","solver:no deterministic solver matched this free-form item","下面哪个算式的得数与13 - 6相同？"
"required-solver-gap","pep-primary-p1-lower-039","P1","lower","multiple-choice","Core","solver-gap","","","5元","5元","solver:no deterministic solver matched this free-form item","小明有2张5元纸币和3张1元纸币，他想买一本8元的笔记本，付钱后还剩多少钱？"
"required-solver-gap","pep-primary-p1-lower-041","P1","lower","multiple-choice","Core","solver-gap","","","4个","4个","solver:no deterministic solver matched this free-form item","小美用下面这些图形卡片拼出了一条小鱼。她用了2个三角形做尾巴，1个正方形做身体，还用了几个圆形？请你数一数，她一共用了几个圆形？\n描述：小鱼的身体是一个正方形，尾巴由两个三角形组成，鱼的眼睛是两个圆形，鱼嘴是一个小圆形，鱼鳍是一个圆形。"
"required-solver-gap","pep-primary-p1-lower-042","P1","lower","fill-in","Foundation","solver-gap","","","2, 2, 5","2, 2, 5 | 2,2,5","solver:no deterministic solver matched this free-form item","计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = □，再算□ + 3 = □。请按顺序填写方框里的数。"
"required-solver-gap","pep-primary-p1-lower-043","P1","lower","multiple-choice","Foundation","solver-gap","","","56","56","solver:no deterministic solver matched this free-form item","在数字顺序中，57前面的一个数是几？"
"required-solver-gap","pep-primary-p1-lower-044","P1","lower","fill-in","Foundation","solver-gap","","","付1元，找回2角","付1元，找回2角 | 付5角和3个1角 | 付5角加3角","solver:no deterministic solver matched this free-form item","小华有一些硬币：1元、5角、1角各一枚。他想买一支8角的铅笔，他可以怎样付钱？请写出一种付钱方法。"
"required-solver-gap","pep-primary-p1-lower-045","P1","lower","multiple-choice","Foundation","solver-gap","","","25 - 8","25 - 8","solver:no deterministic solver matched this free-form item","妈妈买了25个苹果，吃了8个，还剩多少个？正确的算式是哪一个？"
"required-solver-gap","pep-primary-p1-lower-046","P1","lower","fill-in","Foundation","solver-gap","","","长方形、正方形、三角形、圆","长方形、正方形、三角形、圆 | 长方形 正方形 三角形 圆","solver:no deterministic solver matched this free-form item","下面的图形中，哪些是平面图形？请写出它们的名称。\n描述：一个长方形，一个正方形，一个三角形，一个圆，一个长方体。"
"required-solver-gap","pep-primary-p1-lower-047","P1","lower","multiple-choice","Foundation","solver-gap","","","7, 7","7, 7","solver:no deterministic solver matched this free-form item","计算12 - 5时，想：5 + □ = 12，所以12 - 5 = □。方框里依次填什么？"
"required-solver-gap","pep-primary-p1-lower-049","P1","lower","multiple-choice","Foundation","solver-gap","","","5张","5张","solver:no deterministic solver matched this free-form item","一张5元可以换几张1元？"
"required-solver-gap","pep-primary-p1-lower-050","P1","lower","multiple-choice","Foundation","solver-gap","","","14, 17","14, 17","solver:no deterministic solver matched this free-form item","找规律填数：2, 5, 8, 11, □, □。后面两个数依次是什么？"
"required-solver-gap","pep-primary-p1-upper-001","P1","upper","multiple-choice","Foundation","solver-gap","","","5只","5只","solver:no deterministic solver matched this free-form item","树上有3只小鸟，又飞来了2只。现在树上一共有几只小鸟？"
"required-solver-gap","pep-primary-p1-upper-003","P1","upper","short-answer","Challenge","solver-gap","","","8+5=13，把5分成2和3，8+2=10，10+3=13。","8+5=13，把5分成2和3，8+2=10，10+3=13。 | 8+5=13 | 把5分成2和3，8+2=10，10+3=13 | 8+2=10，10+3=13","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给了他5块。小明用凑十法算出一共有多少块糖。请写出他的计算过程。"
"required-solver-gap","pep-primary-p1-upper-004","P1","upper","multiple-choice","Exam","solver-gap","","","分针指向12，时针指向8","分针指向12，时针指向8","solver:no deterministic solver matched this free-form item","下面哪个钟面表示的是8时？"
"required-solver-gap","pep-primary-p1-upper-005","P1","upper","fill-in","Foundation","solver-gap","","","14","14","solver:no deterministic solver matched this free-form item","在计数器上，十位上有1颗珠子，个位上有4颗珠子，这个数写作（ ）。"
"required-solver-gap","pep-primary-p1-upper-009","P1","upper","short-answer","Core","solver-gap","","","②④","②④ | 2,4 | ②和④ | 2和4","solver:no deterministic solver matched this free-form item","下面的物体中，哪些是圆柱？请写出序号。①足球 ②易拉罐 ③魔方 ④水杯 ⑤铅笔"
"required-solver-gap","pep-primary-p1-upper-011","P1","upper","fill-in","Foundation","solver-gap","","","5","5 | 5个","solver:no deterministic solver matched this free-form item","篮子里有3个苹果，妈妈又放进2个苹果。现在篮子里一共有几个苹果？"
"required-solver-gap","pep-primary-p1-upper-013","P1","upper","multiple-choice","Challenge","solver-gap","","","把5分成1和4，9+1=10，10+4=14","把5分成1和4，9+1=10，10+4=14","solver:no deterministic solver matched this free-form item","计算9 + 5时，下面哪种方法是凑十法？"
"required-solver-gap","pep-primary-p1-upper-014","P1","upper","fill-in","Foundation","solver-gap","","","右","右 | 右边","solver:no deterministic solver matched this free-form item","教室里，小明坐在小红的左边，小刚坐在小红的右边。小红坐在小明的____边。"
"required-solver-gap","pep-primary-p1-upper-015","P1","upper","short-answer","Core","solver-gap","","","10","10 | 10只","solver:no deterministic solver matched this free-form item","树上有12只鸟，飞走了5只，又飞来3只。现在树上有多少只鸟？"
"required-solver-gap","pep-primary-p1-upper-016","P1","upper","multiple-choice","Foundation","solver-gap","","","4可以分成1和3","4可以分成1和3","solver:no deterministic solver matched this free-form item","下面哪一组数字的分与合是正确的？"
"required-solver-gap","pep-primary-p1-upper-017","P1","upper","fill-in","Core","solver-gap","","","7","7","solver:no deterministic solver matched this free-form item","10可以分成3和____。"
"required-solver-gap","pep-primary-p1-upper-020","P1","upper","fill-in","Foundation","solver-gap","","","3","3 | 三","solver:no deterministic solver matched this free-form item","从右边数起，第____个是正方体。桌子上摆着一排球：篮球、足球、正方体积木、圆柱体积木、乒乓球。"
"required-solver-gap","pep-primary-p1-upper-021","P1","upper","short-answer","Core","solver-gap","","","5只","5只 | 5","solver:no deterministic solver matched this free-form item","草地上有3只白兔，又来了2只灰兔。草地上一共有多少只兔子？"
"required-solver-gap","pep-primary-p1-upper-022","P1","upper","multiple-choice","Foundation","solver-gap","","","7","7","solver:no deterministic solver matched this free-form item","下面哪个数可以分成4和3？"
"required-solver-gap","pep-primary-p1-upper-023","P1","upper","fill-in","Core","solver-gap","","","13块","13块 | 13","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给他5块。小明现在一共有多少块糖？"
"required-solver-gap","pep-primary-p1-upper-025","P1","upper","multiple-choice","Core","solver-gap","","","5支","5支","solver:no deterministic solver matched this free-form item","小丽有12支铅笔，送给同学一些后还剩7支。她送出了几支铅笔？"
"required-solver-gap","pep-primary-p1-upper-026","P1","upper","fill-in","Foundation","solver-gap","","","5颗","5颗 | 5","solver:no deterministic solver matched this free-form item","数一数：☆☆☆☆☆，一共有几颗星？"
"required-solver-gap","pep-primary-p1-upper-028","P1","upper","multiple-choice","Foundation","solver-gap","","","3个一","3个一","solver:no deterministic solver matched this free-form item","13里面有1个十和几个一？"
"required-solver-gap","pep-primary-p1-upper-029","P1","upper","fill-in","Core","solver-gap","","","圆圆的，可以滚动的立体图形","圆圆的，可以滚动的立体图形 | 球","solver:no deterministic solver matched this free-form item","下面的图形中，哪个是球？"
"required-solver-gap","pep-primary-p1-upper-030","P1","upper","short-answer","Foundation","solver-gap","","","4小时","4小时 | 4","solver:no deterministic solver matched this free-form item","小红上午8时到学校，中午12时放学。她在学校待了几个小时？"
"required-solver-gap","pep-primary-p1-upper-031","P1","upper","multiple-choice","Core","solver-gap","","","5","5","solver:no deterministic solver matched this free-form item","妈妈买了4个苹果，爸爸买了1个苹果。他们一共买了几个苹果？"
"required-solver-gap","pep-primary-p1-upper-034","P1","upper","multiple-choice","Foundation","solver-gap","","","右边","右边","solver:no deterministic solver matched this free-form item","小明的左边是小华，小华的右边是小明。那么小明在小华的哪一边？"
"required-solver-gap","pep-primary-p1-upper-036","P1","upper","short-answer","Foundation","solver-gap","","","1和4","1和4 | 2和3 | 3和2 | 4和1","solver:no deterministic solver matched this free-form item","把5个草莓分给两个小朋友，每个小朋友都要分到，可以怎么分？写出一种分法。"
"required-solver-gap","pep-primary-p1-upper-038","P1","upper","fill-in","Foundation","solver-gap","","","5","5","solver:no deterministic solver matched this free-form item","计算9+6时，先把6分成1和几？请填数字。"
"required-solver-gap","pep-primary-p1-upper-041","P1","upper","multiple-choice","Foundation","solver-gap","","","5只","5只","solver:no deterministic solver matched this free-form item","树上有3只小鸟，又飞来了2只。现在树上一共有几只小鸟？"
"required-solver-gap","pep-primary-p1-upper-043","P1","upper","multiple-choice","Foundation","solver-gap","","","13块","13块","solver:no deterministic solver matched this free-form item","小明有8块糖，妈妈又给了他5块。小明现在有多少块糖？"
"required-solver-gap","pep-primary-p1-upper-045","P1","upper","multiple-choice","Foundation","solver-gap","","","■","■","solver:no deterministic solver matched this free-form item","从右边数，第4个是什么图形？● ▲ ■ ★ ●（从左到右排列）"
"required-solver-gap","pep-primary-p1-upper-046","P1","upper","fill-in","Foundation","solver-gap","","","4","4","solver:no deterministic solver matched this free-form item","数一数，教室里有多少扇窗户？请填数字。"
"required-solver-gap","pep-primary-p1-upper-047","P1","upper","multiple-choice","Foundation","solver-gap","","","3和7","3和7","solver:no deterministic solver matched this free-form item","下面哪两个数合起来是10？"
"required-solver-gap","pep-primary-p1-upper-048","P1","upper","fill-in","Foundation","solver-gap","","","3","3","solver:no deterministic solver matched this free-form item","计算9+4时，可以把4分成1和几？请填数字。"
"required-solver-gap","pep-primary-p1-upper-049","P1","upper","multiple-choice","Foundation","solver-gap","","","球","球","solver:no deterministic solver matched this free-form item","下列哪个物体最容易滚动？"
"required-solver-gap","pep-primary-p2-lower-003","P2","lower","short-answer","Challenge","solver-gap","","","大约多1100本","大约多1100本 | 1100本 | 约1100本 | 大约1100本","solver:no deterministic solver matched this free-form item","学校图书馆有故事书2914本，科技书1805本。故事书大约比科技书多多少本？请写出你的估算过程和结果。"
"required-solver-gap","pep-primary-p2-lower-006","P2","lower","short-answer","Core","solver-gap","","","15÷3=5（个），口诀：三五十五","15÷3=5（个），口诀：三五十五 | 15÷3=5，口诀：三五十五 | 15÷3=5个，三五十五","solver:no deterministic solver matched this free-form item","有15支铅笔，每个笔筒放3支，可以放满几个笔筒？请写出除法算式和口诀。"
"required-solver-gap","pep-primary-p2-lower-007","P2","lower","multiple-choice","Challenge","solver-gap","","","6个","6个","solver:no deterministic solver matched this free-form item","有27个气球，每个小朋友分4个，最多可以分给几个小朋友？"
"required-solver-gap","pep-primary-p2-lower-009","P2","lower","short-answer","Foundation","solver-gap","","","12-6=6（人），多6人","12-6=6（人），多6人 | 12-6=6，多6人 | 12-6=6人，多6人","solver:no deterministic solver matched this free-form item","二（1）班同学最喜欢的水果情况：苹果8人，香蕉12人，橘子6人，梨4人。喜欢香蕉的比喜欢橘子的多几人？请写出算式和答案。"
"required-solver-gap","pep-primary-p2-lower-010","P2","lower","multiple-choice","Core","solver-gap","","","20-3×5","20-3×5","solver:no deterministic solver matched this free-form item","妈妈买了20个鸡蛋，每天吃3个，吃了5天后还剩几个？正确的算式是哪一个？"
"required-solver-gap","pep-primary-p2-lower-013","P2","lower","multiple-choice","Core","solver-gap","","","3050","3050","solver:no deterministic solver matched this free-form item","下面哪个数读作“三千零五十”？"
"required-solver-gap","pep-primary-p2-lower-014","P2","lower","fill-in","Challenge","solver-gap","","","10 小时 20 分钟。","10 小时 20 分钟。 | 10小时20分钟 | 10小时20分 | 10时20分 | 10时20分钟","solver:no deterministic solver matched this free-form item","小明晚上 8:30 睡觉，早上 6:50 起床。他一共睡了多长时间？"
