id,topicId,slot,reviewStatus,decision,candidatePath,srcAfterApproval,altZhHans,captionZhHans,ragCardIds,reviewerNotes
hjb-high-s4-等式与不等式-concept,hjb-high-s4-等式与不等式,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-等式与不等式/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-等式与不等式/concept.png,天平、数轴和抛物线把等式、不等式、根和符号区间联系起来。,等价变形要保持解集和端点判断不变。,hjb-high-compulsory-1-equations-inequalities,Owner/manual review approved on 2026-05-27
hjb-high-s4-等式与不等式-worked-example,hjb-high-s4-等式与不等式,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-等式与不等式/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-等式与不等式/worked-example.png,抛物线旁的符号表突出端点选择和有效解区间。,先标根，再测区间，最后只写满足不等式的部分。,hjb-high-compulsory-1-equations-inequalities,Owner/manual review approved on 2026-05-27
hjb-high-s4-复数-concept,hjb-high-s4-复数,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-复数/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-复数/concept.png,复平面展示实部虚部定位、共轭反射、模长圆和箭头运算。,复数可以同时用代数运算和复平面几何来检查。,hjb-high-compulsory-2-complex-numbers,Owner/manual review approved on 2026-05-27
hjb-high-s4-复数-worked-example,hjb-high-s4-复数,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-复数/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-复数/worked-example.png,复平面例题把箭头合成为结果点，并通过反射检查共轭。,分别追踪实部和虚部移动，再用图像检查最终点。,hjb-high-compulsory-2-complex-numbers,Owner/manual review approved on 2026-05-27
hjb-high-s4-函数的概念-性质及应用-concept,hjb-high-s4-函数的概念-性质及应用,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-函数的概念-性质及应用/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-函数的概念-性质及应用/concept.png,函数机器和图像窗口展示定义域、值域、单调性和对称线索。,先确定允许输入，再分区间读取输出怎样变化。,hjb-high-compulsory-1-function-concepts-applications,Owner/manual review approved on 2026-05-27
hjb-high-s4-函数的概念-性质及应用-worked-example,hjb-high-s4-函数的概念-性质及应用,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-函数的概念-性质及应用/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-函数的概念-性质及应用/worked-example.png,读图板突出输入范围、输出高度、零点和区间箭头。,定义域、零点和单调性要作为不同图像特征分别检查。,hjb-high-compulsory-1-function-concepts-applications,Owner/manual review approved on 2026-05-27
hjb-high-s4-集合与逻辑-concept,hjb-high-s4-集合与逻辑,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-集合与逻辑/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-集合与逻辑/concept.png,全集框中的重叠集合区域展示元素归属、集合运算和条件筛选。,先确定全集，再比较每个条件对应的区域。,hjb-high-compulsory-1-sets-logic,Owner/manual review approved on 2026-05-27
hjb-high-s4-集合与逻辑-worked-example,hjb-high-s4-集合与逻辑,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-集合与逻辑/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-集合与逻辑/worked-example.png,集合运算工作区逐步缩小到交集区域，并用补集区域作目视检查。,用公共区域和补集一起检查，避免把条件方向弄反。,hjb-high-compulsory-1-sets-logic,Owner/manual review approved on 2026-05-27
hjb-high-s4-幂-指数与对数-concept,hjb-high-s4-幂-指数与对数,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-幂-指数与对数/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-幂-指数与对数/concept.png,指数方块、根式模块和对数箭头展示幂与对数的可逆关系。,使用幂和对数法则前，必须先检查底数和定义域条件。,hjb-high-compulsory-1-powers-exponents-logarithms,Owner/manual review approved on 2026-05-27
hjb-high-s4-幂-指数与对数-worked-example,hjb-high-s4-幂-指数与对数,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-幂-指数与对数/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-幂-指数与对数/worked-example.png,转换板用可逆箭头连接指数式、根式和对数式。,每次只改写一步，并确认不同形式保留相同限制。,hjb-high-compulsory-1-powers-exponents-logarithms,Owner/manual review approved on 2026-05-27
hjb-high-s4-幂函数-指数函数与对数函数-concept,hjb-high-s4-幂函数-指数函数与对数函数,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-幂函数-指数函数与对数函数/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-幂函数-指数函数与对数函数/concept.png,幂函数、指数函数和对数函数曲线比较增长、定义域、值域和互逆结构。,比较函数族时，要同时看形状、定义域、单调性和变换。,hjb-high-compulsory-1-power-exponential-log-functions,Owner/manual review approved on 2026-05-27
hjb-high-s4-幂函数-指数函数与对数函数-worked-example,hjb-high-s4-幂函数-指数函数与对数函数,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-幂函数-指数函数与对数函数/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-幂函数-指数函数与对数函数/worked-example.png,读图工作区把曲线形状、参数线索和高亮区间对应起来。,在图像特征和式子选择之间转换时，要重复检查同一限制条件。,hjb-high-compulsory-1-power-exponential-log-functions,Owner/manual review approved on 2026-05-27
hjb-high-s4-平面向量-concept,hjb-high-s4-平面向量,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-平面向量/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-平面向量/concept.png,坐标网格上的有向箭头展示向量加法、分解、投影和夹角比较。,向量图示在计算前必须同时保留长度和方向。,hjb-high-compulsory-2-plane-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s4-平面向量-worked-example,hjb-high-s4-平面向量,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-平面向量/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-平面向量/worked-example.png,向量板把箭头分解为分量，并检查投影方向。,使用投影或数量积前，先把向量分解为清楚分量。,hjb-high-compulsory-2-plane-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s4-三角-concept,hjb-high-s4-三角,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-三角/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-三角/concept.png,单位圆把角的旋转与三角函数波形、符号和周期联系起来。,用单位圆解释符号、参考角和图像周期。,hjb-high-compulsory-2-trigonometry-foundations,Owner/manual review approved on 2026-05-27
hjb-high-s4-三角-worked-example,hjb-high-s4-三角,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-三角/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-三角/worked-example.png,三角工作区把单位圆上的角与波形中的高亮区间互相检查。,先判断符号和参考角，再利用周期补全解。,hjb-high-compulsory-2-trigonometry-foundations,Owner/manual review approved on 2026-05-27
hjb-high-s4-三角函数-concept,hjb-high-s4-三角函数,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-三角函数/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-三角函数/concept.png,函数机器和图像窗口展示定义域、值域、单调性和对称线索。,先确定允许输入，再分区间读取输出怎样变化。,hjb-high-compulsory-2-trigonometric-functions,Owner/manual review approved on 2026-05-27
hjb-high-s4-三角函数-worked-example,hjb-high-s4-三角函数,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s4-三角函数/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s4-三角函数/worked-example.png,读图板突出输入范围、输出高度、零点和区间箭头。,定义域、零点和单调性要作为不同图像特征分别检查。,hjb-high-compulsory-2-trigonometric-functions,Owner/manual review approved on 2026-05-27
hjb-high-s5-概率初步-concept,hjb-high-s5-概率初步,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-概率初步/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-概率初步/concept.png,样本空间网格、事件区域、分支和模拟轨迹展示概率结构。,先确定样本空间，再描述事件及其关系。,hjb-high-compulsory-3-probability-foundations,Owner/manual review approved on 2026-05-27
hjb-high-s5-概率初步-worked-example,hjb-high-s5-概率初步,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-概率初步/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-概率初步/worked-example.png,概率板从全部结果缩小到高亮事件，并检查补集或分支计数。,先列清所有可能结果，避免漏数或重复计数。,hjb-high-compulsory-3-probability-foundations,Owner/manual review approved on 2026-05-27
hjb-high-s5-简单几何体-concept,hjb-high-s5-简单几何体,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-简单几何体/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-简单几何体/concept.png,透明立体和辅助平面展示线面关系、平行、垂直和距离线索。,立体几何要依据明确的线面关系推理，不能只凭外观。,hjb-high-compulsory-3-simple-solids,Owner/manual review approved on 2026-05-27
hjb-high-s5-简单几何体-worked-example,hjb-high-s5-简单几何体,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-简单几何体/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-简单几何体/worked-example.png,立体几何工作区在透明几何体内加入辅助平面和直角线索。,加入辅助平面或线段，把空间关系转化为可见论证。,hjb-high-compulsory-3-simple-solids,Owner/manual review approved on 2026-05-27
hjb-high-s5-空间向量及其应用-concept,hjb-high-s5-空间向量及其应用,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-空间向量及其应用/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-空间向量及其应用/concept.png,三维坐标箭头和分量投影展示空间向量、夹角和平面法向量。,空间向量把几何关系转化为坐标、分量和数量积。,hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s5-空间向量及其应用-worked-example,hjb-high-s5-空间向量及其应用,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-空间向量及其应用/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-空间向量及其应用/worked-example.png,三维向量工作区投影箭头，并与平面法向量比较。,用分量和法向方向检查夹角、距离或垂直关系。,hjb-high-selective-1-space-vectors,Owner/manual review approved on 2026-05-27
hjb-high-s5-空间直线与平面-concept,hjb-high-s5-空间直线与平面,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-空间直线与平面/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-空间直线与平面/concept.png,透明立体和辅助平面展示线面关系、平行、垂直和距离线索。,立体几何要依据明确的线面关系推理，不能只凭外观。,hjb-high-compulsory-3-spatial-lines-planes,Owner/manual review approved on 2026-05-27
hjb-high-s5-空间直线与平面-worked-example,hjb-high-s5-空间直线与平面,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-空间直线与平面/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-空间直线与平面/worked-example.png,立体几何工作区在透明几何体内加入辅助平面和直角线索。,加入辅助平面或线段，把空间关系转化为可见论证。,hjb-high-compulsory-3-spatial-lines-planes,Owner/manual review approved on 2026-05-27
hjb-high-s5-平面直角坐标系中的直线-concept,hjb-high-s5-平面直角坐标系中的直线,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-平面直角坐标系中的直线/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-平面直角坐标系中的直线/concept.png,坐标直线、斜率三角形和截距标记展示解析几何结构。,直线问题要分清斜率、截距、距离和位置关系。,hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s5-平面直角坐标系中的直线-worked-example,hjb-high-s5-平面直角坐标系中的直线,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-平面直角坐标系中的直线/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-平面直角坐标系中的直线/worked-example.png,解析几何工作区由点构造直线，并检查斜率和距离。,求解前先把几何条件转化为坐标检查。,hjb-high-selective-1-lines,Owner/manual review approved on 2026-05-27
hjb-high-s5-数列-concept,hjb-high-s5-数列,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-数列/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-数列/concept.png,数列方块、差分箭头、比值弧线和求和模块展示有序增长。,数列要从项的位置、变化规律和求和结构来读。,hjb-high-selective-1-sequences,Owner/manual review approved on 2026-05-27
hjb-high-s5-数列-worked-example,hjb-high-s5-数列,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-数列/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-数列/worked-example.png,数列工作区从前几项推广到一般位置，并检查求和模型。,写通项前，先寻找递推关系或共同变化。,hjb-high-selective-1-sequences,Owner/manual review approved on 2026-05-27
hjb-high-s5-统计-concept,hjb-high-s5-统计,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-统计/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-统计/concept.png,数据点转化为分布图和散点图，展示中心、离散和趋势。,统计把数据转化为证据，要描述分布、离散和关系。,hjb-high-compulsory-3-statistics,Owner/manual review approved on 2026-05-27
hjb-high-s5-统计-worked-example,hjb-high-s5-统计,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-统计/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-统计/worked-example.png,数据工作区比较两个分布，并用趋势带分析成对数据散点图。,根据数据下结论前，要先比较形状和离散程度。,hjb-high-compulsory-3-statistics,Owner/manual review approved on 2026-05-27
hjb-high-s5-圆锥曲线-concept,hjb-high-s5-圆锥曲线,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-圆锥曲线/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-圆锥曲线/concept.png,坐标平面上的圆锥曲线轮廓展示轴、焦点和几何约束。,圆锥曲线把方程与焦点、轴和距离关系联系起来。,hjb-high-selective-1-conics,Owner/manual review approved on 2026-05-27
hjb-high-s5-圆锥曲线-worked-example,hjb-high-s5-圆锥曲线,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s5-圆锥曲线/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s5-圆锥曲线/worked-example.png,圆锥曲线工作区突出一条曲线、焦点、轴线和坐标检查。,计算参数前，先判断曲线类型和关键元素。,hjb-high-selective-1-conics,Owner/manual review approved on 2026-05-27
hjb-high-s6-成对数据的统计分析-concept,hjb-high-s6-成对数据的统计分析,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-成对数据的统计分析/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-成对数据的统计分析/concept.png,数据点转化为分布图和散点图，展示中心、离散和趋势。,统计把数据转化为证据，要描述分布、离散和关系。,hjb-high-selective-2-bivariate-data,Owner/manual review approved on 2026-05-27
hjb-high-s6-成对数据的统计分析-worked-example,hjb-high-s6-成对数据的统计分析,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-成对数据的统计分析/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-成对数据的统计分析/worked-example.png,数据工作区比较两个分布，并用趋势带分析成对数据散点图。,根据数据下结论前，要先比较形状和离散程度。,hjb-high-selective-2-bivariate-data,Owner/manual review approved on 2026-05-27
hjb-high-s6-导数及其运用-concept,hjb-high-s6-导数及其运用,concept,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-导数及其运用/concept.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-导数及其运用/concept.png,曲线、切线和极值标记展示导数斜率与区间变化。,导数把局部变化转化为斜率信息，用来判断单调性和极值。,hjb-high-selective-2-derivatives,Owner/manual review approved on 2026-05-27
hjb-high-s6-导数及其运用-worked-example,hjb-high-s6-导数及其运用,worked-example,approved,approved,coordination/content-qa/mainland-hjb-high-illustrations-v1/candidates/hjb-high-s6-导数及其运用/worked-example.png,/lesson-illustrations/mainland-hjb-high/hjb-high-s6-导数及其运用/worked-example.png,导数工作区从切线斜率符号推进到区间表和曲线检查。,用符号变化定位函数行为，再用曲线检查结论。,hjb-high-selective-2-derivatives,Owner/manual review approved on 2026-05-27
