sampleReason,questionId,grade,semester,type,difficulty,reviewer,solvableFromPrompt,independentAnswer,storedAnswerMatches,explanationMatches,gradeFit,terminologyOk,sourceDistanceOk,verdict,recommendedFix,reviewNotes
semester-type-coverage,pep-primary-rag2-p1-lower-mc-011,P1,lower,multiple-choice,Core,S18-final-review,yes,正方形,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-mc-013,P1,lower,multiple-choice,Core,S18-final-review,yes,先算10-6=4，再算4+3=7,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-mc-015,P1,lower,multiple-choice,Core,S18-final-review,yes,40,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-fi-001,P1,lower,fill-in,Core,S18-final-review,yes,5,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-fi-003,P1,lower,fill-in,Core,S18-final-review,yes,<,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-fi-005,P1,lower,fill-in,Core,S18-final-review,yes,5元3角 > 3元5角 > 5角3分 > 3角5分,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-sa-002,P1,lower,short-answer,Challenge,S18-final-review,yes,圆形最多，正方形最少,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-sa-003,P1,lower,short-answer,Challenge,S18-final-review,yes,13角，合1元3角,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-lower-sa-001,P1,lower,short-answer,Challenge,S18-final-review,yes,84,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-mc-011,P1,upper,multiple-choice,Core,S18-final-review,yes,5,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-mc-013,P1,upper,multiple-choice,Core,S18-final-review,yes,4和6,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-mc-015,P1,upper,multiple-choice,Core,S18-final-review,yes,把7分成2和5，8+2=10，10+5=15,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-fi-008,P1,upper,fill-in,Core,S18-final-review,yes,15,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-fi-004,P1,upper,fill-in,Core,S18-final-review,yes,5,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-fi-005,P1,upper,fill-in,Core,S18-final-review,yes,8,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-sa-005,P1,upper,short-answer,Challenge,S18-final-review,yes,13,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-sa-004,P1,upper,short-answer,Challenge,S18-final-review,yes,8,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p1-upper-sa-003,P1,upper,short-answer,Challenge,S18-final-review,yes,下面,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
difficulty-coverage,pep-primary-rag2-p1-lower-sa-008,P1,lower,short-answer,Foundation,S18-final-review,yes,7元3角,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-upper-sa-002,P1,upper,short-answer,Challenge,S18-final-review,yes,9,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-sa-007,P1,lower,short-answer,Core,S18-final-review,yes,7,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-upper-sa-015,P1,upper,short-answer,Core,S18-final-review,yes,13个,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-upper-sa-009,P1,upper,short-answer,Core,S18-final-review,yes,9支,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-upper-sa-007,P1,upper,short-answer,Core,S18-final-review,yes,5只,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-upper-sa-013,P1,upper,short-answer,Core,S18-final-review,yes,8时,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-sa-011,P1,lower,short-answer,Core,S18-final-review,yes,47，4个十和7个一,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-sa-015,P1,lower,short-answer,Core,S18-final-review,yes,27本,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-fi-004,P1,lower,fill-in,Core,S18-final-review,yes,直角,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-fi-006,P1,lower,fill-in,Core,S18-final-review,yes,"5, 5, 7",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p1-lower-fi-029,P1,lower,fill-in,Core,S18-final-review,yes,63,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-mc-009,P2,lower,multiple-choice,Core,S18-final-review,yes,4支,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-mc-013,P2,lower,multiple-choice,Core,S18-final-review,yes,23 ÷ 4 = 5……3,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-mc-015,P2,lower,multiple-choice,Core,S18-final-review,yes,3005,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-fi-012,P2,lower,fill-in,Core,S18-final-review,yes,"6, 4",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-fi-010,P2,lower,fill-in,Core,S18-final-review,yes,30,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-fi-029,P2,lower,fill-in,Core,S18-final-review,yes,3058,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-sa-005,P2,lower,short-answer,Challenge,S18-final-review,yes,5组，剩4人,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-sa-003,P2,lower,short-answer,Challenge,S18-final-review,yes,最喜欢苹果的人最多，比葡萄多6人。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-lower-sa-002,P2,lower,short-answer,Challenge,S18-final-review,yes,放3个盘时每盘6个，放6个盘时每盘3个。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-mc-015,P2,upper,multiple-choice,Core,S18-final-review,yes,黑板上的直角和数学书封面上的直角一样大。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-mc-011,P2,upper,multiple-choice,Core,S18-final-review,yes,4×6,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-mc-013,P2,upper,multiple-choice,Core,S18-final-review,yes,米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-fi-027,P2,upper,fill-in,Core,S18-final-review,yes,15；0；15,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-fi-030,P2,upper,fill-in,Core,S18-final-review,yes,3，3，2,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-fi-026,P2,upper,fill-in,Core,S18-final-review,yes,米；厘米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-sa-002,P2,upper,short-answer,Challenge,S18-final-review,yes,（学生画出5组，每组2个图形，如5组圆圈，每组2个）口诀：二五一十,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-sa-003,P2,upper,short-answer,Challenge,S18-final-review,yes,4米。算式：2×2=4（米）,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p2-upper-sa-001,P2,upper,short-answer,Challenge,S18-final-review,yes,长方形,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
difficulty-coverage,pep-primary-rag2-p2-lower-sa-010,P2,lower,short-answer,Foundation,S18-final-review,yes,6元,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-lower-sa-001,P2,lower,short-answer,Challenge,S18-final-review,yes,故事书大约是2千本，科技书大约是2千本。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-004,P2,upper,short-answer,Challenge,S18-final-review,yes,80厘米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-005,P2,upper,short-answer,Challenge,S18-final-review,yes,24,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-lower-sa-011,P2,lower,short-answer,Core,S18-final-review,yes,约900人,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-lower-sa-013,P2,lower,short-answer,Core,S18-final-review,yes,草莓，6人,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-lower-sa-009,P2,lower,short-answer,Core,S18-final-review,yes,6条,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-015,P2,upper,short-answer,Core,S18-final-review,yes,不对。2×3表示2个3相加，结果是6；2+3表示2和3合起来，结果是5，所以不相等。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-007,P2,upper,short-answer,Core,S18-final-review,yes,3×4=12,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-011,P2,upper,short-answer,Core,S18-final-review,yes,前面看是正方形，上面看也是正方形。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-013,P2,upper,short-answer,Core,S18-final-review,yes,铅笔长18厘米。没有变，因为长度是物体两端刻度差，20-2=18厘米。,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
risk-weighted-coverage,pep-primary-rag2-p2-upper-sa-009,P2,upper,short-answer,Core,S18-final-review,yes,60厘米,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-mc-023,P3,lower,multiple-choice,Core,S18-final-review,yes,16,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-mc-035,P3,lower,multiple-choice,Core,S18-final-review,yes,4×6×2,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-mc-037,P3,lower,multiple-choice,Core,S18-final-review,yes,27人,yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
semester-type-coverage,pep-primary-rag2-p3-lower-fi-014,P3,lower,fill-in,Core,S18-final-review,yes,"4, 20",yes,yes,yes,yes,yes,accepted-s18-final-review,,"Passed S18 final content QA overlay after deterministic audit, source-safety scan, answer-key check, explanation contradiction scan, terminology review, and grade-fit review."
