questionId,grade,topicId,topicZh,questionType,batch,promptZh,answer,illustrationTier,illustrationCategory,reusableTemplateKey,suggestedImageKind,exactMathLabelsNeeded,generationPriority,notes
pep-high-s4-mc-006,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(2,4)\)，\(\vec b=(4,1)\)，求 \(\vec a\cdot\vec b\)。",12,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-016,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(4,3)\)，\(\vec b=(6,4)\)，求 \(\vec a\cdot\vec b\)。",36,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-026,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(1,2)\)，\(\vec b=(3,1)\)，求 \(\vec a\cdot\vec b\)。",5,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-036,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(3,5)\)，\(\vec b=(5,4)\)，求 \(\vec a\cdot\vec b\)。",35,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-046,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(5,4)\)，\(\vec b=(7,1)\)，求 \(\vec a\cdot\vec b\)。",39,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-056,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(2,3)\)，\(\vec b=(4,4)\)，求 \(\vec a\cdot\vec b\)。",20,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-066,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(4,2)\)，\(\vec b=(6,1)\)，求 \(\vec a\cdot\vec b\)。",26,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-076,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(1,5)\)，\(\vec b=(3,4)\)，求 \(\vec a\cdot\vec b\)。",23,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-086,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(3,4)\)，\(\vec b=(5,1)\)，求 \(\vec a\cdot\vec b\)。",19,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-mc-096,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,seed-v1,"已知 \(\vec a=(5,3)\)，\(\vec b=(7,4)\)，求 \(\vec a\cdot\vec b\)。",47,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-rag2-mc-051,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,rag-v2,"原创诊断练习 51：已知 \(\vec a=(3,4)\)，\(\vec b=(5,5)\)，求 \(\vec a\cdot\vec b\)。",35,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
pep-high-s4-rag2-mc-052,S4,pep-high-s4-plane-vectors,平面向量及其应用,multiple-choice,rag-v2,"原创计算练习 52：已知 \(\vec a=(4,2)\)，\(\vec b=(6,1)\)，求 \(\vec a\cdot\vec b\)。",26,P1,平面向量箭头/投影图,P1:plane-vector-grid:multiple-choice,coordinate-plane vector diagram,"yes: vector names, coordinates, dot-product/projection labels should be deterministic overlays",1_high,Use clean grid arrows and projection cues; keep exact formula text outside the image model.
