"questionId","grade","semester","type","difficulty","unitTitle","status","severity","storedAnswer","acceptedAnswers","independentAnswer","solverMethod","solverFamily","explanationCheck","notes","promptZhHans"
"pep-primary-rag2-p1-lower-fi-001","P1","lower","fill-in","Core","破十法","solver-gap","manual-required","5","5","","","","not-run","solver:no deterministic solver matched this free-form item","13 - 8 = □，用破十法先算10 - 8 = 2，再算3 + 2 = 5。所以□里填____。"
"pep-primary-rag2-p1-lower-fi-002","P1","lower","fill-in","Core","找规律","pass","none","14","14","14","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：2，5，8，11，____，17。"
"pep-primary-rag2-p1-lower-fi-003","P1","lower","fill-in","Core","比较大小","solver-gap","manual-required","<","<","","","","not-run","solver:no deterministic solver matched this free-form item","比较大小：67 ○ 76，在○里填上“>”“<”或“=”。"
"pep-primary-rag2-p1-lower-fi-004","P1","lower","fill-in","Core","图形拼组","solver-gap","manual-required","直角","直角 | 直角三角形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形可以拼成一个长方形，这两个三角形是______三角形。"
"pep-primary-rag2-p1-lower-fi-005","P1","lower","fill-in","Core","分类与整理","solver-gap","manual-required","5元3角 > 3元5角 > 5角3分 > 3角5分","5元3角 > 3元5角 > 5角3分 > 3角5分","","","","not-run","solver:no deterministic solver matched this free-form item","把下面的钱数按从大到小的顺序排列：3元5角、5元3角、5角3分、3角5分。\n______ > ______ > ______ > ______"
"pep-primary-rag2-p1-lower-fi-006","P1","lower","fill-in","Core","20以内退位减法","solver-gap","manual-required","5, 5, 7","5, 5, 7 | 5,5,7","","","","not-run","solver:no deterministic solver matched this free-form item","计算12-5时，可以把12分成10和2，先算10-5=______，再算______+2=______。"
"pep-primary-rag2-p1-lower-fi-007","P1","lower","fill-in","Foundation","找规律","pass","none","60, 40","60, 40 | 60和40","60","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：90, 80, 70, ____, 50, ____。"
"pep-primary-rag2-p1-lower-fi-008","P1","lower","fill-in","Core","数的顺序","pass","none","60","60","60","constant-difference-number-pattern","number-pattern","pass","solver:constant-difference-number-pattern","按规律填数：45、50、55、____、65。"
"pep-primary-rag2-p1-lower-fi-009","P1","lower","fill-in","Foundation","图形拼组","solver-gap","manual-required","平行四边","平行四边 | 平行四边形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个同样的三角形可以拼成一个____形。"
"pep-primary-rag2-p1-lower-fi-010","P1","lower","fill-in","Core","分类与整理","solver-gap","manual-required","水果，文具","水果，文具 | 水果 文具 | 水果、文具","","","","not-run","solver:no deterministic solver matched this free-form item","把下面的物品分成两类：苹果、香蕉、铅笔、橡皮、橘子、尺子。一类是____，另一类是____。"
"pep-primary-rag2-p1-lower-fi-011","P1","lower","fill-in","Foundation","解决问题","solver-gap","manual-required","8","8 | 8只","","","","not-run","solver:no deterministic solver matched this free-form item","树上有15只鸟，飞走了7只，还剩多少只？想：15可以分成10和5，先算10-7=3，再算3+5=□。"
"pep-primary-rag2-p1-lower-fi-012","P1","lower","fill-in","Core","找规律","solver-gap","manual-required","14","14","","","","not-run","solver:no deterministic solver matched this free-form item","按规律填数：2，5，8，11，□，17。"
"pep-primary-rag2-p1-lower-fi-013","P1","lower","fill-in","Foundation","十位和个位","solver-gap","manual-required","69，70","69，70 | 69 70","","","","not-run","solver:no deterministic solver matched this free-form item","一个数个位上是9，十位上是6，这个数是□，它后面的一个数是□。"
"pep-primary-rag2-p1-lower-fi-014","P1","lower","fill-in","Core","图形拼组","solver-gap","manual-required","平行四边形，正方形","平行四边形，正方形 | 正方形，平行四边形 | 长方形，正方形 | 正方形，长方形 | 平行四边形，长方形 | 长方形，平行四边形","","","","not-run","solver:no deterministic solver matched this free-form item","用两个完全一样的三角形可以拼成什么图形？请写出两种。"
"pep-primary-rag2-p1-lower-fi-015","P1","lower","fill-in","Foundation","分类与整理","solver-gap","manual-required","5，2","5，2 | 5张，2张 | 5张1元，2张5元","","","","not-run","solver:no deterministic solver matched this free-form item","一张5元可以换几张1元？一张10元可以换几张5元？"
"pep-primary-rag2-p1-lower-fi-016","P1","lower","fill-in","Core","想加算减","solver-gap","manual-required","6，6","6，6","","","","not-run","solver:no deterministic solver matched this free-form item","计算12-6时，想6+□=12，所以12-6=□。请填出两个□里的数。"
"pep-primary-rag2-p1-lower-fi-017","P1","lower","fill-in","Core","认识人民币","solver-gap","manual-required","1元3角","1元3角 | 13角","","","","not-run","solver:no deterministic solver matched this free-form item","一支铅笔8角，一个橡皮5角，买这两样一共需要多少钱？"
"pep-primary-rag2-p1-lower-fi-018","P1","lower","fill-in","Core","分类观察","solver-gap","manual-required","3，2，4，1","3，2，4，1 | 3,2,4,1 | 正方形3个，圆形2个，三角形4个，长方形1个","","","","not-run","solver:no deterministic solver matched this free-form item","数一数：有3个正方形、2个圆形、4个三角形、1个长方形。正方形有____个，圆形有____个，三角形有____个，长方形有____个。"
"pep-primary-rag2-p1-lower-fi-019","P1","lower","fill-in","Core","100以内数的认识","solver-gap","manual-required","写作63，读作六十三。","写作63，读作六十三。 | 63，六十三 | 63 六十三","","","","not-run","solver:no deterministic solver matched this free-form item","一个两位数，十位上是6，个位上是3，这个数写作____，读作____。"
"pep-primary-rag2-p1-lower-fi-020","P1","lower","fill-in","Core","100以内加减法","pass","none","34+5=39，67-20=47。","34+5=39，67-20=47。 | 39，47 | 39 47","39","labeled-arithmetic-expression","arithmetic","pass","solver:labeled-arithmetic-expression","计算：34 + 5 = ____，67 - 20 = ____。"
"pep-primary-rag2-p1-lower-fi-021","P1","lower","fill-in","Core","20以内退位减法","pass","none","13-6=7，想：6+7=13，所以13-6=7。","13-6=7，想：6+7=13，所以13-6=7。 | 7，7 | 7 7","7","missing-addend-equation","arithmetic","pass","solver:missing-addend-equation","13 - 6 = ____，想：6 + ____ = 13，所以13 - 6 = ____。"
"pep-primary-rag2-p1-lower-fi-022","P1","lower","fill-in","Core","分类与整理","solver-gap","manual-required","4","4 | 4人","","","","not-run","solver:no deterministic solver matched this free-form item","下面是二（1）班同学喜欢的水果统计表：苹果8人，香蕉5人，橘子6人，梨4人。\n喜欢苹果的比喜欢梨的多____人。"
"pep-primary-rag2-p1-lower-fi-023","P1","lower","fill-in","Core","认识平面图形","solver-gap","manual-required","一样多","一样多 | 同样多 | 相同 | 都是4个","","","","not-run","solver:no deterministic solver matched this free-form item","用4个同样大小的正方形可以拼成一个长方形，也可以拼成一个正方形。拼成的长方形和正方形中，哪种图形用的正方形个数更多？"
