questionId,grade,semester,knowledgePointId,type,difficulty,status,notes
pep-junior-candidate-k01-mc-001,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-002,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-003,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-004,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-005,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Core,pass,pass
pep-junior-candidate-k01-mc-006,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-007,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-008,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-009,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-010,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Core,pass,pass
pep-junior-candidate-k01-mc-011,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-012,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-013,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-014,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-015,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Core,pass,pass
pep-junior-candidate-k01-mc-016,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-017,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-018,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-019,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-020,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Core,pass,pass
pep-junior-candidate-k01-mc-021,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-022,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-023,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-024,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Foundation,pass,pass
pep-junior-candidate-k01-mc-025,S1,upper,pep-junior-s1-upper-rational-numbers,multiple-choice,Core,pass,pass
