knowledgePointCode,topicId,status,notes
1-H.1,us-ca-math-p1-1-h1-picture-join-stories-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-H.2,us-ca-math-p1-1-h2-picture-story-addition-equations,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-H.3,us-ca-math-p1-1-h3-cube-train-join-models-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-H.4,us-ca-math-p1-1-h4-join-stories-within-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-H.5,us-ca-math-p1-1-h5-model-equation-join-stories-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-H.6,us-ca-math-p1-1-h6-equation-match-join-stories-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.1,us-ca-math-p1-1-l1-picture-take-away-stories-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.2,us-ca-math-p1-1-l2-picture-story-subtraction-equations,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.3,us-ca-math-p1-1-l3-cube-train-take-away-models-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.4,us-ca-math-p1-1-l4-take-away-stories-within-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.5,us-ca-math-p1-1-l5-model-equation-take-away-stories-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
1-L.6,us-ca-math-p1-1-l6-break-apart-subtraction-equations-to-10,s18-self-sampled-pass,MAIS-authored original text-only micro lesson
