"questionId","reviewer","solvableFromPrompt","independentAnswer","storedAnswerMatches","explanationMatches","gradeFit","terminologyOk","sourceDistanceOk","verdict","recommendedFix"
"pep-primary-p1-lower-001","S18-deterministic-audit","yes","一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-002","S18-deterministic-audit","yes","2, 2, 5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-003","S18-deterministic-audit","yes","40","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-004","S18-deterministic-audit","yes","够，还剩2元5角","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-005","S18-deterministic-audit","yes","10","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-006","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-007","S18-deterministic-audit","yes","7","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-008","S18-deterministic-audit","yes","<","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-009","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-010","S18-deterministic-audit","yes","31","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-011","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-012","S18-deterministic-audit","yes","5","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-013","S18-deterministic-audit","yes","64","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-014","S18-deterministic-audit","yes","8元5角","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-015","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-016","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-017","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-018","S18-deterministic-audit","yes","59","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-019","S18-deterministic-audit","yes","1元5角","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-020","S18-deterministic-audit","yes","14","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-021","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-022","S18-manual-required","pending","","pending","pending","pending","pending","yes","pending-s18-review","Manual S18 review required, or add a narrow deterministic solver for this cluster and rerun the full audit."
"pep-primary-p1-lower-023","S18-deterministic-audit","yes","60","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
"pep-primary-p1-lower-024","S18-deterministic-audit","yes","6角","yes","yes","pending-final-s18-sampling","pending-final-s18-sampling","yes","approved-deterministic",""
