questionId,questionType,level,grade,originName,locale,hasImage,missingAnswerKey,standardAnswer,independentAnswer,solvabilityStatus,answerMatchStatus,severity,reason,recommendedAction,questionTextExcerpt,scope
100000080,BFQ,junior_secondary,8,Tsang Pik Shan (Sung Lan) Secondary School,zh-HK,true,false,7.85,,image-context-required,not-checkable,P1,三角形未知量，需要圖片提供邊長/角度資訊。,補充圖片或改為文字描述，使題目可供審查。,求下列各三角形的未知量。（如有需要，取答案準確至三位有效數字。）,pilot-100
100000043,BFQ,junior_secondary,7,Hong Kong Testing School for Test,zh,false,false,A,A,pass,pass,none,48與180的GCD為12，LCM為720，與選項A一致。,No blocking action.,"求以下兩個整數 48 與 180 的最大公因數（GCD）及最小公倍數（LCM），請選出正確的答案。  \nA. GCD = 12，LCM = 720  \nB. GCD = 24，LCM = 360  \nC. GCD = 12，LCM = 360  \nD. GCD = 6，LCM = 720",pilot-100
192,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,true,false,[@]192a.png[@],,image-context-required,not-checkable,P1,需數線圖片才能標示相反數，且答案為圖片無法比對。,提供圖片描述或以文字指出相反數，使審查可行。,"在以下數線上標示和寫出 4/5 和 -3/5的相反數。    \n[@]192.png[@]",pilot-100
54,FRQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,"4,120","4,120",pass,pass,none,20與24的HCF=4，LCM=120，與答案吻合。,No blocking action.,"考慮整數20及24。 利用 質因數分解 ，求它們的\n	(a)	H.C.F.，\n	(b)	L.C.M.。",pilot-100
100000027,FRQ,junior_secondary,7,ELCHK Lutheran Secondary School,zh,false,true,,,unsolvable,missing-answer-key,P0,題目文字為空，無法作答。,補充完整題目及標準答案。,,pilot-100
100000006,MCQ,junior_secondary,7,eduhk,zh,true,false,D,,image-context-required,not-checkable,P1,问题文本仅为'helloworld'且依赖图像，无法解答,提供图像或完整问题文本,helloworld,pilot-100
40,MCQ,junior_secondary,7,The Mission Covenant Church Holm Glad College,b,false,false,D,D,pass,pass,none,问题清晰，答案正确，16不是90的因数,无,"以下哪個不是 90的因數？ \nA.        3\nB.        6\nC.        15\nD.        16",pilot-100
10357,FRQ,primary,2,C.C.C. Mong Wong Far Yok Memorial Primary School,c,true,true,<not provided from school>,,image-context-required,missing-answer-key,P1,缺少标准答案，且题目依赖月历图像，无法解题,提供标准答案和/或月历图像描述,"[@]P.4數下期考-A9.png[@]\n根據下面的月曆，在         上填上適當的答案。\n仁愛小學的學生逢星期二、星期三和星期四均須補課，\n本月共有         天要補課。\n",pilot-100
10629,FRQ,primary,3,Gemini,b,false,false,245,245,pass,pass,none,运算正确，450-(120+85)=245,无,450 - (120 + 85) =,pilot-100
10339,FRQ,primary,2,C.C.C. Mong Wong Far Yok Memorial Primary School,c,false,true,<not provided from school>,米,pass,missing-answer-key,P1,可推断单位为米，但缺少标准答案,提供标准答案“米”或确认,環保回收箱高約1           。,pilot-100
