questionId,grade,topicId,type,storedAnswer,acceptedAnswers,independentAnswer,solvableStatus,answerMatchStatus,confidence,issueType,recommendedAction,singleReviewApplied,note
pep-primary-p1-u-mc-001,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 14-11=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-002,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 10-7=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-003,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 11-10=1，选项中有1，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-004,P1,pep-primary-p1-upper-number-sense,multiple-choice,10,,10,pass,pass,high,none,pass,false,Stage A: 12-2=10，选项中有10，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-005,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 13-4=9，选项中有9，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-006,P1,pep-primary-p1-upper-number-sense,multiple-choice,8,,8,pass,pass,high,none,pass,false,Stage A: 14-6=8，选项中有8，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-007,P1,pep-primary-p1-upper-number-sense,multiple-choice,7,,7,pass,pass,high,none,pass,false,Stage A: 15-8=7，选项中有7，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-008,P1,pep-primary-p1-upper-number-sense,multiple-choice,6,,6,pass,pass,high,none,pass,false,Stage A: 16-10=6，选项中有6，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-009,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 17-12=5，选项中有5，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-010,P1,pep-primary-p1-upper-number-sense,multiple-choice,4,,4,pass,pass,high,none,pass,false,Stage A: 18-14=4，选项中有4，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-011,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 19-16=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-012,P1,pep-primary-p1-upper-number-sense,multiple-choice,6,,6,pass,pass,high,none,pass,false,Stage A: 8-2=6，选项中有6，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-013,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 9-8=1，选项中有1，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-014,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 10-7=3，选项中有3，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-015,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 11-6=5，选项中有5，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-016,P1,pep-primary-p1-upper-number-sense,multiple-choice,7,,7,pass,pass,high,none,pass,false,Stage A: 12-5=7，选项中有7，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-017,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 13-4=9，选项中有9，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-018,P1,pep-primary-p1-upper-number-sense,multiple-choice,11,,11,pass,pass,high,none,pass,false,Stage A: 14-3=11，选项中有11，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-019,P1,pep-primary-p1-upper-number-sense,multiple-choice,13,,13,pass,pass,high,none,pass,false,Stage A: 15-2=13，选项中有13，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-020,P1,pep-primary-p1-upper-number-sense,multiple-choice,15,,15,pass,pass,high,none,pass,false,Stage A: 16-1=15，选项中有15，题目清晰可解。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-021,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 总数17，一部分16，另一部分为17-16=1，选项中有1。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-022,P1,pep-primary-p1-upper-number-sense,multiple-choice,2,,2,pass,pass,high,none,pass,false,Stage A: 总数18，一部分16，另一部分为18-16=2，选项中有2。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-023,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数19，一部分16，另一部分为19-16=3，选项中有3。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-024,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 总数8，一部分3，另一部分为8-3=5，选项中有5。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-025,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 总数9，一部分4，另一部分为9-4=5，选项中有5。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-026,P1,pep-primary-p1-upper-number-sense,multiple-choice,3,,3,pass,pass,high,none,pass,false,Stage A: 总数10，一部分7，另一部分为10-7=3，选项中有3。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-027,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 总数11，一部分2，另一部分为11-2=9，选项中有9。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-028,P1,pep-primary-p1-upper-number-sense,multiple-choice,4,,4,pass,pass,high,none,pass,false,Stage A: 总数12，一部分8，另一部分为12-8=4，选项中有4。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-029,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 总数13，一部分4，另一部分为13-4=9，选项中有9。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-030,P1,pep-primary-p1-upper-number-sense,multiple-choice,1,,1,pass,pass,high,none,pass,false,Stage A: 总数14，一部分13，另一部分为14-13=1，选项中有1。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-031,P1,pep-primary-p1-upper-number-sense,multiple-choice,5,,5,pass,pass,high,none,pass,false,Stage A: 9张卡，发4张，剩余9-4=5，选项中有5。 | Stage B: 独立答案与题库答案一致
pep-primary-p1-u-mc-032,P1,pep-primary-p1-upper-number-sense,multiple-choice,9,,9,pass,pass,high,none,pass,false,Stage A: 总数16，一部分7，另一部分为16-7=9，选项中有9。 | Stage B: 独立答案与题库答案一致
