grade,semester,topicId,unitTitle,type,difficulty,count,evidenceCardIds,assessmentPatternCardIds,paperPatternCardIds,examPatternCardIds
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fill-in,Core,11,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,short-answer,Foundation,11,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,multiple-choice,Core,10,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,fill-in,Foundation,10,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,short-answer,Core,10,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-intersecting-parallel-lines,相交线与平行线,multiple-choice,Foundation,10,hjb-junior-s1-lower-intersecting-parallel-lines,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-lines-parallel-angles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-number-sense-real-numbers|pep-junior-exam-linear-equation-inequality-models
S1,lower,hjb-junior-s1-lower-isosceles-triangles,等腰三角形,fill-in,Core,19,hjb-junior-s1-lower-isosceles-triangles,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-isosceles-perpendicular-bisector|hjb-junior-s1-lower-paper-final-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-isosceles-triangles,等腰三角形,multiple-choice,Core,43,hjb-junior-s1-lower-isosceles-triangles,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-isosceles-perpendicular-bisector|hjb-junior-s1-lower-paper-final-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,fill-in,Foundation,11,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,short-answer,Core,11,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,multiple-choice,Foundation,11,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,fill-in,Core,10,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,short-answer,Foundation,10,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-linear-inequalities,一元一次不等式,multiple-choice,Core,10,hjb-junior-s1-lower-linear-inequalities,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-linear-inequalities|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-linear-equation-inequality-models|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-triangles,三角形,multiple-choice,Core,32,hjb-junior-s1-lower-triangles,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-triangles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-triangles,三角形,fill-in,Foundation,15,hjb-junior-s1-lower-triangles,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-triangles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
S1,lower,hjb-junior-s1-lower-triangles,三角形,fill-in,Core,16,hjb-junior-s1-lower-triangles,hjb-junior-s1-upper-assessment-polynomial-add-subtract-unit|hjb-junior-s1-upper-assessment-polynomial-multiply-divide-unit,hjb-junior-s1-lower-paper-triangles|hjb-junior-s1-lower-paper-midterm-integrated,pep-junior-exam-triangles-congruence-proof|pep-junior-exam-number-sense-real-numbers
