unit,lessonCount
S1 upper 丰富的图形世界,3
S1 upper 有理数及其运算,3
S1 upper 整式及其加减,3
S1 upper 基本平面图形,3
S1 upper 一元一次方程,3
S1 upper 数据的收集与整理,3
S1 lower 整式的乘除,3
S1 lower 相交线与平行线,3
S1 lower 三角形,3
S1 lower 变量之间的关系,3
S1 lower 生活中的轴对称,3
S1 lower 概率初步,3
S2 upper 勾股定理,3
S2 upper 实数,3
S2 upper 位置与坐标,3
S2 upper 一次函数,3
S2 upper 二元一次方程组,3
S2 upper 数据的分析,3
S2 upper 平行线的证明,3
S2 lower 三角形的证明及其应用,3
S2 lower 不等式与不等式组,3
S2 lower 图形的平移与旋转,3
S2 lower 因式分解,3
S2 lower 分式与分式方程,3
S2 lower 平行四边形,3
S3 upper 特殊平行四边形,3
S3 upper 一元二次方程,3
S3 upper 概率的进一步认识,3
S3 upper 图形的相似,3
S3 upper 投影与视图,3
S3 upper 反比例函数,3
S3 lower 直角三角形的边角关系,3
S3 lower 二次函数,3
S3 lower 圆,3
S3 lower 统计与概率,3
