batch,questionId,grade,topicId,type,difficulty,qualityScore,knowledgeMatchScore,solvabilityScore,overallScore,evidenceCardIds,examPatternCardIds,riskFlags,reviewRecommendation
seed-v1,pep-high-s4-mc-001,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-002,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-003,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-004,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-005,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-006,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-007,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-008,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-009,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-010,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-011,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-012,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-013,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-014,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-015,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-016,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-017,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-018,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-019,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-020,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-021,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-022,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,82,100,100,94,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,exact-prompt-duplicate,sample-review
seed-v1,pep-high-s4-mc-023,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-024,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-025,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-026,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-027,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-028,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-029,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-030,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-031,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-032,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,100,100,100,100,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,,pass
seed-v1,pep-high-s4-mc-033,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-034,S4,pep-high-s4-exp-log,multiple-choice,Exam,74,100,100,91.3,pep-high-exponential-logarithmic-functions|pep-high-function-zero-modeling,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-035,S4,pep-high-s4-trigonometry,multiple-choice,Exam,74,100,100,91.3,pep-high-trigonometric-functions|pep-high-trigonometric-identities-transformations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-036,S4,pep-high-s4-plane-vectors,multiple-choice,Core,74,100,100,91.3,pep-high-plane-vectors|pep-high-sine-cosine-theorems,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-037,S4,pep-high-s4-complex-numbers,multiple-choice,Core,100,100,100,100,pep-high-complex-numbers,,,pass
seed-v1,pep-high-s4-mc-038,S4,pep-high-s4-solid-geometry-intro,multiple-choice,Exam,92,100,100,97.3,pep-high-solid-geometry-intro,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-039,S4,pep-high-s4-statistics,multiple-choice,Core,74,100,100,91.3,pep-high-statistics|pep-high-statistics-sampling-estimation,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-040,S4,pep-high-s4-probability,multiple-choice,Exam,74,100,100,91.3,pep-high-probability|pep-high-probability-event-operations,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-041,S4,pep-high-s4-sets-logic,multiple-choice,Foundation,92,100,100,97.3,pep-high-sets-logic|pep-high-logic-quantifiers-conditions,,near-duplicate-template-cluster,sample-review
seed-v1,pep-high-s4-mc-042,S4,pep-high-s4-quadratic-inequalities,multiple-choice,Exam,100,100,100,100,pep-high-quadratic-inequalities|pep-high-basic-inequality-optimization,,,pass
seed-v1,pep-high-s4-mc-043,S4,pep-high-s4-function-properties,multiple-choice,Core,74,100,100,91.3,pep-high-function-concepts-properties,,exact-prompt-duplicate|near-duplicate-template-cluster,sample-review
