ke_behavior_ids,ke_context,ke_context_behavior_count,ke_behavior_summary,ke_assessment_signal,mais_event_name_proposed,mais_source_proposed,mais_current_source_fallback,payload_fields_proposed,xapi_verb,xapi_object_type,privacy_tier,model_consumers,implementation_owner
1–3,Map Generation & Setup,13 behaviors,Select domain / subdomain / concept,Prior knowledge scope; familiarity with terminology,concept_map.setup_submitted,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,knowledge-state|concept-mastery,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
4,Map Generation & Setup,13 behaviors,Type custom domain/concept (not from suggestions),Self-directed learning; specific gap awareness,concept_map.setup_submitted,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
5,Map Generation & Setup,13 behaviors,Add additional context before generation,Prior knowledge depth; existing mental model,concept_map.add_additional_context_before_generation,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P3 learner-generated-content (store hashes/scores by default),knowledge-state|concept-mastery,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
6–9,Map Generation & Setup,13 behaviors,"Switch to ""Describe Problem"" mode; analyze & select candidate",Problem awareness; real-world motivation; conceptual discrimination,concept_map.setup_submitted,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,engagement-hmm,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
11,Map Generation & Setup,13 behaviors,"Click ""Generate Map""",Full input payload reveals conceptual framing,concept_map.setup_submitted,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,learning-analytics-summary,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
12,Map Generation & Setup,13 behaviors,Change LLM provider,Technical sophistication; awareness of AI options,concept_map.change_llm_provider,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,ai-collaboration,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
13,Map Generation & Setup,13 behaviors,Wait duration during generation,Patience; expectation management,concept_map.dwell_recorded,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P1 behavioral-process,engagement-hmm,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
15,Map Navigation & Exploration,16 behaviors,Click concept nodes (blue rectangles),Conceptual interest; prior knowledge,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,knowledge-state|concept-mastery|strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
16,Map Navigation & Exploration,16 behaviors,Click skill nodes (green pills),Application orientation; practical learner,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
17,Map Navigation & Exploration,16 behaviors,Click prerequisite nodes (purple hexagons),Foundation-seeking; recognizes dependency,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
18,Map Navigation & Exploration,16 behaviors,Click edges (relationship lines),Relational thinking; seeks connections,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,bloom-depth|strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
19–20,Map Navigation & Exploration,16 behaviors,Hover over nodes / edges (without clicking),Hesitation; consideration depth,concept_map.opened_or_viewed,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
21,Map Navigation & Exploration,16 behaviors,Drag nodes to reposition,Spatial reasoning; desire for personal organization,concept_map.drag_nodes_to_reposition,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,bloom-depth|strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
22–24,Map Navigation & Exploration,16 behaviors,Zoom in/out; pan canvas,Focus: detail-oriented vs. big-picture thinker,concept_map.zoom_in_out_pan_canvas,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,strategy-profile|ai-collaboration,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
25,Map Navigation & Exploration,16 behaviors,Change layout algorithm,Visual learning preference; structural curiosity,concept_map.change_layout_algorithm,concept-map,learning-path|visualization-lab,behaviorIdRange|context|topicId|conceptId?|durationMs?|sequenceIndex?|sessionId|domainId?|subdomainId?|mapId?|llmProvider?|problemMode?|nodeType?|edgeType?|layout?|zoomLevel?,interacted,Activity,P0 operational-interaction,strategy-profile,S08 analytics/types|S03 roadmap/learning graph|S12 event API/LRS
