"questionId","reviewReason","grade","type","difficulty","topicId","chapter","promptZhHans","answer","explanationZhHans"
"hjb-high-ds-v3-s4-001","type-anchor | difficulty-anchor","S4","multiple-choice","Core","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0001：选择：设全集 U={1,2,3,...,119}，A 为 U 中能被 6 整除的数，B 为 U 中能被 13 整除的数。求 A∪B 的元素个数。","27","分别有 19 个和 9 个，交集为 1 个，所以并集元素个数为 27。"
"hjb-high-ds-v3-s4-002","type-anchor | difficulty-anchor","S4","fill-in","Challenge","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0002：填空：设全集 U={1,2,3,...,123}，A 为 U 中能被 6 整除的数，B 为 U 中能被 14 整除的数。求 A∪B 的元素个数。","26","分别有 20 个和 8 个，交集为 2 个，所以并集元素个数为 26。"
"hjb-high-ds-v3-s4-003","type-anchor | difficulty-anchor","S4","short-answer","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0003：解答：设全集 U={1,2,3,...,123}，A 为 U 中能被 7 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。","26","分别有 17 个和 10 个，交集为 1 个，所以并集元素个数为 26。"
"hjb-high-ds-v3-s4-004","difficulty-anchor","S4","multiple-choice","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0004：选择：设全集 U={1,2,3,...,106}，A 为 U 中能被 6 整除的数，B 为 U 中能被 12 整除的数。求 A∪B 的元素个数。","17","分别有 17 个和 8 个，交集为 8 个，所以并集元素个数为 17。"
"hjb-high-ds-v3-s4-008","grade-pass-sample","S4","fill-in","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0008：填空：设全集 U={1,2,3,...,165}，A 为 U 中能被 8 整除的数，B 为 U 中能被 16 整除的数。求 A∪B 的元素个数。","20","分别有 20 个和 10 个，交集为 10 个，所以并集元素个数为 20。"
"hjb-high-ds-v3-s4-015","grade-pass-sample","S4","short-answer","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0015：解答：设全集 U={1,2,3,...,129}，A 为 U 中能被 7 整除的数，B 为 U 中能被 13 整除的数。求 A∪B 的元素个数。","26","分别有 18 个和 9 个，交集为 1 个，所以并集元素个数为 26。"
"hjb-high-ds-v3-s4-017","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0017：填空：设全集 U={1,2,3,...,68}，A 为 U 中能被 4 整除的数，B 为 U 中能被 7 整除的数。求 A∪B 的元素个数。","24","分别有 17 个和 9 个，交集为 2 个，所以并集元素个数为 24。"
"hjb-high-ds-v3-s4-034","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0034：选择：设全集 U={1,2,3,...,152}，A 为 U 中能被 7 整除的数，B 为 U 中能被 17 整除的数。求 A∪B 的元素个数。","28","分别有 21 个和 8 个，交集为 1 个，所以并集元素个数为 28。"
"hjb-high-ds-v3-s4-044","grade-pass-sample","S4","fill-in","Exam","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0044：填空：设全集 U={1,2,3,...,59}，A 为 U 中能被 3 整除的数，B 为 U 中能被 8 整除的数。求 A∪B 的元素个数。","24","分别有 19 个和 7 个，交集为 2 个，所以并集元素个数为 24。"
"hjb-high-ds-v3-s4-047","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-集合与逻辑","集合与逻辑","V3安全变式0047：填空：设全集 U={1,2,3,...,107}，A 为 U 中能被 7 整除的数，B 为 U 中能被 10 整除的数。求 A∪B 的元素个数。","24","分别有 15 个和 10 个，交集为 1 个，所以并集元素个数为 24。"
"hjb-high-ds-v3-s4-083","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-等式与不等式","等式与不等式","V3安全变式0083：填空：求不等式组 x+5>11，x≤11 的整数解个数。","5","由 x+5>11 得 x>6，整数 x 可取 7 到 11，共 5 个。"
"hjb-high-ds-v3-s4-089","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-等式与不等式","等式与不等式","V3安全变式0089：填空：求不等式组 x+2>7，x≤13 的整数解个数。","8","由 x+2>7 得 x>5，整数 x 可取 6 到 13，共 8 个。"
"hjb-high-ds-v3-s4-101","grade-pass-sample","S4","fill-in","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0101：填空：已知 log_6(6^11)=u，log_6(6^13)=v，求 u+v。","24","由对数定义，u=11，v=13，所以 u+v=24。"
"hjb-high-ds-v3-s4-103","grade-pass-sample","S4","multiple-choice","Foundation","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0103：选择：已知 log_5(5^9)=u，log_5(5^7)=v，求 u+v。","16","由对数定义，u=9，v=7，所以 u+v=16。"
"hjb-high-ds-v3-s4-105","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0105：解答：已知 log_8(8^8)=u，log_8(8^10)=v，求 u+v。","18","由对数定义，u=8，v=10，所以 u+v=18。"
"hjb-high-ds-v3-s4-107","grade-pass-sample","S4","fill-in","Foundation","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0107：填空：已知 log_6(6^8)=u，log_6(6^12)=v，求 u+v。","20","由对数定义，u=8，v=12，所以 u+v=20。"
"hjb-high-ds-v3-s4-129","grade-pass-sample","S4","short-answer","Core","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0129：解答：已知 log_4(4^10)=u，log_4(4^8)=v，求 u+v。","18","由对数定义，u=10，v=8，所以 u+v=18。"
"hjb-high-ds-v3-s4-130","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0130：选择：已知 log_9(9^8)=u，log_9(9^15)=v，求 u+v。","23","由对数定义，u=8，v=15，所以 u+v=23。"
"hjb-high-ds-v3-s4-142","grade-pass-sample","S4","multiple-choice","Challenge","hjb-high-s4-幂-指数与对数","幂、指数与对数","V3安全变式0142：选择：已知 log_8(8^9)=u，log_8(8^12)=v，求 u+v。","21","由对数定义，u=9，v=12，所以 u+v=21。"
