candidateIndex,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationType,priority,promptZhHans,answer,generationBriefZhHans,copyrightSafetyZhHans,sourceAuditNeed,reviewStatus
1,hjb-junior-ds-v2-s1-201,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点A的坐标是(3, -2)。将点A先向右平移4个单位，再向下平移1个单位，得到点A'。请写出点A'的坐标。","(7, -3)",为沪教版初中数学题 hjb-junior-ds-v2-s1-201 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
2,hjb-junior-ds-v2-s1-202,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,geometry-diagram,P1,一个三角形绕平面内一点旋转60°后，下列说法正确的是：,三角形的形状和大小都不变,为沪教版初中数学题 hjb-junior-ds-v2-s1-202 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
3,hjb-junior-ds-v2-s1-203,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,线段AB沿某一方向平移后得到线段A'B'。如果AB=5 cm，那么A'B'=______ cm。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-203 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
4,hjb-junior-ds-v2-s1-204,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，△ABC的三个顶点坐标分别是A(1,2)、B(3,2)、C(2,4)。将△ABC沿x轴方向向左平移3个单位，得到△A'B'C'。请写出平移后点B'的坐标，并说明平移前后三角形的面积是否变化。","B'(0,2)，面积不变",为沪教版初中数学题 hjb-junior-ds-v2-s1-204 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
5,hjb-junior-ds-v2-s1-205,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,geometry-diagram,P1,下列图形中，一定是轴对称图形的是：,等腰三角形,为沪教版初中数学题 hjb-junior-ds-v2-s1-205 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
6,hjb-junior-ds-v2-s1-206,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的三个顶点坐标分别为A(2, 3)、B(5, 3)、C(4, 6)。将三角形ABC先向右平移4个单位，再向下平移2个单位，得到三角形A'B'C'。则点A'的坐标为______。","(6, 1)",为沪教版初中数学题 hjb-junior-ds-v2-s1-206 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
7,hjb-junior-ds-v2-s1-207,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,geometry-diagram,P1,一个正方形绕其中心旋转90°后，与自身重合。请再写出一个旋转角度（大于0°且小于360°），使得该正方形绕中心旋转后也能与自身重合。,180°或270°,为沪教版初中数学题 hjb-junior-ds-v2-s1-207 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
8,hjb-junior-ds-v2-s1-208,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,geometry-diagram,P1,在识别图形运动方式时，下列生活现象中属于平移的是（ ）,B. 电梯从一楼上升到五楼,为沪教版初中数学题 hjb-junior-ds-v2-s1-208 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
9,hjb-junior-ds-v2-s1-209,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,线段AB的长度为5 cm。将其沿某一方向平移3 cm后得到线段A'B'，则线段A'B'的长度为______ cm。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-209 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
10,hjb-junior-ds-v2-s1-210,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，点P(3, -2)关于x轴对称的点为Q，点Q关于y轴对称的点为R。请写出点R的坐标，并说明点P与点R的位置关系。","R(-3, 2)，点P与点R关于原点对称",为沪教版初中数学题 hjb-junior-ds-v2-s1-210 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
11,hjb-junior-ds-v2-s1-211,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,coordinate-grid,P1,"在平面直角坐标系中，点A的坐标为(2, 3)。将点A先向右平移4个单位，再向下平移1个单位，得到点A'。点A'的坐标是（ ）。","(6, 2)",为沪教版初中数学题 hjb-junior-ds-v2-s1-211 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
12,hjb-junior-ds-v2-s1-212,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,geometry-diagram,P1,已知线段AB的长度为5 cm。将线段AB绕点A逆时针旋转90°得到线段AB'。线段AB'的长度为______ cm。,5,为沪教版初中数学题 hjb-junior-ds-v2-s1-212 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
13,hjb-junior-ds-v2-s1-213,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的顶点坐标分别为A(1,2)，B(3,2)，C(2,4)。将三角形ABC沿y轴翻折，写出翻折后点B的对应点B'的坐标。","(-3, 2)",为沪教版初中数学题 hjb-junior-ds-v2-s1-213 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
14,hjb-junior-ds-v2-s1-214,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,coordinate-grid,P1,"在平面直角坐标系中，点P的坐标为(-1, 4)。将点P绕原点顺时针旋转90°，得到点P'。点P'的坐标是（ ）。","(4, 1)",为沪教版初中数学题 hjb-junior-ds-v2-s1-214 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
15,hjb-junior-ds-v2-s1-215,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,geometry-diagram,P1,已知三角形ABC与三角形DEF关于直线l成轴对称。若点A与点D是对应点，点B与点E是对应点，且AB=6 cm，则DE=______ cm。,6,为沪教版初中数学题 hjb-junior-ds-v2-s1-215 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
16,hjb-junior-ds-v2-s1-216,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Core,coordinate-grid,P1,"在平面直角坐标系中，三角形ABC的顶点坐标分别为A(1,2)，B(3,5)，C(4,1)。将三角形ABC先向右平移3个单位，再向下平移2个单位，得到三角形A'B'C'。请写出点A'的坐标，并说明平移前后对应线段AB与A'B'的长度是否相等，为什么？","A'(4,0)，相等，因为平移不改变图形的形状和大小。",为沪教版初中数学题 hjb-junior-ds-v2-s1-216 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 绘制简洁坐标网格、坐标轴、关键点和变换箭头；坐标标签必须与题干一致。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,must-have,ready-must-have
