"id","batch","grade","topicId","topicZhHans","type","difficulty","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","localValidationNotes","promptZhHans"
"pep-high-s5-rag2-fi-021","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创诊断练习 21：已知圆 \((x-1)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-022","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创计算练习 22：已知圆 \((x-3)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-023","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创建模练习 23：已知圆 \((x-1)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-024","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创推理练习 24：已知圆 \((x-3)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-025","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创复习练习 25：已知圆 \((x-1)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-026","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创诊断练习 26：已知圆 \((x-3)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-027","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创计算练习 27：已知圆 \((x-1)^2+(y-7)^2=49\)，求半径。"
"pep-high-s5-rag2-fi-028","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","3","3","","标准答案为3，独立求解也为3，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创建模练习 28：已知圆 \((x-3)^2+(y-3)^2=9\)，求半径。"
"pep-high-s5-rag2-fi-029","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","5","5","","标准答案为5，独立求解也为5，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创推理练习 29：已知圆 \((x-1)^2+(y-5)^2=25\)，求半径。"
"pep-high-s5-rag2-fi-030","rag-v2","S5","pep-high-s5-lines-circles","直线和圆的方程","fill-in","Core","P2","explanation-mismatch","解析提及斜率计算，与题目求半径无关，但答案正确。","7","7","","标准答案为7，独立求解也为7，答案匹配。","修正解析，移除无关的斜率描述，仅保留圆的半径读取说明。","high","","原创复习练习 30：已知圆 \((x-3)^2+(y-7)^2=49\)，求半径。"
