"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"bnu-junior-ds-v1-s1-001","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Core","一个几何体由5个面围成，其中3个面是四边形，2个面是三角形，所有面都是平面图形。这个几何体是（ ）","四棱柱 | 三棱柱 | 三棱锥 | 四棱锥","三棱柱","三棱柱","三棱柱有5个面：2个三角形底面和3个四边形侧面，符合条件。四棱柱有6个面，三棱锥有4个面，四棱锥有5个面但底面是四边形、侧面是三角形，与题意不符。","grade-pass-sample"
"bnu-junior-ds-v1-s1-003","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Exam","一个几何体由若干个大小相同的小立方块搭成。从正面看，看到两列，左边一列最高有3层，右边一列最高有2层；从左面看，看到两列，左边一列最高有3层，右边一列最高有1层。搭成这个几何体最少需要多少个小立方块？","","6","6","由正面看可知几何体有两列，左列最高3层，右列最高2层；由左面看可知有两排，前排最高3层，后排最高1层。最少时，让最高层数出现在重叠位置：前排左列放3个，后排左列放1个，前排右列放2个，后排右列放0个，共3+1+2=6个。","grade-pass-sample"
"bnu-junior-ds-v1-s1-005","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Core","一个几何体由若干个大小相同的小立方块搭成。从正面看，看到3列，从左到右每列小立方块的个数依次为2、1、2；从左面看，看到2列，从左到右每列小立方块的个数依次为2、1。这个几何体最少由几个小立方块搭成？","","5","5","由从正面看可得该几何体共3列，第1列2层，第2列1层，第3列2层；从左面看可得共2行，第1行2层，第2行1层。要小立方块总数最少，则第2行第1列与第2行第3列位置不放小立方块，此时数量为2+1+2=5。","grade-pass-sample"
"bnu-junior-ds-v1-s1-009","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","fill-in","Core","一个几何体由若干个大小相同的小立方块搭成。从正面看，看到3列，从左到右每列小立方块的个数分别为2、1、2；从左面看，看到2列，从左到右每列小立方块的个数分别为2、1。这个几何体最少由多少个小立方块搭成？","","5","5","由从正面看和从左面看的信息，可推断几何体的俯视图为2行3列。要使小立方块总数最少，应在满足视图的条件下尽可能少放。分析可得最少需要5个小立方块，例如在(1,1)、(1,3)、(2,1)、(2,2)、(2,3)位置各放1个。","grade-pass-sample"
"bnu-junior-ds-v1-s1-011","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","short-answer","Exam","一个正方体木块的棱长为4 cm。用锯子沿三个不同方向各锯一次，每次都平行于正方体的一个面，且锯痕恰好经过正方体的中心，将正方体分成若干个小长方体。请问：锯开后得到的小长方体共有多少个？每个小长方体的体积是多少立方厘米？","","8个，每个体积8 cm³","8个，每个体积8 cm³ | 8个，每个体积8立方厘米 | 8个，每个体积8cm³","正方体中心是三条互相垂直的对称轴交点。沿三个方向各锯一次且过中心，相当于用三个互相垂直的平面将正方体平分，得到2×2×2=8个小长方体。原体积64 cm³，每个小长方体体积64÷8=8 cm³。","grade-pass-sample"
"bnu-junior-ds-v1-s1-016","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Challenge","一个几何体由若干个大小相同的小立方块搭成。从正面看和从左面看得到的形状都是“田”字形（即2行2列的正方形网格），从上面看得到的形状是“L”形，具体为：第一行有2个正方形，第二行只有左边1个正方形，且第二行右边位置没有正方形。这个几何体最少由几个小立方块搭成？","4个 | 5个 | 6个 | 7个","5个","5个","由俯视图“L”形知底层有3个小立方块（第一行2个，第二行左1个）。主视图和左视图均为“田”字形，即2行2列，故最高处需2层。在底层3个位置中，至少需在2个位置放2层才能满足正、左视图均2列2行。最少情况：第一行2个位置均2层，第二行左1个位置1层，共2+2+1=5个。","grade-pass-sample"
"bnu-junior-ds-v1-s1-028","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Challenge","有一个密封的正方体盒子，六个面上分别标有数字1、2、3、4、5、6。已知与数字1相邻的四个面上的数字之和为14，与数字2相邻的四个面上的数字之和为13，与数字3相邻的四个面上的数字之和为12。请问与数字4相对的面上的数字是多少？","1 | 2 | 3 | 5","3","3","正方体相对面数字之和为7。由条件，1相邻面之和14，即除1和其对面外四数之和，故1对面为7-1=6。同理2对面为5，3对面为4。因此与4相对的面是3。","grade-pass-sample"
"bnu-junior-ds-v1-s1-031","S1","upper","bnu-junior-s1-upper-spatial-figures","丰富的图形世界","multiple-choice","Exam","一个几何体由5个面围成，其中3个面是四边形，其余面是三角形，且所有面都是平面图形。这个几何体是什么？","四棱锥 | 三棱柱 | 三棱锥 | 四棱柱","三棱柱","三棱柱","三棱柱有5个面：2个三角形底面和3个四边形侧面，符合条件。四棱锥有5个面但含1个四边形和4个三角形；三棱锥有4个三角形面；四棱柱有6个四边形面。","grade-pass-sample"
"bnu-junior-ds-v1-s1-051","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","fill-in","Exam","某冷库的室温为 -5°C，现有一批食品需要在 -23°C 下冷藏。如果冷库每小时降温 4°C，那么需要多少小时才能降到所需温度？","","4.5","4.5 | 9/2 | 4.5小时 | 9/2小时","温度从 -5°C 降到 -23°C，共需降低 18°C。每小时降温 4°C，所需时间为 18 ÷ 4 = 4.5 小时。","grade-pass-sample"
"bnu-junior-ds-v1-s1-052","S1","upper","bnu-junior-s1-upper-rational-numbers","有理数及其运算","multiple-choice","Challenge","某冷库的温度上午8时为-5℃，之后每小时均匀下降2℃。到下午2时，冷库的温度是多少摄氏度？","-17℃ | -15℃ | -13℃ | -11℃","-17℃","-17℃","从8时到14时经过6小时，每小时降2℃，共降12℃。初始温度-5℃，下降12℃即-5-12=-17℃，故选-17℃。","grade-pass-sample"
