"id","grade","reviewer","mathQaStatus","terminologyQaStatus","sourceDistanceStatus","decision","notes"
"hjb-high-ds-v1-s4-004","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-007","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-009","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-012","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-014","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-022","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-024","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-030","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-040","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-042","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-047","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-052","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-059","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-080","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-083","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-096","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-122","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-136","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-176","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-195","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-200","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-212","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-217","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-232","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-252","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-260","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-271","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-293","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-296","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-297","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-307","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-312","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-317","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-343","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-344","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-346","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-378","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-387","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-395","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-402","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-415","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-427","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-440","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-467","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-471","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-472","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-475","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-478","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-479","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s4-496","S4","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s5-012","S5","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s5-018","S5","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
"hjb-high-ds-v1-s5-047","S5","S18","pass","pass","pass","approve","S18 manual sample approved: math answer, terminology, and source-distance metadata checked; no P0/P1/P2 issue found."
