"grade","semester","topicId","topicTitleZhHans","volume","chapter","type","difficulty","count","evidenceCardIds","assessmentPatternCardIds"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","fill-in","Core","4","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","fill-in","Exam","4","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","fill-in","Foundation","4","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","multiple-choice","Core","8","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","multiple-choice","Foundation","4","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","short-answer","Core","4","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角函数","三角函数","必修 第二册","三角函数","short-answer","Foundation","8","bnu-high-s4-lower-trigonometric-functions","bnu-high-s4-lower-assessment-unit-trigonometric-functions | bnu-high-s4-lower-assessment-review-trigonometric-functions | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","fill-in","Core","7","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","fill-in","Foundation","5","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","multiple-choice","Core","8","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","multiple-choice","Foundation","4","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","short-answer","Core","7","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-三角恒等变换","三角恒等变换","必修 第二册","三角恒等变换","short-answer","Foundation","4","bnu-high-s4-lower-trig-identities-transformations","bnu-high-s4-lower-assessment-unit-trig-identities-transformations | bnu-high-s4-lower-assessment-review-trig-identities-transformations | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","fill-in","Challenge","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","fill-in","Core","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","fill-in","Exam","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","fill-in","Foundation","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","multiple-choice","Challenge","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","multiple-choice","Core","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","multiple-choice","Exam","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","multiple-choice","Foundation","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","short-answer","Challenge","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","short-answer","Core","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","short-answer","Exam","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数","函数","必修 第一册","函数","short-answer","Foundation","3","bnu-high-s4-upper-functions","bnu-high-s4-upper-functions-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-exponential-unit-pattern"
"S4","upper","bnu-high-s4-函数应用","函数应用","必修 第一册","函数应用","fill-in","Exam","12","bnu-high-s4-upper-function-applications","bnu-high-s4-upper-function-applications-unit-pattern | bnu-high-s4-upper-final-full-volume-review | bnu-high-s4-upper-midterm-function-properties-review"
"S4","upper","bnu-high-s4-函数应用","函数应用","必修 第一册","函数应用","multiple-choice","Core","12","bnu-high-s4-upper-function-applications","bnu-high-s4-upper-function-applications-unit-pattern | bnu-high-s4-upper-final-full-volume-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-函数应用","函数应用","必修 第一册","函数应用","short-answer","Foundation","12","bnu-high-s4-upper-function-applications","bnu-high-s4-upper-function-applications-unit-pattern | bnu-high-s4-upper-final-full-volume-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","lower","bnu-high-s4-复数","复数","必修 第二册","复数","fill-in","Core","7","bnu-high-s4-lower-complex-numbers","bnu-high-s4-lower-assessment-unit-complex-numbers | bnu-high-s4-lower-assessment-review-complex-numbers | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-复数","复数","必修 第二册","复数","multiple-choice","Core","14","bnu-high-s4-lower-complex-numbers","bnu-high-s4-lower-assessment-unit-complex-numbers | bnu-high-s4-lower-assessment-review-complex-numbers | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","lower","bnu-high-s4-复数","复数","必修 第二册","复数","short-answer","Core","14","bnu-high-s4-lower-complex-numbers","bnu-high-s4-lower-assessment-unit-complex-numbers | bnu-high-s4-lower-assessment-review-complex-numbers | bnu-high-s4-lower-assessment-final-integrated-s4-lower"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","fill-in","Challenge","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","fill-in","Core","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","fill-in","Exam","9","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","fill-in","Foundation","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","multiple-choice","Challenge","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","multiple-choice","Core","9","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","multiple-choice","Exam","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","multiple-choice","Foundation","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","short-answer","Challenge","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","short-answer","Core","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","short-answer","Exam","1","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review"
"S4","upper","bnu-high-s4-对数运算与对数函数","对数运算与对数函数","必修 第一册","对数运算与对数函数","short-answer","Foundation","9","bnu-high-s4-upper-logarithmic-operations-functions","bnu-high-s4-upper-logarithmic-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","fill-in","Core","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","fill-in","Foundation","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","multiple-choice","Core","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","multiple-choice","Foundation","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","short-answer","Core","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","lower","bnu-high-s4-平面向量及其应用","平面向量及其应用","必修 第二册","平面向量及其应用","short-answer","Foundation","6","bnu-high-s4-lower-plane-vectors-applications","bnu-high-s4-lower-assessment-unit-plane-vectors-applications | bnu-high-s4-lower-assessment-review-plane-vectors-applications | bnu-high-s4-lower-assessment-midterm-integrated-s4-lower"
"S4","upper","bnu-high-s4-指数运算与指数函数","指数运算与指数函数","必修 第一册","指数运算与指数函数","fill-in","Challenge","3","bnu-high-s4-upper-exponential-operations-functions","bnu-high-s4-upper-exponential-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-指数运算与指数函数","指数运算与指数函数","必修 第一册","指数运算与指数函数","fill-in","Core","3","bnu-high-s4-upper-exponential-operations-functions","bnu-high-s4-upper-exponential-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-指数运算与指数函数","指数运算与指数函数","必修 第一册","指数运算与指数函数","fill-in","Exam","3","bnu-high-s4-upper-exponential-operations-functions","bnu-high-s4-upper-exponential-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-final-full-volume-review"
"S4","upper","bnu-high-s4-指数运算与指数函数","指数运算与指数函数","必修 第一册","指数运算与指数函数","fill-in","Foundation","3","bnu-high-s4-upper-exponential-operations-functions","bnu-high-s4-upper-exponential-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
"S4","upper","bnu-high-s4-指数运算与指数函数","指数运算与指数函数","必修 第一册","指数运算与指数函数","multiple-choice","Challenge","3","bnu-high-s4-upper-exponential-operations-functions","bnu-high-s4-upper-exponential-unit-pattern | bnu-high-s4-upper-midterm-function-properties-review | bnu-high-s4-upper-functions-unit-pattern"
