"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"bnu-primary-ds-v2-p1-006","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","short-answer","Core","小华数了数自己的积木：红色积木有3块，蓝色积木有5块，黄色积木有0块。请问哪种颜色的积木最多？哪种颜色的积木最少？为什么？","","蓝色积木最多，黄色积木最少。因为5>3>0，所以蓝色最多，黄色是0表示没有，所以最少。","蓝色积木最多，黄色积木最少。因为5>3>0，所以蓝色最多，黄色是0表示没有，所以最少。","比较数量：5最大，0最小。0表示一个也没有，所以黄色积木最少。","grade-pass-sample"
"bnu-primary-ds-v2-p1-008","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","fill-in","Exam","按顺序填数。\n0，1，2，______，4，5，______，7，8，9，10。","","3,6","3,6 | 3，6","这是0到10的顺序，缺少3和6。","grade-pass-sample"
"bnu-primary-ds-v2-p1-010","P1","upper","bnu-primary-p1-upper-life-number-sense","生活中的数","multiple-choice","Core","老师拿出一些卡片，上面写着数字。下面哪一组数字是按照从小到大的顺序排列的？","5，3，1，0 | 0，2，4，6 | 7，5，3，1 | 9，6，3，0","0，2，4，6","0，2，4，6","从小到大就是数字越来越大的顺序。0<2<4<6，所以这一组是按从小到大的顺序排列的。其他组都是越来越小。","grade-pass-sample"
"bnu-primary-ds-v2-p1-020","P1","upper","bnu-primary-p1-upper-comparison","比较","fill-in","Exam","小丽比小刚高，小刚比小红高。请按从矮到高的顺序写出他们的名字。","","小红，小刚，小丽","小红，小刚，小丽 | 小红 小刚 小丽","小丽最高，小刚第二，小红最矮，所以从矮到高是小红、小刚、小丽。","grade-pass-sample"
"bnu-primary-ds-v2-p1-045","P1","upper","bnu-primary-p1-upper-within-10-add-sub","加与减（一）","short-answer","Foundation","池塘里有6只青蛙，跳走了2只，还剩几只？请列式并计算。","","6-2=4","6-2=4 | 6-2=4（只） | 6-2=4只","从6只里去掉跳走的2只，用减法：6-2=4。","grade-pass-sample"
"bnu-primary-ds-v2-p1-050","P1","upper","bnu-primary-p1-upper-classification","分类","fill-in","Challenge","把下面的动物分成两类：金鱼、鲨鱼、海豚、燕子、老鹰、麻雀。请写出分类标准，并填空：一类是______，有______只；另一类是______，有______只。","","水里游的，3，天上飞的，3","水里游的，3，天上飞的，3 | 水生动物，3，飞行动物，3 | 鱼类，3，鸟类，3","金鱼、鲨鱼、海豚生活在水里，共3只；燕子、老鹰、麻雀在天上飞，共3只。","grade-pass-sample"
"bnu-primary-ds-v2-p1-053","P1","upper","bnu-primary-p1-upper-classification","分类","fill-in","Challenge","小乐有一些图形卡片：红色三角形、蓝色三角形、红色正方形、蓝色正方形、红色圆形、蓝色圆形。他想按颜色分，可以分成几类？按形状分，可以分成几类？请填空：按颜色分，可以分成（ ）类；按形状分，可以分成（ ）类。","","2,3","2,3 | 2，3","按颜色分，有红色和蓝色，共2类；按形状分，有三角形、正方形和圆形，共3类。","grade-pass-sample"
"bnu-primary-ds-v2-p1-054","P1","upper","bnu-primary-p1-upper-classification","分类","short-answer","Foundation","小云有一些卡片，卡片上分别画着：苹果、香蕉、西瓜、铅笔、橡皮、尺子、草莓、橘子、葡萄。她按一个标准分成了两类。第一类有：苹果、香蕉、西瓜、草莓、橘子、葡萄；第二类有：铅笔、橡皮、尺子。她分类的标准是什么？请用一句话写出来。","","按是不是水果分类","按是不是水果分类 | 按水果和文具分类 | 第一类是水果，第二类是文具 | 水果和不是水果 | 水果和文具 | 按水果和不是水果分类","第一类都是水果，第二类都是文具，所以分类标准是“是不是水果”或“水果和文具”。只要说出按水果和文具分类即可。","grade-pass-sample"
"bnu-primary-ds-v2-p1-065","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","fill-in","Challenge","小动物们排队：小猴排第1，小兔排第2，小猫排第3，小狗排第4，小鸭排第5。从前往后数，小鸭排第几？从后往前数，小鸭排第几？","","从前往后数排第5，从后往前数排第1","从前往后数排第5，从后往前数排第1 | 5,1 | 5，1","从前往后数，小鸭是第5个；从后往前数，小鸭是第1个。","grade-pass-sample"
"bnu-primary-ds-v2-p1-067","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","multiple-choice","Core","小丽面向北站着，她的左边是什么方向？","东 | 南 | 西 | 北","西","西","面向北时，左边是西，右边是东。","grade-pass-sample"
"bnu-primary-ds-v2-p1-072","P1","upper","bnu-primary-p1-upper-position-order","位置与顺序","short-answer","Foundation","小明站在操场上，他的前面是教学楼，后面是图书馆，左面是花坛，右面是操场。请你用“前、后、左、右”说一说，小明面向教学楼时，图书馆在他的哪一面？","","后面","后面 | 后 | 他的后面","小明面向教学楼，教学楼在他的前面，那么图书馆就在他的后面。","grade-pass-sample"
"bnu-primary-ds-v2-p1-081","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","short-answer","Core","下面这些物品中，哪些的形状是圆柱？请写出所有圆柱形状物品的编号。\n① 水杯 ② 魔方 ③ 卷纸 ④ 骰子 ⑤ 蜡烛 ⑥ 足球","","①③⑤","①③⑤ | ①,③,⑤ | 1,3,5 | 135","水杯、卷纸和蜡烛上下一样粗，两头是圆圆的，可以滚动，形状是圆柱。魔方和骰子是正方体，足球是球。","grade-pass-sample"
"bnu-primary-ds-v2-p1-082","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","multiple-choice","Foundation","下面哪个物体最容易滚动？","A. 字典 | B. 粉笔盒 | C. 乒乓球 | D. 魔方","C. 乒乓球","C. 乒乓球","乒乓球是球，表面全是弯弯的，没有平平的面，最容易滚动。字典、粉笔盒和魔方都有平平的面，不容易滚动。","grade-pass-sample"
"bnu-primary-ds-v2-p1-084","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","short-answer","Foundation","从下面的物品中，找出形状是正方体的物品，写出它们的编号。\n① 牙膏盒 ② 骰子 ③ 篮球 ④ 魔方 ⑤ 茶叶罐 ⑥ 粉笔盒","","②④","②④ | ②,④ | 2,4 | 24","骰子和魔方每个面都是同样大小的正方形，形状是正方体。牙膏盒和粉笔盒是长方体，篮球是球，茶叶罐是圆柱。","grade-pass-sample"
"bnu-primary-ds-v2-p1-089","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","fill-in","Core","猜一猜，用下面的图形可以画出什么形状？\n① 正方体的一个面可以画出（ ）形。\n② 圆柱的上下两个面可以画出（ ）形。","","①正方；②圆","①正方；②圆 | 正方；圆 | 正方形；圆形","正方体的每个面都是正方形，所以可以画出正方形。圆柱的上下两个面是圆形，所以可以画出圆形。","grade-pass-sample"
"bnu-primary-ds-v2-p1-094","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","multiple-choice","Foundation","下面哪个物品的形状是圆柱？","易拉罐 | 篮球 | 粉笔盒 | 骰子","易拉罐","易拉罐","易拉罐上下一样粗，两头是圆圆的平面，可以滚动，是圆柱。篮球是球，粉笔盒是长方体，骰子是正方体。","grade-pass-sample"
"bnu-primary-ds-v2-p1-095","P1","upper","bnu-primary-p1-upper-solid-shapes","认识图形","fill-in","Core","数一数，填一填。\n\n有______个长方体，有______个正方体，有______个圆柱，有______个球。\n\n（物品：一个鞋盒，一个魔方，一个水杯，一个弹珠，一个牙膏盒，一个骰子，一个笔筒，一个乒乓球）","","2，2，2，2","2，2，2，2","鞋盒和牙膏盒是长方体，魔方和骰子是正方体，水杯和笔筒是圆柱，弹珠和乒乓球是球。每种形状都有2个。","grade-pass-sample"
