questionId,curriculumTrack,batch,grade,topicId,type,storedAnswer,independentAnswer,status,severity,notes
pep-high-s4-rag4-mc-001,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,4,4,pass,none,OK
pep-high-s4-rag4-mc-002,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-003,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,5,5,pass,none,OK
pep-high-s4-rag4-mc-004,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-005,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,5,5,pass,none,OK
pep-high-s4-rag4-mc-006,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-007,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,4,4,pass,none,OK
pep-high-s4-rag4-mc-008,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-009,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,5,5,pass,none,OK
pep-high-s4-rag4-mc-010,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-011,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,4,4,pass,none,OK
pep-high-s4-rag4-mc-012,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-013,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,5,5,pass,none,OK
pep-high-s4-rag4-mc-014,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-015,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,5,5,pass,none,OK
pep-high-s4-rag4-mc-016,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,3,3,pass,none,OK
pep-high-s4-rag4-mc-017,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-sets-logic,multiple-choice,4,4,pass,none,OK
pep-high-s4-rag4-mc-018,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,2,2,pass,none,OK
pep-high-s4-rag4-mc-019,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,2,2,pass,none,OK
pep-high-s4-rag4-mc-020,MAINLAND_PEP_HIGH,rag-v4,S4,pep-high-s4-quadratic-inequalities,multiple-choice,2,2,pass,none,OK
