"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-high-ds-v3-s4-005","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","V3修复变式0005：填空：设集合 A={1,2,3,...,169}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。","","14","14","B 中元素为不超过 169 的 12 的倍数，共 floor(169/12)=14 个。","grade-pass-sample"
"hjb-high-ds-v3-s4-036","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Exam","V3修复变式0036：解答：设集合 A={1,2,3,...,100}，B 为 A 中能被 8 整除的数，C 为 A 中能被 9 整除的数。求只属于 B 和 C 中一个集合的元素个数。","","21","21","|B|=floor(100/8)=12，|C|=floor(100/9)=11，|B∩C|=floor(100/72)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=21。","grade-pass-sample"
"hjb-high-ds-v3-s4-056","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","V3修复变式0056：填空：求不等式组 x+6>8，x≤6 的整数解个数。","","4","4","由 x+6>8 得 x>2。又 x≤6，整数 x 为 3 到 6，共有 6-2=4 个。","grade-pass-sample"
"hjb-high-ds-v3-s4-083","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","V3修复变式0083：填空：解不等式 x+7>15，求 x 的取值范围右端常数 15-7 的值。","","8","8","两边同时减去 7，得 x>15-7=8。","grade-pass-sample"
"hjb-high-ds-v3-s4-095","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","V3修复变式0095：填空：解不等式 x+3>12，求 x 的取值范围右端常数 12-3 的值。","","9","9","两边同时减去 3，得 x>12-3=9。","grade-pass-sample"
"hjb-high-ds-v3-s4-102","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","V3修复变式0102：解答：已知 log_12(12^13)=m，且 log_12(12^n)=m+3。求 m+n。","","29","29","由对数定义得 m=13。又 log_12(12^n)=n=m+3=16，所以 m+n=13+16=29。","grade-pass-sample"
"hjb-high-ds-v3-s4-114","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","V3修复变式0114：解答：已知 log_5(5^15)=m，且 log_5(5^n)=m+3。求 m+n。","","33","33","由对数定义得 m=15。又 log_5(5^n)=n=m+3=18，所以 m+n=15+18=33。","grade-pass-sample"
"hjb-high-ds-v3-s4-116","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Exam","V3修复变式0116：填空：已知 log_6(6^7)=m，且 log_6(6^n)=m+3。求 m+n。","","17","17","由对数定义得 m=7。又 log_6(6^n)=n=m+3=10，所以 m+n=7+10=17。","grade-pass-sample"
"hjb-high-ds-v3-s4-129","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Core","V3修复变式0129：解答：已知 log_6(6^10)=m，求 m。","","10","10","由对数定义，log_6(6^10)=10，所以 m=10。","grade-pass-sample"
"hjb-high-ds-v3-s4-131","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Foundation","V3修复变式0131：填空：已知 log_10(10^20)=m，求 m。","","20","20","由对数定义，log_10(10^20)=20，所以 m=20。","grade-pass-sample"
"hjb-high-ds-v3-s4-133","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Core","V3修复变式0133：选择：已知 log_2(2^15)=m，求 m。","16 | 14 | 17 | 15","15","15","由对数定义，log_2(2^15)=15，所以 m=15。","grade-pass-sample"
"hjb-high-ds-v3-s4-136","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","V3修复变式0136：选择：已知 log_11(11^20)=m，且 log_11(11^n)=m+3。求 m+n。","43 | 44 | 42 | 45","43","43","由对数定义得 m=20。又 log_11(11^n)=n=m+3=23，所以 m+n=20+23=43。","grade-pass-sample"
"hjb-high-ds-v3-s4-150","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","V3修复变式0150：解答：已知 log_7(7^18)=m，且 log_7(7^n)=m+3。求 m+n。","","39","39","由对数定义得 m=18。又 log_7(7^n)=n=m+3=21，所以 m+n=18+21=39。","grade-pass-sample"
"hjb-high-ds-v3-s4-157","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Core","V3修复变式0157：选择：函数 f(x)=9^x，求 f(2)。","90 | 81 | 72 | 99","81","81","代入 x=2，f(2)=9^2=81。","grade-pass-sample"
"hjb-high-ds-v3-s4-158","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","V3修复变式0158：填空：函数 f(x)=4^x。若 f(t)=4·f(2)，求 f(t)+f(t-1)。","","80","80","f(2)=4²，所以 f(t)=4·f(2)=4³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=64+16=80。","grade-pass-sample"
"hjb-high-ds-v3-s4-163","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Foundation","V3修复变式0163：选择：函数 f(x)=11^x，求 f(2)。","132 | 110 | 121 | 143","121","121","代入 x=2，f(2)=11^2=121。","grade-pass-sample"
"hjb-high-ds-v3-s4-165","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Core","V3修复变式0165：解答：函数 f(x)=11^x，求 f(2)。","","121","121","代入 x=2，f(2)=11^2=121。","grade-pass-sample"
"hjb-high-ds-v3-s4-168","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Exam","V3修复变式0168：解答：函数 f(x)=7^x。若 f(t)=7·f(2)，求 f(t)+f(t-1)。","","392","392","f(2)=7²，所以 f(t)=7·f(2)=7³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=343+49=392。","grade-pass-sample"
"hjb-high-ds-v3-s4-170","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","V3修复变式0170：填空：函数 f(x)=7^x。若 f(t)=7·f(2)，求 f(t)+f(t-1)。","","392","392","f(2)=7²，所以 f(t)=7·f(2)=7³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=343+49=392。","grade-pass-sample"
"hjb-high-ds-v3-s4-178","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","multiple-choice","Challenge","V3修复变式0178：选择：函数 f(x)=10^x。若 f(t)=10·f(2)，求 f(t)+f(t-1)。","1099 | 1102 | 1100 | 1101","1100","1100","f(2)=10²，所以 f(t)=10·f(2)=10³，得 t=3。因此 f(t)+f(t-1)=f(3)+f(2)=1000+100=1100。","grade-pass-sample"
"hjb-high-ds-v3-s4-195","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Foundation","V3修复变式0195：解答：函数 f(x)=3^x，求 f(2)。","","9","9","代入 x=2，f(2)=3^2=9。","grade-pass-sample"
"hjb-high-ds-v3-s4-207","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","short-answer","Core","V3修复变式0207：解答：已知 f(x)=2x+8，求 f(19)。","","46","46","f(19)=2×19+8=46。","grade-pass-sample"
