"grade","stage","semester","topicId","unitTitle","routeName","stationCount","busStopCount","lessonSlug","practiceQuestionCount","evidenceRefs"
"P1","primary","upper","pep-primary-p1-upper-number-sense","20以内数感","人教版小学一年级 · 20以内数感","4","16","pep-primary-p1-upper-number-sense","50","topic:pep-primary-p1-upper-number-sense; lesson:pep-primary-p1-upper-number-sense; practice:pep-primary-p1-upper-number-sense; evidence-card:pep-primary-p1-upper-number-sense-within-20"
"P1","primary","upper","pep-primary-p1-upper-shapes-position-time","图形、位置与整时","人教版小学一年级 · 图形、位置与整时","4","16","pep-primary-p1-upper-shapes-position-time","50","topic:pep-primary-p1-upper-shapes-position-time; lesson:pep-primary-p1-upper-shapes-position-time; practice:pep-primary-p1-upper-shapes-position-time; evidence-card:pep-primary-p1-upper-shapes-position-clock"
"P1","primary","lower","pep-primary-p1-lower-within-100-add-sub","100以内数与加减法","人教版小学一年级 · 100以内数与加减法","4","16","pep-primary-p1-lower-within-100-add-sub","50","topic:pep-primary-p1-lower-within-100-add-sub; lesson:pep-primary-p1-lower-within-100-add-sub; practice:pep-primary-p1-lower-within-100-add-sub; evidence-card:pep-primary-p1-lower-within-100-add-sub"
"P1","primary","lower","pep-primary-p1-lower-money-data-review","人民币、时间与数据","人教版小学一年级 · 人民币、时间与数据","4","16","pep-primary-p1-lower-money-data-review","50","topic:pep-primary-p1-lower-money-data-review; lesson:pep-primary-p1-lower-money-data-review; practice:pep-primary-p1-lower-money-data-review; evidence-card:pep-primary-p1-lower-within-100-add-sub"
"P2","primary","upper","pep-primary-p2-upper-multiplication-arrays","表内乘法与阵列","人教版小学二年级 · 表内乘法与阵列","4","16","pep-primary-p2-upper-multiplication-arrays","50","topic:pep-primary-p2-upper-multiplication-arrays; lesson:pep-primary-p2-upper-multiplication-arrays; practice:pep-primary-p2-upper-multiplication-arrays; evidence-card:pep-primary-p2-upper-multiplication-facts"
"P2","primary","upper","pep-primary-p2-upper-length-angles-observation","长度、角与观察物体","人教版小学二年级 · 长度、角与观察物体","4","16","pep-primary-p2-upper-length-angles-observation","50","topic:pep-primary-p2-upper-length-angles-observation; lesson:pep-primary-p2-upper-length-angles-observation; practice:pep-primary-p2-upper-length-angles-observation; evidence-card:pep-primary-p2-upper-multiplication-facts"
"P2","primary","lower","pep-primary-p2-lower-division-remainder","表内除法与有余数除法","人教版小学二年级 · 表内除法与有余数除法","4","16","pep-primary-p2-lower-division-remainder","50","topic:pep-primary-p2-lower-division-remainder; lesson:pep-primary-p2-lower-division-remainder; practice:pep-primary-p2-lower-division-remainder; evidence-card:pep-primary-p2-lower-division-measurement-data"
"P2","primary","lower","pep-primary-p2-lower-place-value-measurement-data","万以内数、质量、时间与数据","人教版小学二年级 · 万以内数、质量、时间与数据","4","16","pep-primary-p2-lower-place-value-measurement-data","50","topic:pep-primary-p2-lower-place-value-measurement-data; lesson:pep-primary-p2-lower-place-value-measurement-data; practice:pep-primary-p2-lower-place-value-measurement-data; evidence-card:pep-primary-p2-lower-division-measurement-data"
"P3","primary","upper","pep-primary-p3-upper-operations-fractions","多位数运算与分数初步","人教版小学三年级 · 多位数运算与分数初步","4","16","pep-primary-p3-upper-operations-fractions","50","topic:pep-primary-p3-upper-operations-fractions; lesson:pep-primary-p3-upper-operations-fractions; practice:pep-primary-p3-upper-operations-fractions; evidence-card:pep-primary-p3-upper-multidigit-operations-fractions"
"P3","primary","upper","pep-primary-p3-upper-measurement-time-geometry","测量、年月日与几何","人教版小学三年级 · 测量、年月日与几何","4","16","pep-primary-p3-upper-measurement-time-geometry","50","topic:pep-primary-p3-upper-measurement-time-geometry; lesson:pep-primary-p3-upper-measurement-time-geometry; practice:pep-primary-p3-upper-measurement-time-geometry; evidence-card:pep-primary-p3-upper-multidigit-operations-fractions"
"P3","primary","lower","pep-primary-p3-lower-area-decimals","面积与小数初步","人教版小学三年级 · 面积与小数初步","4","16","pep-primary-p3-lower-area-decimals","50","topic:pep-primary-p3-lower-area-decimals; lesson:pep-primary-p3-lower-area-decimals; practice:pep-primary-p3-lower-area-decimals; evidence-card:pep-primary-p3-lower-area-decimal-data"
