sampleReason,questionId,grade,semester,type,difficulty,unitTitle,topicId,promptZhHans,optionsZhHans,answer,explanationZhHans,overallScore,languageScore,diversityScore,canonicalPromptCount,riskFlags
balanced-coverage,pep-primary-p1-u-mc-051,P1,upper,multiple-choice,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第51小组：下面描述的是哪种立体图形：能向各个方向滚动？,正方体 | 圆柱 | 球 | 长方体,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-mc-055,P1,upper,multiple-choice,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第55小组：下面描述的是哪种立体图形：能向各个方向滚动？,正方体 | 圆柱 | 球 | 长方体,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-mc-059,P1,upper,multiple-choice,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第59小组：下面描述的是哪种立体图形：能向各个方向滚动？,正方体 | 圆柱 | 球 | 长方体,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-mc-001,P1,upper,multiple-choice,Foundation,20以内数感,pep-primary-p1-upper-number-sense,第1小组：一个数的组成中，总数是9，其中一部分是4，另一部分是多少？,5 | 6 | 4 | 7,5,用总数减去已知部分：9-4=5。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-mc-031,P1,upper,multiple-choice,Foundation,20以内数感,pep-primary-p1-upper-number-sense,第31小组：一个数的组成中，总数是15，其中一部分是10，另一部分是多少？,4 | 10 | 5 | 6,5,用总数减去已知部分：15-10=5。,97,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-mc-061,P1,upper,multiple-choice,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第61小组：下面描述的是哪种立体图形：每个面都是正方形？,正方体 | 长方体 | 圆柱 | 球,正方体,这个特征对应正方体。,98.5,100,100,12,
balanced-coverage,pep-primary-p1-u-fi-091,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第91小组：下面描述的是哪种立体图形：能向各个方向滚动？,,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-fi-095,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第95小组：下面描述的是哪种立体图形：能向各个方向滚动？,,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-fi-099,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第99小组：下面描述的是哪种立体图形：能向各个方向滚动？,,球,这个特征对应球。,93.4,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-u-fi-094,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第94小组：下面描述的是哪种立体图形：有两个圆形的面？,,圆柱,这个特征对应圆柱。,94.8,100,100,12,
balanced-coverage,pep-primary-p1-u-fi-097,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第97小组：下面描述的是哪种立体图形：每个面都是正方形？,,正方体,这个特征对应正方体。,98.5,100,100,12,
balanced-coverage,pep-primary-p1-u-fi-100,P1,upper,fill-in,Foundation,图形、位置与整时,pep-primary-p1-upper-shapes-position-time,第100小组：下面描述的是哪种立体图形：相对的面是长方形？,,长方体,这个特征对应长方体。,97.1,100,86,13,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-101,P1,lower,fill-in,Foundation,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,第101小组：计算：37+5=？,,42,按位计算可得：37+5=42。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-102,P1,lower,fill-in,Foundation,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,第102小组：计算：44-10=？,,34,按位计算可得：44-10=34。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-103,P1,lower,fill-in,Foundation,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,第103小组：计算：51+15=？,,66,按位计算可得：51+15=66。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-124,P1,lower,fill-in,Core,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,第124小组：计算：48-12=？,,36,按位计算可得：48-12=36。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-147,P1,lower,fill-in,Core,100以内数与加减法,pep-primary-p1-lower-within-100-add-sub,第147小组：计算：59+19=？,,78,按位计算可得：59+19=78。,93.5,80,70,100,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-fi-170,P1,lower,fill-in,Core,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第170小组：班级统计红卡3张、蓝卡9张、绿卡4张，数量最多的是几张？,,9,比较三个数量，最大的是9张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-171,P1,lower,short-answer,Core,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第171小组：班级统计红卡4张、蓝卡5张、绿卡7张，数量最多的是几张？,,7,比较三个数量，最大的是7张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-172,P1,lower,short-answer,Core,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第172小组：班级统计红卡5张、蓝卡7张、绿卡5张，数量最多的是几张？,,7,比较三个数量，最大的是7张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-173,P1,lower,short-answer,Core,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第173小组：班级统计红卡6张、蓝卡9张、绿卡8张，数量最多的是几张？,,9,比较三个数量，最大的是9张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-181,P1,lower,short-answer,Core,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第181小组：班级统计红卡4张、蓝卡7张、绿卡7张，数量最多的是几张？,,7,比较三个数量，最大的是7张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-191,P1,lower,short-answer,Challenge,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第191小组：班级统计红卡4张、蓝卡9张、绿卡7张，数量最多的是几张？,,9,比较三个数量，最大的是9张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p1-l-sa-200,P1,lower,short-answer,Challenge,人民币、时间与数据,pep-primary-p1-lower-money-data-review,第200小组：班级统计红卡3张、蓝卡9张、绿卡4张，数量最多的是几张？,,9,比较三个数量，最大的是9张。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-mc-001,P2,upper,multiple-choice,Foundation,表内乘法与阵列,pep-primary-p2-upper-multiplication-arrays,第1小组：有3组，每组5个，一共有多少个？,15 | 8 | 18 | 10,15,3个5相加，可以写成3x5=15。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-mc-002,P2,upper,multiple-choice,Foundation,表内乘法与阵列,pep-primary-p2-upper-multiplication-arrays,第2小组：有4组，每组8个，一共有多少个？,12 | 36 | 24 | 32,32,4个8相加，可以写成4x8=32。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-mc-003,P2,upper,multiple-choice,Foundation,表内乘法与阵列,pep-primary-p2-upper-multiplication-arrays,第3小组：有5组，每组3个，一共有多少个？,20 | 12 | 15 | 8,15,5个3相加，可以写成5x3=15。,95.5,100,70,50,near-duplicate-template-cluster
balanced-coverage,pep-primary-p2-u-mc-031,P2,upper,multiple-choice,Foundation,表内乘法与阵列,pep-primary-p2-upper-multiplication-arrays,第31小组：有9组，每组7个，一共有多少个？,72 | 56 | 63 | 16,63,9个7相加，可以写成9x7=63。,95.5,100,70,50,near-duplicate-template-cluster
