sourceBatch,sourceFile,sourceBatchFileId,questionId,grade,semester,unitTitle,topicId,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,independentAnswer,deterministicMathStatus,mathCorrectnessScore,curriculumFitScore,schemaScore,explanationScore,languageScore,diversityScore,sourceSafetyScore,overallScore,directLaunchCandidate,rewriteRecommended,reviewRecommendation,blockerFlags,riskFlags
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-001,P1,lower,认识平面图形,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,multiple-choice,小美用七巧板拼出了一个图形，她数了数，发现这个图形中长方形有2个，正方形有1个，三角形有3个。下面哪个图形可能是小美拼出的？,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠 | 一个由1个长方形、2个正方形和3个三角形组成的图形，所有图形互不重叠 | 一个由2个长方形、1个正方形和4个三角形组成的图形，所有图形互不重叠 | 一个由3个长方形、1个正方形和2个三角形组成的图形，所有图形互不重叠,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠,一个由2个长方形、1个正方形和3个三角形组成的图形，所有图形互不重叠,根据小美的描述，图形中有2个长方形、1个正方形和3个三角形。只有选项1完全符合这个数量，其他选项的数量都不对。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,75,100,100,85,100,100,100,91.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-002,P1,lower,破十法,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,fill-in,计算13 - 8时，可以用破十法：把13分成10和3，先算10 - 8 = __，再算 __ + 3 = __。请按顺序填写三个空。,,"2, 2, 5","2, 2, 5",破十法：13分成10和3，10减8等于2，2加3等于5，所以13 - 8 = 5。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,75,100,100,85,100,100,100,91.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-003,P1,lower,数的顺序,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Challenge,short-answer,"按规律填数：25, 30, 35, __, 45, 50。请写出缺少的数，并说明规律。",,40，规律是每次加5,"40，规律是每次加5 | 40, 每次加5 | 40 每次增加5",观察数列：25到30是加5，30到35是加5，所以35加5是40，40加5是45，符合规律。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,75,100,100,85,80,100,100,89.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-004,P1,lower,认识人民币,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Exam,multiple-choice,小华有1张5元，2张1元，3枚5角。他想买一本6元的笔记本，他的钱够吗？,够，还剩1元5角 | 不够，差5角 | 刚好够 | 不够，差1元,够，还剩1元5角,够，还剩1元5角,小华的钱：5元 + 2元 = 7元，1枚5角 = 0.5元，总共7.5元。笔记本6元，7.5 - 6 = 1.5元，即1元5角，所以够，还剩1元5角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-005,P1,lower,找规律,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,"找规律填数：2, 4, 6, 8, __, 12。请填写缺少的数。",,10,10,规律是每次加2：2+2=4，4+2=6，6+2=8，8+2=10，10+2=12，所以填10。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,60,100,100,92.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-006,P1,lower,分类观察,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Core,short-answer,老师给小朋友分图形卡片，有正方形、三角形、圆形三种。小明说：“我按形状分类，正方形有5张，三角形有3张，圆形有4张。”小红说：“我按颜色分类，红色有6张，蓝色有4张，黄色有2张。”请问图形卡片一共有多少张？,,12,12 | 12张,按形状分：5+3+4=12张；按颜色分：6+4+2=12张。两种分类结果相同，所以总共有12张。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-007,P1,lower,想加算减,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Challenge,multiple-choice,计算12 - 5时，想：5 + __ = 12，所以12 - 5 = __。下面哪个选项正确？,5 + 7 = 12，所以12 - 5 = 7 | 5 + 6 = 11，所以12 - 5 = 6 | 5 + 8 = 13，所以12 - 5 = 8 | 5 + 5 = 10，所以12 - 5 = 5,5 + 7 = 12，所以12 - 5 = 7,5 + 7 = 12，所以12 - 5 = 7,想加算减：因为5+7=12，所以12-5=7。其他选项的加法结果都不等于12。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-008,P1,lower,比较大小,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,比较大小：45 __ 54。请填“>”、“<”或“=”。,,<,< | 小于,45的十位是4，54的十位是5，4<5，所以45<54。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-009,P1,lower,情境应用,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,short-answer,妈妈去超市买了3个苹果，每个苹果2元，又买了一盒5元的牛奶。妈妈一共花了多少钱？请写出算式和答案。,,3×2=6元，6+5=11元，一共11元,3×2=6元，6+5=11元，一共11元 | 3×2=6 6+5=11 11元 | 2+2+2=6元 6+5=11元 一共11元 | 11元 | 11,3个苹果，每个2元，苹果总价3×2=6元，加上牛奶5元，6+5=11元。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-01.json,P1-lower-01,pep-primary-p1-lower-010,P1,lower,100以内加减法,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Challenge,multiple-choice,公交车上原来有34人，到站后下去15人，又上来12人。现在车上有多少人？,31人 | 37人 | 27人 | 41人,31人,31人,原来34人，下去15人，剩下34-15=19人；又上来12人，现在19+12=31人。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-011,P1,lower,图形拼组,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,fill-in,小芳用4个完全一样的正方形纸片拼图形。请写出一种一定能拼成长方形的拼法。,,把4个正方形排成一排,把4个正方形排成一排 | 排成一排 | 4个正方形排成一排 | 把四个正方形排成一排,把4个正方形排成一排，拼出的图形有4条边，对边相等，4个角都是直角，所以一定是一个长方形。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-012,P1,lower,解决问题,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,short-answer,小明有13块糖，吃了8块，还剩几块？请写出计算过程。,,5块,5块 | 5 | 还剩5块,13减8，把13分成10和3，10减8等于2，2加3等于5，所以还剩5块糖。也可以用想加算减：8加5等于13，所以13减8等于5。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-013,P1,lower,100以内数的认识,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Challenge,multiple-choice,一个两位数，十位上的数字是6，个位上的数字比十位上的数字小2。这个数是多少？,68 | 64 | 62 | 46,64,64,十位是6，个位比十位小2，个位是6-2=4，所以这个数是64。选项68的个位比十位大2；62的个位比十位小4；46的十位是4，不符合。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-014,P1,lower,分类与整理,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Foundation,fill-in,小红有1张5元，2张1元，3枚5角。她一共有多少钱？请用元作单位填写。,,8元5角,8元5角 | 8.5元 | 8元5角钱,5元+2元=7元，3枚5角是1元5角，7元+1元5角=8元5角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-015,P1,lower,一年级下册综合复习,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Core,short-answer,学校图书角原来有35本故事书，同学们借走一些后还剩19本。借走了多少本？请列式并计算。,,16本,16本 | 16 | 借走了16本,用原来的本数减去还剩的本数：35-19=16（本）。计算时，个位5减9不够，从十位借1，15-9=6，十位3借走1剩2，2-1=1，所以得16。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-016,P1,lower,认识平面图形,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Foundation,multiple-choice,下面哪个图形不是用4个同样的小正方形拼成的？,一个田字格形状 | 一个长条形状（4个正方形排成一排） | 一个L形状（3个正方形一排，另一个贴在一端下方） | 一个正方形,一个正方形,一个正方形,4个小正方形可以拼成田字格、长条、L形等，但单独一个正方形只用了一个小正方形，不是用4个拼成的。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-017,P1,lower,20以内退位减法,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Core,fill-in,计算12-7时，先把12分成10和2，先算10-7=3，再算3+2=5。这种方法是______。,,破十法,破十法 | 破十法（或平十法）,把十几的数分成10和几，先用10减去减数，再加上剩下的几，这种方法叫做破十法。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-018,P1,lower,十位和个位,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Foundation,short-answer,一个数，个位上是最大的一位数，十位上的数比个位上的数小4。这个数是多少？,,59,59 | 五十九,最大的一位数是9，所以个位是9。十位比个位小4，十位是9-4=5，所以这个数是59。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-019,P1,lower,认识人民币,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Core,multiple-choice,小丽买一个文具盒花了8元5角，她付了10元，应找回多少钱？,1元5角 | 2元5角 | 1元 | 2元,1元5角,1元5角,10元减8元5角，先从10元里拿出1元换成10角，10元变成9元10角，减去8元5角，得1元5角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-02.json,P1-lower-02,pep-primary-p1-lower-020,P1,lower,找规律,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Foundation,fill-in,按规律填数：2，5，8，11，______，______。,,14，17,14，17,规律是每次加3：2+3=5，5+3=8，8+3=11，11+3=14，14+3=17。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,75,100,100,85,60,100,100,87.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-021,P1,lower,分类观察,,plane-shapes | classification | shape-composition | 平面图形 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones | 20以内退位减法,Core,short-answer,桌面上有下面这些图形：一个红色正方形，一个蓝色正方形，一个红色三角形，一个蓝色三角形，一个红色圆形。想一想，按颜色分类，红色图形有几个？按形状分类，正方形有几个？,,按颜色分：3个；按形状分：2个,按颜色分：3个；按形状分：2个 | 红色：3，正方形：2 | 3；2,红色图形有红色正方形、红色三角形、红色圆形，共3个。正方形有红色正方形和蓝色正方形，共2个。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-plane-shapes-classification,,manual-required,75,100,100,85,100,100,100,91.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-022,P1,lower,破十法,,within-20-regrouping-subtraction | making-ten | decompose-subtraction | 20以内退位减法 | within-100-numbers | place-value-tens-ones,Foundation,multiple-choice,计算 13 - 8 时，下面哪种方法正确使用了“破十法”？,"把13分成10和3，先算10-8=2，再算2+3=5 | 把8分成3和5，先算13-3=10，再算10-5=5 | 想8+5=13，所以13-8=5 | 从13开始倒着数8个：12,11,10,9,8,7,6,5",把13分成10和3，先算10-8=2，再算2+3=5,把13分成10和3，先算10-8=2，再算2+3=5,破十法就是把十几的数分成10和几，先用10减去减数，再把剩下的和个位上的数相加。选项1正是这样做的。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-20-regrouping-subtraction,,manual-required,75,100,100,85,100,100,100,91.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-023,P1,lower,数的顺序,,within-100-numbers | place-value-tens-ones | number-order | 100以内数认识 | within-20-regrouping-subtraction | 20以内退位减法,Core,fill-in,按规律填数：45，50，55，__，65，__。,,60，70,60，70,这些数每次增加5：45+5=50，50+5=55，55+5=60，60+5=65，65+5=70。所以填60和70。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-place-value,,manual-required,75,100,100,85,60,100,100,87.5,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-024,P1,lower,情境应用,,renminbi | classification | data-organization | simple-application | 人民币 | within-100-numbers | within-20-regrouping-subtraction | place-value-tens-ones,Foundation,short-answer,小明去文具店，他买了1支铅笔，付了1元，找回4角。一支铅笔多少钱？,,6角,6角 | 6角钱,1元=10角，付10角，找回4角，铅笔价格=10角-4角=6角。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-money-data-context,,manual-required,85,100,100,100,100,100,100,96.3,false,false,sample-review,,manual-math-review-required
deepseek-600,P1-lower-03.json,P1-lower-03,pep-primary-p1-lower-025,P1,lower,100以内加减法,,within-100-addition-subtraction | place-value-tens-ones | patterns | 100以内加减法 | within-100-numbers | within-20-regrouping-subtraction | 20以内退位减法,Core,multiple-choice,下面哪个算式的得数比50大？,23 + 26 | 78 - 30 | 90 - 45 | 35 + 16,35 + 16,35 + 16,23+26=49，小于50；78-30=48，小于50；90-45=45，小于50；35+16=51，大于50。,pep-primary-p1-lower-within-100-add-sub,pep-primary-p1-lower-exam-within-100-add-sub-review,,manual-required,85,100,100,100,80,100,100,94.3,false,false,sample-review,,manual-math-review-required
