"questionId","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","storedAnswer","acceptedAnswers","independentAnswer","solverRule","solvableStatus","answerMatchStatus","mcOptionStatus","qaStatus","severity","issueDetails","recommendedAction","reviewReason"
"hjb-high-ds-v4-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","V4安全变式0008：填空：设集合 A={1,2,3,...,34}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。","3","3","3","set-multiple-count","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-021","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","V4安全变式0021：解答：设集合 A={1,2,3,...,18}，集合 B 为其中能被 2 整除的数。求集合 B 的元素个数。","9","9","9","set-multiple-count","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-023","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Foundation","V4安全变式0023：填空：设集合 A={1,2,3,...,18}，集合 B 为其中能被 3 整除的数。求集合 B 的元素个数。","6","6","6","set-multiple-count","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-028","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","V4安全变式0028：选择：设集合 A={1,2,3,...,43}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","5","5","5","set-multiple-count","pass","pass","pass","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-045","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","V4安全变式0045：解答：设集合 A={1,2,3,...,79}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","9","9","9","set-multiple-count","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-050","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","V4安全变式0050：填空：设集合 A={1,2,3,...,116}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。","12","12","12","set-multiple-count","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-056","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","V4安全变式0056：填空：解不等式 x+6>8，求 x 的取值范围右端常数 8-6 的值。","2","2","2","linear-inequality-bound","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-093","S4","必修 第一册","等式与不等式","等式与不等式","short-answer","Core","V4安全变式0093：解答：解不等式 x+10>12，求 x 的取值范围右端常数 12-10 的值。","2","2","2","linear-inequality-bound","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-095","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Foundation","V4安全变式0095：填空：解不等式 x+3>12，求 x 的取值范围右端常数 12-3 的值。","9","9","9","linear-inequality-bound","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
"hjb-high-ds-v4-s4-101","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Core","V4安全变式0101：填空：已知 log_11(11^23)=m，求 m。","23","23","23","log-power-definition","pass","pass","not-applicable","pass","none","","No blocking action; include in S18 manual pass-sample before app integration.","grade-pass-sample"
