id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,solvable,answerMatches,issueTags,qaOutputConcernTags,correctedAnswer,confidence,rationale,answer,acceptedAnswers,promptZhHans
bnu-junior-ds-v1-s1-019,S1,upper,multiple-choice,Exam,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,6个,medium,"题目与第13题条件相同，最少需要6个小立方块，而非5个。解释中“前排第1列2个、第3列2个，后排第2列1个”总数为5，但此时从左面看，前排第1列2个、第3列2个，后排第2列1个，从左面看应为2列，第1列最高2（前排第1列），第2列最高1（后排第2列），符合条件，但正面看第2列只有后排1个，正面看第2列应为1，符合2,1,2，但此时总数为5，似乎可行？但需验证：若前排第1列2个，第2列0个，第3列2个；后排第1列0个，第2列1个，第3列0个。正面看：第1列最高2，第2列最高1，第3列最高2，符合；左面看：前排最高2（第1列和第3列都是2），后排最高1（第2列1），即左面看第1列最高2，第2列最高1，符合。总数为2+2+1=5。但第13题同样条件答案为6，且第13题解释为最少6个。实际上，这种摆放是可能的，最少应为5个。但第13题答案6个，此处答案5个，存在矛盾。重新分析：正面看3列，左面看2列，设俯视图为2行3列。正面第1列最高2，第2列最高1，第3列最高2；左面第1列最高2，第2列最高1。最少时，可让第1列和第3列的两层都在同一排（前排），第2列的一层在另一排（后排），总数为2+1+2=5。但需检查左面看：前排有第1列2、第3列2，所以前排最高2；后排只有第2列1，最高1，左面看第1列最高2，第2列最高1，符合。因此最少5个是可行的。第13题答案6个是错误的，第19题答案5个正确。但第13题已通过，此处第19题答案5个，解释合理，应通过。然而，第13题答案6个，第19题答案5个，两者矛盾，需统一。实际上，最少应为5个。故第19题答案正确，第13题答案错误。但第13题已判pass，需修正。此处第19题答案5个，解释合理，应pass。",5个,5个,一个几何体由若干个完全相同的小立方块搭成。从正面看，看到3列，从左到右每列最高层数分别为2、1、2；从左面看，看到2列，从左到右每列最高层数分别为2、1。搭成这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-028,S1,upper,multiple-choice,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,3,medium,解释中得出3对面是4，因此与4相对的面是3，答案正确，但选项中有3，答案匹配。然而解释中“正方体相对面数字之和为7”是错误前提，题目未说明数字是1-6且相对面和为7，但根据相邻和可推导出正确结果，答案3正确。但解释逻辑有误，应基于条件推导。不过答案与选项匹配，且可解。但解释错误，应标记。,3,3,有一个密封的正方体盒子，六个面上分别标有数字1、2、3、4、5、6。已知与数字1相邻的四个面上的数字之和为14，与数字2相邻的四个面上的数字之和为13，与数字3相邻的四个面上的数字之和为12。请问与数字4相对的面上的数字是多少？
bnu-junior-ds-v1-s1-426,S1,lower,fill-in,Core,bnu-junior-s1-lower-axis-symmetry,生活中的轴对称,fail,blocker,false,false,missing_condition|answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension|solvability_tension,,medium,"题目条件矛盾：直线l经过点B且垂直于线段AB，但AB竖直，故l应为水平线y=-1；而解释中却说l是水平线y=-1，但答案(2,-7)是点A关于y=-1的对称点，计算正确。然而题目要求“点C与点A关于直线l对称，且直线l经过点B且垂直于线段AB”，但线段AB的垂直平分线是y=2，并非y=-1。条件“直线l经过点B且垂直于线段AB”意味着l是过B且垂直于AB的直线，即y=-1，但此时l不是AB的垂直平分线，对称后A的对应点C不会与A关于l对称且满足某种关系？实际上，若l是y=-1，则A(2,5)关于y=-1的对称点为(2,-7)，但题目并未要求l是垂直平分线，仅要求l经过B且垂直于AB，这确实可以确定l为y=-1，对称点C为(2,-7)。但解释中说“线段AB竖直，中点为(2,2)。直线l为水平线y=-1。”这里中点(2,2)与l无关，解释有误导。更关键的是，题目条件“直线l经过点B且垂直于线段AB”与“点C与点A关于直线l对称”是自洽的，可解。但解释中出现了中点(2,2)这一无关信息，且未说明为何l是y=-1。然而，题目本身是可解的，答案(2,-7)正确。但解释存在瑕疵，可能引起误解。但审核标准要求判断是否可解、答案是否匹配。本题可解，答案匹配，但解释有瑕疵。根据规则，解释不匹配应标记。但解释中计算正确，只是多提了中点。严格来说，解释与答案一致，但逻辑不够清晰。考虑到解释中“直线l为水平线y=-1”正确，答案正确，可视为通过。但解释中“线段AB竖直，中点为(2,2)”是多余信息，可能误导。但整体上，答案和解释是匹配的。因此，我判定为pass，但可加warn。然而，题目条件“直线l经过点B且垂直于线段AB”直接给出l为y=-1，无需中点。解释中引入中点可能让学生困惑。但这不是错误。所以，我决定给pass。但再仔细看：解释中说“线段AB竖直，中点为(2,2)。直线l为水平线y=-1。”这两句之间没有逻辑联系，显得突兀。但答案正确。所以，我维持pass。","(2, -7)","(2, -7)|（2，-7）","在平面直角坐标系中，点A的坐标为(2, 5)，点B的坐标为(2, -1)。点C与点A关于直线l对称，且直线l经过点B且垂直于线段AB。求点C的坐标。"
bnu-junior-ds-v1-s2-019,S2,upper,multiple-choice,Foundation,bnu-junior-s2-upper-pythagorean-theorem,勾股定理,fail,blocker,true,false,ambiguous_mc|bad_options,rationale_status_tension|answer_match_tension,,medium,题目要求判断三角形ABD的形状，但选项A“直角三角形，因为AB²+BD²=AD²”需要先计算AD，而AD未知，无法直接判断；且选项B、C、D均不正确，但A的推理不完整，且题目未给出AD长度，学生无法直接验证。实际上，由已知可算得AD=√45，AB²+BD²=45=AD²，故A正确，但选项表述为“因为AB²+BD²=AD²”未提供AD值，导致选项不严谨，且其他选项错误，但A是唯一可能正确的，但严格来说，选项A的因果关系不成立，因为AD未知。因此，该题选项设计有缺陷，答案匹配但选项不严谨。,直角三角形，因为AB²+BD²=AD²,直角三角形，因为AB²+BD²=AD²,已知三角形ABC的三边长分别为AB=6，BC=8，AC=10。点D在边BC上，且BD=3。连接AD。判断三角形ABD的形状，并说明理由。
bnu-junior-ds-v1-s2-020,S2,upper,short-answer,Challenge,bnu-junior-s2-upper-pythagorean-theorem,勾股定理,fail,blocker,false,false,missing_condition|answer_mismatch|explanation_mismatch,solvability_tension,,high,题目中D在AC上，AD=4，但解释中却用BD²=AB²+AD²，这要求∠BAD=90°，但∠BAD并非直角，因为△ABC中∠B=90°，A点处不是直角。实际上，在Rt△ABC中，∠B=90°，AB=5，BC=12，AC=13，D在AC上，AD=4，则CD=9。要求BD，需用余弦定理或相似，不能直接用勾股定理。解释错误，答案错误，题目不可解（缺少条件或方法不当）。,三角形 ABD 是直角三角形，因为 AB² + AD² = BD²，满足勾股定理的逆定理。,三角形 ABD 是直角三角形，因为 AB² + AD² = BD²，满足勾股定理的逆定理。|是直角三角形，因为 AB² + AD² = BD²|直角三角形，勾股定理逆定理,已知三角形 ABC 的三边长分别为 AB = 5 cm，BC = 12 cm，AC = 13 cm。点 D 在边 AC 上，且 AD = 4 cm。连接 BD。判断三角形 ABD 是否为直角三角形，并说明理由。
bnu-junior-ds-v1-s2-301,S2,lower,multiple-choice,Exam,bnu-junior-s2-lower-triangle-proof-applications,三角形的证明及其应用,fail,blocker,false,false,missing_condition|answer_mismatch,solvability_tension,,high,题目条件矛盾：AB=AC，∠A=40°，则∠B=∠C=70°。若BD=AD，则∠BAD=∠B=70°，但∠BAC=40°，∠BAD>∠BAC，点D不可能在边BC上。解释中承认矛盾并假设D在延长线上，但题目明确“点D在边BC上”，故不可解。,30°,30°,已知△ABC中，AB=AC，∠A=40°，点D在边BC上，且BD=AD。求∠DAC的度数。
bnu-junior-ds-v1-s2-486,S2,lower,short-answer,Core,bnu-junior-s2-lower-parallelograms,平行四边形,fail,blocker,false,false,missing_condition|answer_mismatch|explanation_mismatch,solvability_tension,,high,题目仅给出AB∥CD且AB=CD，可判定ABCD为平行四边形，但未给出AC⊥BD的条件，解释中却使用了AC⊥BD得出直角三角形，这是无中生有。没有垂直条件，无法计算EF长度。因此题目缺少必要条件，不可解。,10,10,在四边形ABCD中，对角线AC与BD相交于点O。已知AB∥CD，且AB=CD。点E、F分别是边AD、BC的中点。若AC=12，BD=16，求线段EF的长度。
bnu-junior-ds-v1-s3-010,S3,upper,multiple-choice,Core,bnu-junior-s3-upper-special-parallelograms,特殊平行四边形,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,2,medium,题目可解，但解析中方程错误。正确解法应利用折叠性质和相似三角形，解得DE=2。解析中列出的方程√(16-x²)+√(x²+16)=2√13不正确，且未给出正确推导，但最终答案2与选项A一致。然而解析过程有误，导致答案匹配但解释不匹配。,2,2,在矩形ABCD中，AB＝4，BC＝6，点E是边AD上一点，连接CE，将△CDE沿CE折叠，点D落在点D'处。当点D'恰好落在矩形的对角线AC上时，DE的长为（ ）
bnu-junior-ds-v1-s3-013,S3,upper,multiple-choice,Exam,bnu-junior-s3-upper-special-parallelograms,特殊平行四边形,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,②③,medium,题目要求选择能判定正方形的条件组合。②∠ABC=90°且AB=BC，只能得到等腰直角三角形，不能直接得正方形；③AC=BD且AC⊥BD，是对角线相等且垂直，可判定正方形。但②单独不能判定正方形，需结合其他条件。解析中称②③组合可判定正方形，但②本身不充分，且③已足够判定正方形，组合②③并不必要。实际上，③单独即可判定正方形，但选项中没有单独③，只有组合。②③组合中②多余，但组合仍能判定正方形。然而解析说②得等腰直角三角形，缺直角条件，不能得正方形，自相矛盾。正确答案应为③④？重新分析：①平行四边形；②等腰直角三角形，不是正方形；③对角线相等且垂直，是正方形；④对角线互相平分且相等，是矩形。组合②③：②不是正方形，③是正方形，组合后仍可判定正方形，但②多余。选项中有②③，无单独③。但解析错误地认为②不能得正方形，却又说②③组合可判定，逻辑混乱。实际上，③单独即可，但选项中没有，只能选②③。但解析说②得等腰直角三角形，缺直角条件，不能得正方形，这是错误的，因为②中已有∠ABC=90°，是直角。所以解析有误。但答案②③仍可能是正确选项，因为③是正方形判定，②虽不充分但组合后仍能判定。然而解析错误，导致答案匹配但解释不匹配。,②③,②③,已知四边形ABCD中，对角线AC与BD相交于点O。给出以下四个条件：①AB=CD，AD=BC；②∠ABC=90°，AB=BC；③AC=BD，且AC⊥BD；④OA=OC，OB=OD，且AC=BD。请问能判定四边形ABCD为正方形的条件是（ ）
bnu-junior-ds-v1-s3-018,S3,upper,fill-in,Core,bnu-junior-s3-upper-special-parallelograms,特殊平行四边形,fail,blocker,true,false,answer_mismatch|explanation_mismatch,rationale_status_tension|answer_match_tension,②③,medium,题目要求选择使四边形为正方形的条件。解析认为需同时满足②和③，但②中∠ABC=90°且AC=BD，只能得到矩形，不是正方形；③四边相等是菱形。矩形+菱形=正方形，所以②③组合正确。但解析说②得矩形，③得菱形，组合得正方形，逻辑正确。然而答案②③与解析一致，但之前审核认为解析有误？重新检查：②∠ABC=90°且AC=BD，对角线相等且一个角是直角，可判定矩形；③四边相等是菱形。矩形+菱形=正方形，正确。所以答案②③正确。但解析中写“②中∠ABC=90°且AC=BD，由对角线相等且一个角为直角可判定矩形，但还需邻边相等”，这是错误的，因为矩形定义是一个角为直角的平行四边形，对角线相等是性质，不能作为判定。实际上，一个角为直角且对角线相等不能直接判定矩形，需要先证平行四边形。所以②单独不能判定矩形，但②③组合：③是菱形，菱形是平行四边形，加上②的直角，可得正方形。所以②③组合正确。解析有瑕疵，但答案正确。然而题目要求“必须同时满足的条件”，②③组合确实可判定正方形，但②单独不充分，组合后充分。答案②③正确。,②③,②③|③②,已知四边形ABCD中，对角线AC与BD相交于点O。给出以下四个条件：①AB=CD，AD=BC；②∠ABC=90°，且AC=BD；③AB=BC=CD=DA；④AC⊥BD，且OA=OC，OB=OD。若四边形ABCD为正方形，则必须同时满足的条件是（填序号）。
