"id","grade","semester","topicId","unitTitle","type","difficulty","reviewReason","reviewStatus","reviewer","reviewNotes"
"hjb-primary-ds-v1-p1-009","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-012","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Exam","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-017","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-021","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-022","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-027","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-032","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","fill-in","Challenge","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-035","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","fill-in","Challenge","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-036","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-040","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-042","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-043","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-044","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","fill-in","Challenge","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-045","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-048","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-051","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-053","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","fill-in","Challenge","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-055","P1","upper","hjb-primary-p1-upper-within-10-number-sense","10以内数的认识","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-064","P1","upper","hjb-primary-p1-upper-within-10-add-sub","10以内数的加减法","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-068","P1","upper","hjb-primary-p1-upper-within-10-add-sub","10以内数的加减法","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-070","P1","upper","hjb-primary-p1-upper-within-10-add-sub","10以内数的加减法","multiple-choice","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-075","P1","upper","hjb-primary-p1-upper-within-10-add-sub","10以内数的加减法","short-answer","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-079","P1","upper","hjb-primary-p1-upper-within-10-add-sub","10以内数的加减法","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-085","P1","upper","hjb-primary-p1-upper-within-20-number-add-sub","20以内的数与不进位不退位加减","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-091","P1","upper","hjb-primary-p1-upper-within-20-number-add-sub","20以内的数与不进位不退位加减","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-096","P1","upper","hjb-primary-p1-upper-within-20-number-add-sub","20以内的数与不进位不退位加减","short-answer","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-110","P1","upper","hjb-primary-p1-upper-review","一年级上册整理与复习","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-117","P1","upper","hjb-primary-p1-upper-review","一年级上册整理与复习","short-answer","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-118","P1","lower","hjb-primary-p1-lower-within-20-regrouping","20以内数的加减法（二）","multiple-choice","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-122","P1","lower","hjb-primary-p1-lower-within-20-regrouping","20以内数的加减法（二）","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-125","P1","lower","hjb-primary-p1-lower-within-20-regrouping","20以内数的加减法（二）","fill-in","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-129","P1","lower","hjb-primary-p1-lower-within-20-regrouping","20以内数的加减法（二）","short-answer","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-133","P1","lower","hjb-primary-p1-lower-within-20-regrouping","20以内数的加减法（二）","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-137","P1","lower","hjb-primary-p1-lower-within-100-number-sense","100以内的数","fill-in","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-146","P1","lower","hjb-primary-p1-lower-within-100-number-sense","100以内的数","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-151","P1","lower","hjb-primary-p1-lower-within-100-number-sense","100以内的数","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-160","P1","lower","hjb-primary-p1-lower-within-100-add-sub","100以内数的加减法（一）","multiple-choice","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-165","P1","lower","hjb-primary-p1-lower-within-100-add-sub","100以内数的加减法（一）","short-answer","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-176","P1","lower","hjb-primary-p1-lower-time-introduction","时间的初步认识","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-183","P1","lower","hjb-primary-p1-lower-time-introduction","时间的初步认识","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-188","P1","lower","hjb-primary-p1-lower-time-introduction","时间的初步认识","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-192","P1","lower","hjb-primary-p1-lower-time-introduction","时间的初步认识","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-199","P1","lower","hjb-primary-p1-lower-length-measurement","长度的比较与测量","multiple-choice","Core","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-200","P1","lower","hjb-primary-p1-lower-length-measurement","长度的比较与测量","fill-in","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-205","P1","lower","hjb-primary-p1-lower-length-measurement","长度的比较与测量","multiple-choice","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
"hjb-primary-ds-v1-p1-209","P1","lower","hjb-primary-p1-lower-length-measurement","长度的比较与测量","multiple-choice","Foundation","grade-pass-sample","pending-s18-manual-review","S18","Auto gates passed; manual sample review is still pending and this package is not approved for public integration."
