"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-junior-ds-v2-s1-003","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","先化简，再求值：2(3a² - ab) - 3(2a² - ab - 1)，其中 a = -2，b = 3。","","-3","-3","原式 = 6a² - 2ab - 6a² + 3ab + 3 = ab + 3。代入 a = -2，b = 3，得 (-2)×3 + 3 = -6 + 3 = -3。","grade-pass-sample"
"hjb-junior-ds-v2-s1-010","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","一个多项式减去 2x² - 3x + 1 等于 5x² + 2x - 4，则这个多项式是（ ）","A. 3x² - x - 3 | B. 7x² - x - 3 | C. 7x² + 5x - 5 | D. 3x² + 5x - 5","B. 7x² - x - 3","B. 7x² - x - 3","设多项式为M，则M - (2x²-3x+1) = 5x²+2x-4，所以M = (5x²+2x-4)+(2x²-3x+1)=7x²-x-3。","grade-pass-sample"
"hjb-junior-ds-v2-s1-022","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","在下列各组整式中，哪一组所含的单项式是同类项？","3x²y 与 5xy² | 2a³b 与 -4a³b | 7mn 与 7m²n | 4p²q 与 4pq²","2a³b 与 -4a³b","2a³b 与 -4a³b","同类项要求所含字母相同且相同字母的指数分别相等。选项B中两个单项式都含字母a和b，且a的指数都是3，b的指数都是1，因此是同类项。其他选项字母指数不完全相同。","grade-pass-sample"
"hjb-junior-ds-v2-s1-026","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","合并同类项：5x²y - 3xy² + 2x²y - xy²。","","7x²y - 4xy²","7x²y - 4xy² | 7x^2y - 4xy^2","同类项是所含字母相同且相同字母的指数也相同的项。5x²y与2x²y是同类项，系数相加得7x²y；-3xy²与-xy²是同类项，系数相加得-4xy²。合并后结果为7x²y - 4xy²。","grade-pass-sample"
"hjb-junior-ds-v2-s1-052","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Challenge","已知 \(x^2 - y^2 = 24\) 且 \(x - y = 3\)，则 \((x + y)^2\) 的值为（ ）","64 | 49 | 36 | 81","64","64","由平方差公式 \(x^2 - y^2 = (x - y)(x + y)\)，代入得 \(3(x + y) = 24\)，解得 \(x + y = 8\)。所以 \((x + y)^2 = 64\)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-054","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Foundation","计算：\((3x - 2y)(2x + 5y)\)，并将结果按 \(x\) 的降幂排列。","","\(6x^2 + 11xy - 10y^2\)","\(6x^2 + 11xy - 10y^2\) | 6x^2+11xy-10y^2 | 6x^2 + 11xy - 10y^2","多项式乘法：\(3x \cdot 2x = 6x^2\)，\(3x \cdot 5y = 15xy\)，\(-2y \cdot 2x = -4xy\)，\(-2y \cdot 5y = -10y^2\)。合并同类项：\(15xy - 4xy = 11xy\)，结果为 \(6x^2 + 11xy - 10y^2\)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-067","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","multiple-choice","Core","下列运算正确的是（ ）\nA. (a^2)^3 = a^5\nB. a^2 · a^3 = a^6\nC. (2a^2)^3 = 6a^6\nD. a^6 ÷ a^2 = a^4","A | B | C | D","D","D","A应为a^6，B应为a^5，C应为8a^6，D正确。幂的乘方指数相乘，同底数幂相乘指数相加，积的乘方各因式分别乘方，同底数幂相除指数相减。","grade-pass-sample"
"hjb-junior-ds-v2-s1-084","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","已知\(a^m=2\)，\(a^n=3\)，求\(a^{2m+3n}\)的值。","","108","108","\(a^{2m+3n}=a^{2m}\cdot a^{3n}=(a^m)^2\cdot(a^n)^3=2^2\cdot3^3=4\times27=108\)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-096","S1","upper","hjb-junior-s1-upper-polynomial-multiply-divide","整式的乘除","short-answer","Exam","已知多项式 A = 2x^3 - 5x^2 + 4x - 7，B = x^2 - 3x + 2。计算 (A + 2B) ÷ (x - 1) 的商式和余式。","","商式为 2x^2 - x + 2，余式为 -3","商式为 2x^2 - x + 2，余式为 -3 | 商式 2x^2 - x + 2，余式 -3 | 2x^2 - x + 2 余 -3 | 商：2x^2 - x + 2，余：-3","先算 A+2B = 2x^3-5x^2+4x-7+2x^2-6x+4 = 2x^3-3x^2-2x-3。用长除法除以 x-1：2x^3÷x=2x^2，乘减得 -x^2-2x；-x^2÷x=-x，乘减得 2x-3；2x÷x=2，乘减得 -3。商 2x^2-x+2，余 -3。","grade-pass-sample"
"hjb-junior-ds-v2-s1-105","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","因式分解：2x³y - 8xy³。请写出完整过程。","","2xy(x + 2y)(x - 2y)","2xy(x + 2y)(x - 2y) | 2xy(x+2y)(x-2y)","先提公因式2xy，得2xy(x² - 4y²)。x² - 4y²可用平方差公式分解为(x + 2y)(x - 2y)，故结果为2xy(x + 2y)(x - 2y)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-106","S1","upper","hjb-junior-s1-upper-factorization","因式分解","multiple-choice","Core","对多项式 \(-12a^3b^2 + 18a^2b^3 - 6a^2b^2\) 进行因式分解，下列结果正确的是（ ）","\(6a^2b^2(-2a + 3b - 1)\) | \(-6a^2b^2(2a - 3b + 1)\) | \(6a^2b^2(-2a + 3b)\) | \(-6a^2b^2(2a - 3b)\)","\(-6a^2b^2(2a - 3b + 1)\)","\(-6a^2b^2(2a - 3b + 1)\)","提取公因式 \(-6a^2b^2\)，得 \(-12a^3b^2 + 18a^2b^3 - 6a^2b^2 = -6a^2b^2(2a - 3b + 1)\)。选项A符号错误，C和D漏项。","grade-pass-sample"
"hjb-junior-ds-v2-s1-117","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","分解因式：-2a³ + 8a² - 8a。请写出完整过程。","","-2a(a - 2)²","-2a(a - 2)² | -2a(a-2)² | -2a(a-2)^2","先提取公因式-2a，得-2a(a² - 4a + 4)，括号内是完全平方式，分解为(a-2)²，故结果为-2a(a-2)²。注意符号处理。","grade-pass-sample"
"hjb-junior-ds-v2-s1-127","S1","upper","hjb-junior-s1-upper-factorization","因式分解","multiple-choice","Core","将 \(4a^2 - 12ab + 9b^2\) 分解因式，下列结果正确的是（ ）","(2a - 3b)^2 | (2a + 3b)^2 | (4a - 9b)^2 | (2a - 3b)(2a + 3b)","(2a - 3b)^2","(2a - 3b)^2","多项式为完全平方式，首平方(2a)²=4a²，尾平方(3b)²=9b²，中间项-2·2a·3b=-12ab，符合a²-2ab+b²=(a-b)²，故分解为(2a-3b)²。","grade-pass-sample"
"hjb-junior-ds-v2-s1-129","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","已知 \(x + y = 5\)，\(xy = 6\)，求 \(x^3y + 2x^2y^2 + xy^3\) 的值。","","150","150","原式=xy(x²+2xy+y²)=xy(x+y)²，代入xy=6，x+y=5得6×5²=150。","grade-pass-sample"
"hjb-junior-ds-v2-s1-141","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","将多项式 \(6x^3y - 9x^2y^2 + 12x^2y\) 因式分解，并写出分解后的结果。","","3x^2y(2x - 3y + 4)","3x^2y(2x - 3y + 4) | 3x^2y(2x-3y+4)","先提取公因式：系数最大公因数为3，x的最低次为x^2，y的最低次为y，故公因式为3x^2y。原式=3x^2y(2x - 3y + 4)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-147","S1","upper","hjb-junior-s1-upper-factorization","因式分解","short-answer","Exam","将多项式 \(4a^2b - 8ab^2 + 2ab\) 因式分解，并写出分解过程。","","2ab(2a - 4b + 1)","2ab(2a - 4b + 1)","提取公因式2ab：4a^2b÷2ab=2a，-8ab^2÷2ab=-4b，2ab÷2ab=1，得2ab(2a-4b+1)。","grade-pass-sample"
"hjb-junior-ds-v2-s1-162","S1","upper","hjb-junior-s1-upper-algebraic-fractions","分式","short-answer","Exam","先化简，再求值：\(\frac{x^2-1}{x^2-2x+1} \div \frac{x+1}{x-1}\)，其中 \(x=-2\)。","","1","1","原式 = \(\frac{(x+1)(x-1)}{(x-1)^2} \cdot \frac{x-1}{x+1} = 1\)。当 \(x=-2\) 时，原式 = 1。","grade-pass-sample"
