"questionId","originalTopicId","originalVerdict","originalIssueCodes","remediationAction","replacementId","remediationStatus","reviewDate"
"pep-high-ds-v1-s4-complex-numbers-011","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-011","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-018","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-018","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-021","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-021","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-024","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-024","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-030","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-030","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-044","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-044","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-048","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-048","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-054","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-054","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-057","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-057","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-060","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-060","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-066","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-066","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-complex-numbers-068","pep-high-s4-complex-numbers","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-complex-numbers-068","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-exp-log-035","pep-high-s4-exp-log","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-exp-log-035","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-function-properties-016","pep-high-s4-function-properties","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-function-properties-016","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-function-properties-044","pep-high-s4-function-properties","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-function-properties-044","remediated-pending-teacher-signoff","2026-05-24"
"pep-high-ds-v1-s4-function-properties-066","pep-high-s4-function-properties","reject","baseline-reject-from-first-pass","replaced-reject-row","pep-high-ds-v1-s4-function-properties-066","remediated-pending-teacher-signoff","2026-05-24"
