"sampleReason","questionId","grade","semester","type","difficulty","storedAnswer","acceptedAnswers","optionsZhHans","explanationZhHans","evidenceCardIds","examPatternCardIds","promptZhHans"
"semester-type-coverage","pep-primary-rag2-p1-lower-mc-011","P1","lower","multiple-choice","Core","正方形","正方形","长方形 | 正方形 | 三角形 | 圆","数一数：长方形2个，正方形3个，三角形1个，圆2个。3最大，所以正方形用得最多。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-plane-shapes-classification","小乐用下面的图形拼了一幅画：他用了2个长方形、3个正方形、1个三角形和2个圆。拼出的画中，哪种图形用得最多？"
"semester-type-coverage","pep-primary-rag2-p1-lower-mc-013","P1","lower","multiple-choice","Core","先算10-6=4，再算4+3=7","先算10-6=4，再算4+3=7","先算10-6=4，再算4+3=7 | 先算13-3=10，再算10-3=7 | 先算6-3=3，再算10-3=7 | 先算10-3=7，再算7-6=1","破十法：13分成10和3，10-6=4，4+3=7。其他选项步骤不对。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-20-regrouping-subtraction","计算13-6时，下面哪种方法是对的？"
"semester-type-coverage","pep-primary-rag2-p1-lower-mc-015","P1","lower","multiple-choice","Core","40","40","38 | 40 | 43 | 45","40在39和42之间，38<39，43>42，45>42，所以选40。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-place-value","下面哪个数比39大，比42小？"
"semester-type-coverage","pep-primary-rag2-p1-lower-fi-001","P1","lower","fill-in","Core","5","5","","破十法：把13分成10和3，10减8得2，3加2得5。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-20-regrouping-subtraction","13 - 8 = □，用破十法先算10 - 8 = 2，再算3 + 2 = 5。所以□里填____。"
"semester-type-coverage","pep-primary-rag2-p1-lower-fi-003","P1","lower","fill-in","Core","<","<","","67十位是6，76十位是7，6<7，所以67<76。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-place-value","比较大小：67 ○ 76，在○里填上“>”“<”或“=”。"
"semester-type-coverage","pep-primary-rag2-p1-lower-fi-005","P1","lower","fill-in","Core","5元3角 > 3元5角 > 5角3分 > 3角5分","5元3角 > 3元5角 > 5角3分 > 3角5分","","比较时先看元，元相同看角，角相同看分。5元3角最大，3元5角其次，5角3分第三，3角5分最小。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-money-data-context","把下面的钱数按从大到小的顺序排列：3元5角、5元3角、5角3分、3角5分。\n______ > ______ > ______ > ______"
"semester-type-coverage","pep-primary-rag2-p1-lower-sa-002","P1","lower","short-answer","Challenge","圆形最多，正方形最少","圆形最多，正方形最少 | 圆形最多，正方形最少。","","圆形5个最多，正方形2个最少。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-plane-shapes-classification","桌上有一些图形：长方形3个，正方形2个，三角形4个，圆形5个。哪种图形最多？哪种图形最少？"
"semester-type-coverage","pep-primary-rag2-p1-lower-sa-003","P1","lower","short-answer","Challenge","13角，合1元3角","13角，合1元3角 | 13角，1元3角","","2张5角是10角，3张1角是3角，共13角，10角是1元，剩3角。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-money-data-context","小红有2张5角和3张1角，她一共有几角？合几元几角？"
"semester-type-coverage","pep-primary-rag2-p1-lower-sa-001","P1","lower","short-answer","Challenge","84","84","","83往后数1个是84。","pep-primary-p1-lower-within-100-add-sub","pep-primary-p1-lower-exam-within-100-place-value","按顺序写数：78，79，80，81，82，83。83后面的一个数是几？"
"semester-type-coverage","pep-primary-rag2-p1-upper-mc-011","P1","upper","multiple-choice","Core","5","5","4 | 5 | 6 | 7","原来有3块，加上2块，3+2=5，所以一共5块。","pep-primary-p1-upper-number-sense-within-20","pep-primary-p1-upper-exam-within-5-number-sense","小明有3块糖，妈妈又给了他2块。现在小明一共有几块糖？"
