id,grade,semester,type,difficulty,topicId,topicTitleZhHans,volume,chapter,status,severity,confidence,sourceStage,solvableStatus,ragFitStatus,answerMatchStatus,explanationMatchStatus,mcUniquenessStatus,independentAnswer,correctedAnswer,issueTags,qaOutputConcernTags,rationaleZhHans,answer,acceptedAnswers,stageASolvableStatus,stageASeverity,stageAIndependentAnswer,stageBAnswerMatchStatus,stageBExplanationMatchStatus,stageBMcUniquenessStatus,stageBCorrectedAnswer,stageCSeverity,promptZhHans
bnu-high-ds-v1-s4-001,S4,upper,multiple-choice,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,pass,"(2, 3)",,,,"存储答案(2,3)与独立解一致，解析正确，选项唯一。","(2, 3)","(2, 3)",pass,none,"(2, 3)",pass,pass,pass,,,已知集合 A = {x | x² - 5x + 6 < 0}，B = {x | 2x - 1 > 3}，则 A ∩ B 等于（ ）
bnu-high-ds-v1-s4-002,S4,upper,short-answer,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,"(2, 3]",,,,"存储答案(2,3]与独立解一致，解析正确。","(2, 3]","(2, 3]",pass,none,"(2, 3]",pass,pass,not_applicable,,,"用区间表示不等式组 { 2x - 1 ≤ 5, 3x + 2 > 8 } 的解集。"
bnu-high-ds-v1-s4-003,S4,upper,fill-in,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,R,,,,"存储答案(-∞,+∞)或全体实数与独立解R一致，解析正确。","(-∞, +∞) 或 全体实数","(-∞, +∞) 或 全体实数 | (-∞, +∞) | 全体实数 | R",pass,none,R,pass,pass,not_applicable,,,若关于x的方程 x² - 2mx + m² - 1 = 0 有两个不相等的实数根，则实数m的取值范围是______。
bnu-high-ds-v1-s4-004,S4,upper,multiple-choice,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,pass,充分不必要条件,充分不必要条件,math_error|answer_mismatch|explanation_contradiction,,"题目可解，p的解集为[1,3]，q的解集为[2,3]，p是q的真子集，故p⇒q但q⇏p，p是q的充分不必要条件。存储答案“充要条件”错误，解析虽指出p不是q的子集、q是p的子集，却错误推断为必要不充分，且与存储答案矛盾。正确选项为“充分不必要条件”。",充要条件,充要条件,pass,none,充分不必要条件,fail,fail,pass,必要不充分条件,blocker,已知条件p：|x - 2| ≤ 1，条件q：x² - 5x + 6 ≤ 0，则p是q的（ ）
bnu-high-ds-v1-s4-005,S4,upper,short-answer,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,9,,,,存储答案9与独立解一致，解析正确。,9,9,pass,none,9,pass,pass,not_applicable,,,已知a > 0，b > 0，且a + b = 1，求 1/a + 4/b 的最小值。
bnu-high-ds-v1-s4-006,S4,upper,fill-in,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,"{1, 2}",,,,"存储答案{1,2}与独立解一致，解析正确。","{1, 2}","{1, 2} | {2, 1}",pass,none,"{1, 2}",pass,pass,not_applicable,,,已知集合A={x | x² - 3x + 2 = 0}，用列举法表示集合A。
bnu-high-ds-v1-s4-007,S4,upper,multiple-choice,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-c,pass,pass,pass,pass,pass,"[1, 3]",,,,"题目可解，解集正确，补集为[1,3]，选项唯一，解析一致，无任何问题。","[1, 3]","[1, 3]",pass,none,"[1, 3]",pass,pass,pass,,none,已知全集U=R，集合A={x | x² - 4x + 3 > 0}，则∁ᵤA等于（ ）
bnu-high-ds-v1-s4-008,S4,upper,short-answer,Challenge,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,"[-1/2, 2]",,,,"存储答案[-1/2,2]与独立解一致，解析正确。","[-1/2, 2]","[-1/2, 2] | [-0.5, 2]",pass,none,"[-1/2, 2]",pass,pass,not_applicable,,,"已知函数f(x)的定义域为[-2, 3]，求函数g(x)=f(2x-1)+√(x+1)的定义域。"
bnu-high-ds-v1-s4-009,S4,upper,fill-in,Core,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,fail,blocker,high,stage-c,pass,pass,fail,fail,not_applicable,"(-∞, +∞)","(-∞, +∞)",math_error|answer_mismatch|explanation_contradiction,self_correction_language|overlong_rationale,"不等式 2^{x²-3x} > 1/8 等价于 x²-3x > -3，即 x²-3x+3 > 0，判别式 Δ = -3 < 0，恒成立，解集为 R，区间表示为 (-∞, +∞)。存储答案 (-∞, 1) ∪ (2, +∞) 错误，解析虽正确推导出 R 但与答案矛盾，属于严重数学错误。","(-∞, 1) ∪ (2, +∞)","(-∞, 1) ∪ (2, +∞) | (-∞,1)∪(2,+∞)",pass,none,"(-∞, -1) ∪ (4, +∞)",fail,fail,not_applicable,"(-∞, +∞)",blocker,不等式 2^{x² - 3x} > 1/8 的解集用区间表示为______。
bnu-high-ds-v1-s4-010,S4,upper,multiple-choice,Foundation,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,pass,充要条件,,,,存储答案“充要条件”与 Stage A 独立解一致，解析正确，选项唯一。,充要条件,充要条件,pass,none,充要条件,pass,pass,pass,,,"已知a, b ∈ R，则“a > b”是“a³ > b³”的（ ）"
bnu-high-ds-v1-s4-011,S4,upper,short-answer,Exam,bnu-high-s4-预备知识,预备知识,必修 第一册,预备知识,pass,none,high,stage-b,pass,pass,pass,pass,not_applicable,"(3, +∞)",,,,"存储答案 (3, +∞) 与 Stage A 独立解一致，解析正确。","(3, +∞)","(3, +∞)",pass,none,"(3, +∞)",pass,pass,not_applicable,,,已知集合 A = {x | x² - 5x + 6 ≤ 0}，B = {x | 2x - 1 > 3}，全集 U = R。求 (∁_U A) ∩ B，并用区间表示。
