id,package,chapter,answer,modelIssueCodes,modelIndependentAnswer,status,codexAdjudication,prompt
hjb-high-ds-v2-s4-084,mainland-hjb-high-generated-bank-v2,等式与不等式,0,wrong-answer,0,false_positive_after_remediation,"False positive: x=1 gives a+b≤0 as a necessary upper bound, and a=0,b=0 attains a+b=0 while |x²|≤1 on [0,1].","已知函数 f(x)=x²+ax+b（a,b∈R），若对于任意 x∈[0,1]，都有 |f(x)|≤1，求 a+b 的最大值。"
hjb-high-ds-v2-s4-248,mainland-hjb-high-generated-bank-v2,函数的概念、性质及应用,"(-∞,-1)和(-1,1)",wrong-answer,"(-∞,-1)和(-1,1)",false_positive_after_remediation,"False positive: f'(x)=-(2x-2)/(x²-2x-3)²; denominator square is positive, so f'>0 exactly for x<1, split by x=-1 into (-∞,-1) and (-1,1).",函数 f(x)=1/(x²-2x-3) 的单调递增区间为______。
hjb-high-ds-v2-s4-265,mainland-hjb-high-generated-bank-v2,三角,ω=2，φ=π/6,wrong-answer,ω=2，φ=π/6,false_positive_after_remediation,"False positive: A satisfies f(0)=1 and f(π/6)=2; φ=5π/6 with ω=2 gives f(π/6)=-1, so only ω=2, φ=π/6 is valid.",已知函数 f(x)=2sin(ωx+φ)（ω>0，0<φ<π），且 f(0)=1，f(x) 在 x=π/6 处取得最大值。则 ω 和 φ 的值可能是（　）。
hjb-high-ds-v2-s4-268,mainland-hjb-high-generated-bank-v2,三角,等腰三角形,wrong-answer,等腰三角形,false_positive_after_remediation,"False positive: by sine rule, sin(A-B)=0 and A,B are triangle angles, so A=B; non-isosceles right triangles do not satisfy the condition.",在 △ABC 中，角 A、B、C 的对边分别为 a、b、c，且满足 a cos B = b cos A。则 △ABC 的形状是（　）。
hjb-high-ds-v3-s4-331,mainland-hjb-high-generated-bank-v3-remediated,三角函数,2,wrong-answer | explanation-mismatch,3,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V3修复变式0331：选择：函数 y=7sin(2x+2π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v3-s4-346,mainland-hjb-high-generated-bank-v3-remediated,三角函数,2,wrong-answer,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V3修复变式0346：选择：函数 y=9sin(2x+9π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v3-s4-361,mainland-hjb-high-generated-bank-v3-remediated,三角函数,2,wrong-answer,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V3修复变式0361：选择：函数 y=12sin(2x+10π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v3-s4-376,mainland-hjb-high-generated-bank-v3-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V3修复变式0376：选择：函数 y=9sin(2x+9π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v3-s5-127,mainland-hjb-high-generated-bank-v3-remediated,概率初步,7/24,wrong-answer,7/24,false_positive_after_remediation,"False positive: total balls 7+17=24, so red probability is 7/24; option 7/24 appears exactly once.",V3修复变式0627：选择：袋中有 7 个红球和 17 个蓝球，随机取出 1 个，取到红球的概率是多少？
hjb-high-ds-v4-s4-316,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0316：选择：函数 y=5sin(2x+10π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-319,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0319：选择：函数 y=7sin(2x+8π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-322,mainland-hjb-high-generated-bank-v4-remediated,三角函数,2,wrong-answer | explanation-mismatch,2,false_positive_after_remediation,"False positive: maximum condition gives integer k values 1、2, so the count is 2; stored answer is 2. Any k leading to x>2π is excluded.","V4修复变式0322：选择：函数 y=10sin(2x+6π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
hjb-high-ds-v4-s4-325,mainland-hjb-high-generated-bank-v4-remediated,三角函数,3,wrong-answer | explanation-mismatch,3,false_positive_after_remediation,"False positive: maximum condition gives integer k values 0、1、2, so the count is 3; stored answer is 3. Any k leading to x>2π is excluded.","V4修复变式0325：选择：函数 y=9sin(2x+3π/6)。求它在区间 [0,2π] 内取得最大值的次数。"
