"id","grade","semester","topicId","unitTitle","type","difficulty","promptZhHans","optionsZhHans","answer","acceptedAnswers","explanationZhHans","reviewReason"
"hjb-primary-ds-v1-p1-009","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Foundation","请你说一说，在数学课上，当其他小朋友在发言时，你应该怎么做？","","认真听，不插话，等小朋友说完再举手说自己的想法。","认真听，不插话，等小朋友说完再举手说自己的想法。 | 认真听，不打断，等别人说完再举手。 | 安静听，等别人说完再发言。","数学课上要学会倾听，别人发言时要认真听，不打断，等别人说完再表达自己的想法，这样才能互相学习。","grade-pass-sample"
"hjb-primary-ds-v1-p1-012","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","short-answer","Exam","在数学课上，老师让小朋友玩“听指令做动作”的游戏。老师说：“请你先跳4下，再跳2下，然后想一想，你一共跳了几下？你是怎样算出来的？”请你写出你的答案和想法。","","一共跳了6下。因为4和2合起来是6。","一共跳了6下。因为4和2合起来是6。 | 6下。4+2=6。 | 6下。4和2组成6。","先跳4下，再跳2下，合起来就是4+2=6下。用数的组成或加法都可以。","grade-pass-sample"
"hjb-primary-ds-v1-p1-017","P1","upper","hjb-primary-p1-upper-school-math-habits","我是小学生与数学学习习惯","fill-in","Foundation","在数学游戏“听口令做动作”中，老师说：“请你拍手3下，然后跺脚2下。”小朋友应该怎么做？请用数字和动作名称写下来。","","拍手3下，跺脚2下","拍手3下，跺脚2下 | 先拍手3下，再跺脚2下 | 拍手3下，再跺脚2下","仔细听老师的口令，按顺序做动作：先拍手3下，再跺脚2下。用数字和动作名称记录，能帮助记住规则。","grade-pass-sample"
"hjb-primary-ds-v1-p1-021","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","下面这些物品中，哪些的形状是圆柱？请写出它们的序号。\n① 一个易拉罐 ② 一个魔方 ③ 一卷卫生纸 ④ 一个篮球 ⑤ 一支没有削过的圆柱形铅笔","","①③⑤","①③⑤ | ①、③、⑤ | ①,③,⑤ | ①，③，⑤","圆柱上下一样粗，两头是圆圆的平面，可以滚动。易拉罐、卫生纸卷和圆柱形铅笔都有这些特点。魔方是正方体，篮球是球。","grade-pass-sample"
"hjb-primary-ds-v1-p1-022","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","multiple-choice","Core","下面哪个物品的形状是正方体？","A. 一个鞋盒 | B. 一个骰子 | C. 一个皮球 | D. 一个茶叶罐","B. 一个骰子","B. 一个骰子","正方体有6个一样大小的正方形面。骰子每个面都是正方形且大小相同。鞋盒是长方体，皮球是球，茶叶罐通常是圆柱。","grade-pass-sample"
"hjb-primary-ds-v1-p1-027","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","说一说，下面哪个物体最容易滚动？为什么？\n铅笔盒、足球、字典、积木块","","足球最容易滚动，因为它是球，表面是弯弯的，没有平平的面，可以朝任意方向滚动。","足球最容易滚动，因为它是球，表面是弯弯的，没有平平的面，可以朝任意方向滚动。 | 足球，因为它是球，可以滚。 | 足球最容易滚动，因为它是球，全身都是圆的。","足球是球，球的面全是弯弯的，没有平平的面，所以最容易滚动。铅笔盒是长方体，字典是长方体，积木块可能是长方体或正方体，它们都有平平的面，不容易滚动。","grade-pass-sample"
"hjb-primary-ds-v1-p1-032","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","fill-in","Challenge","观察下面的物体：魔方、皮球、水杯、牙膏盒。其中，形状是正方体的物体是______。","","魔方","魔方","魔方每个面都是大小相同的正方形，是正方体。皮球是球，水杯是圆柱，牙膏盒是长方体。","grade-pass-sample"
"hjb-primary-ds-v1-p1-035","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","fill-in","Challenge","把下面的物体按形状分类：篮球、骰子、易拉罐、粉笔盒。其中，形状是长方体的有______。","","粉笔盒","粉笔盒","粉笔盒每个面都是长方形，是长方体。篮球是球，骰子是正方体，易拉罐是圆柱。","grade-pass-sample"
"hjb-primary-ds-v1-p1-036","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","short-answer","Foundation","下面有一些物品：魔方、皮球、铅笔盒、薯片筒、骰子、玻璃弹珠、牙膏盒、易拉罐。请你按照形状分一分，把物品名称填在横线上。\n长方体：______\n正方体：______\n圆柱：______\n球：______","","长方体：铅笔盒、牙膏盒；正方体：魔方、骰子；圆柱：薯片筒、易拉罐；球：皮球、玻璃弹珠","长方体：铅笔盒、牙膏盒；正方体：魔方、骰子；圆柱：薯片筒、易拉罐；球：皮球、玻璃弹珠 | 长方体：牙膏盒、铅笔盒；正方体：骰子、魔方；圆柱：易拉罐、薯片筒；球：玻璃弹珠、皮球","看物品的形状，不管大小和颜色。铅笔盒和牙膏盒是长长方方的，有6个平平的面，是长方体；魔方和骰子每个面都是同样大的正方形，是正方体；薯片筒和易拉罐上下一样粗，两头是圆圆的平面，是圆柱；皮球和玻璃弹珠圆滚滚的，可以到处滚，是球。","grade-pass-sample"
"hjb-primary-ds-v1-p1-040","P1","upper","hjb-primary-p1-upper-solids-introduction","认识立体图形","multiple-choice","Core","下面哪个图形既能滚动，又有平平的面？","A. 正方体 | B. 球 | C. 圆柱 | D. 长方体","C. 圆柱","C. 圆柱","圆柱横放可以滚动，两头有平平的圆面。正方体和长方体只有平平的面，不能滚动；球能滚动但没有平平的面。","grade-pass-sample"
