id,grade,semester,type,difficulty,topicId,unitTitle,status,severity,solvable,answerMatches,issueTags,qaOutputConcernTags,correctedAnswer,confidence,rationale,answer,acceptedAnswers,promptZhHans
bnu-junior-ds-v1-s1-001,S1,upper,multiple-choice,Core,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,题目条件充分，三棱柱有5个面（2个三角形底面和3个四边形侧面），符合描述。选项唯一正确，答案匹配。,三棱柱,三棱柱,一个几何体由5个面围成，其中3个面是四边形，2个面是三角形，所有面都是平面图形。这个几何体是（ ）
bnu-junior-ds-v1-s1-002,S1,upper,short-answer,Foundation,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,从正前方看长方体，看到的是前面，长8 cm、宽3 cm（高），答案正确，解释合理，acceptedAnswers覆盖多种表述。,长8 cm，宽3 cm。理由：从正前方观察，看到的是长方体的前面，前面的长是长方体的长8 cm，宽是长方体的高3 cm。,长8 cm，宽3 cm。理由：从正前方观察，看到的是长方体的前面，前面的长是长方体的长8 cm，宽是长方体的高3 cm。|长8 cm，宽3 cm|8 cm和3 cm|长8厘米，宽3厘米,一个透明塑料盒的形状是长方体，长8 cm、宽5 cm、高3 cm。从正前方观察这个盒子，看到的是一个长方形。请写出这个长方形的长和宽（单位：cm），并说明理由。
bnu-junior-ds-v1-s1-003,S1,upper,fill-in,Exam,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,由三视图推断最少小立方块数，分析正确，最少6个，答案匹配。,6,6,一个几何体由若干个大小相同的小立方块搭成。从正面看，看到两列，左边一列最高有3层，右边一列最高有2层；从左面看，看到两列，左边一列最高有3层，右边一列最高有1层。搭成这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-004,S1,upper,multiple-choice,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,展开图特征明确为圆柱，选项唯一正确，答案匹配。,它是圆柱，侧面展开图是长方形,它是圆柱，侧面展开图是长方形,有一个几何体，它的表面展开图由两个全等的圆和一个长方形组成，且长方形的长等于圆的周长。关于这个几何体，下列说法正确的是：
bnu-junior-ds-v1-s1-005,S1,upper,short-answer,Core,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,由主视图和左视图推断最少小立方块数，分析正确，最少5个，答案匹配。,5,5,一个几何体由若干个大小相同的小立方块搭成。从正面看，看到3列，从左到右每列小立方块的个数依次为2、1、2；从左面看，看到2列，从左到右每列小立方块的个数依次为2、1。这个几何体最少由几个小立方块搭成？
bnu-junior-ds-v1-s1-006,S1,upper,fill-in,Foundation,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,主视图和左视图均为田字形，只能是一层4个小正方体，最少和最多都是4个，答案正确。,最少4个，最多4个,"最少4个，最多4个|最少4个,最多4个|4,4|4 4",一个几何体由4个大小相同的小正方体搭成，从正面看和从左面看得到的形状都是“田”字形（即2行2列的正方形排列）。这个几何体最少由几个小正方体组成？最多由几个小正方体组成？请分别写出最少和最多的个数。
bnu-junior-ds-v1-s1-007,S1,upper,multiple-choice,Exam,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,由主视图和左视图推断最少小立方块数，分析正确，最少4个，选项唯一正确。,4个,4个,一个几何体由若干个大小相同的小立方块搭成，从正面和左面看到的形状分别如下：从正面看，第一列最高2层，第二列最高1层，第三列最高1层；从左面看，第一列最高2层，第二列最高1层。这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-008,S1,upper,short-answer,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,由三视图得长方体尺寸，计算水体积192 cm³，翻转后水高4.8 cm，未完全淹没原朝下面，答案正确。,水的体积为 192 cm³，翻转后水没有完全淹没原来朝下的面。,水的体积为 192 cm³，翻转后水没有完全淹没原来朝下的面。|192 cm³，没有完全淹没|192，没有,一个透明塑料长方体容器，从正面看是一个长 8 cm、宽 5 cm 的长方形，从左面看是一个长 6 cm、宽 5 cm 的长方形，从上面看是一个长 8 cm、宽 6 cm 的长方形。容器内装有水，水面高度为 4 cm。若将容器密封后翻转，使原来朝上的面变为朝下，此时水面高度变为 3 cm。请计算容器内水的体积，并判断翻转后水是否完全淹没原来朝下的面。
bnu-junior-ds-v1-s1-009,S1,upper,fill-in,Core,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,与第5题相同，由主视图和左视图推断最少5个小立方块，答案匹配。,5,5,一个几何体由若干个大小相同的小立方块搭成。从正面看，看到3列，从左到右每列小立方块的个数分别为2、1、2；从左面看，看到2列，从左到右每列小立方块的个数分别为2、1。这个几何体最少由多少个小立方块搭成？
bnu-junior-ds-v1-s1-010,S1,upper,multiple-choice,Foundation,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,由三视图推断，底层4个，左前位置加1个，最少5个，选项唯一正确。,5个,5个|5,一个几何体由若干个大小相同的小立方块搭成。从正面看，看到两列，左边一列最高2层，右边一列最高1层；从左面看，看到两列，左边一列最高2层，右边一列最高1层；从上面看，看到两行两列，每个位置都有小立方块。搭成这个几何体最少需要多少个小立方块？
bnu-junior-ds-v1-s1-011,S1,upper,short-answer,Exam,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,沿三个方向过中心锯开，得到8个小长方体，每个体积8 cm³，答案正确。,8个，每个体积8 cm³,8个，每个体积8 cm³|8个，每个体积8立方厘米|8个，每个体积8cm³,一个正方体木块的棱长为4 cm。用锯子沿三个不同方向各锯一次，每次都平行于正方体的一个面，且锯痕恰好经过正方体的中心，将正方体分成若干个小长方体。请问：锯开后得到的小长方体共有多少个？每个小长方体的体积是多少立方厘米？
bnu-junior-ds-v1-s1-012,S1,upper,fill-in,Challenge,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,根据展开图折叠，与“礼”相对的面是“心”，答案正确。,心,心,一个正方体形状的礼品盒，表面展开后得到一个平面图形。已知这个平面图形由六个正方形组成，且其中四个正方形排成一行，另外两个正方形分别连接在这一行两端的正方形上。请问这个展开图折叠成正方体后，与写有“礼”字的面相对的面上的字是什么？已知展开图中四个排成一行的正方形从左到右依次写有“礼”“物”“盒”“子”，左端正方形上方连接的正方形写有“开”，右端正方形下方连接的正方形写有“心”。
bnu-junior-ds-v1-s1-013,S1,upper,multiple-choice,Core,bnu-junior-s1-upper-spatial-figures,丰富的图形世界,pass,none,true,true,,,,high,题目条件充分，通过三视图分析可确定最少需要6个小立方块，答案正确，解释合理。,6个,6个,一个几何体由若干个大小相同的小立方块搭成。从正面看，看到3列，从左到右每列小立方块的数量分别是2、1、2；从左面看，看到2列，从左到右每列小立方块的数量分别是2、1。搭成这个几何体最少需要多少个小立方块？
