index,id,grade,semester,volume,unitTitle,topicId,questionType,difficulty,illustrationNeed,illustrationType,priority,confidence,manualReviewRequired,reasonZhHans,generationBriefZhHans,copyrightSafetyZhHans,promptZhHans,answer,skillTags,competencyTags,misconceptionTags,evidenceCardIds
75,hjb-junior-ds-v2-s1-075,S1,upper,七年级上册,整式的乘除,hjb-junior-s1-upper-polynomial-multiply-divide,short-answer,Exam,recommended,conceptual-support,P2,medium,true,题干可以用结构图辅助理解，适合做低优先级概念支持图。 判定信号：符号题中包含可视化结构。,为沪教版初中数学题 hjb-junior-ds-v2-s1-075 绘制原创题目插图，单元「整式的乘除」，不要复制教材或试卷版式。 绘制概念支持图，帮助理解结构，但不要添加题干没有给出的结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,已知长方形的面积为\(6a^2+2ab\)，一边长为\(2a\)，求另一边长。,3a+b,同底数幂；幂的乘方；积的乘方；整式乘法；乘法公式；整式除法,运算能力；符号意识；逻辑推理,exponents added in power of a power；formula pattern overmatched；division factor omitted,hjb-junior-s1-upper-polynomial-multiply-divide
202,hjb-junior-ds-v2-s1-202,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-202 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,一个三角形绕平面内一点旋转60°后，下列说法正确的是：,三角形的形状和大小都不变,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
205,hjb-junior-ds-v2-s1-205,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-205 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,下列图形中，一定是轴对称图形的是：,等腰三角形,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
207,hjb-junior-ds-v2-s1-207,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,short-answer,Foundation,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-207 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,一个正方形绕其中心旋转90°后，与自身重合。请再写出一个旋转角度（大于0°且小于360°），使得该正方形绕中心旋转后也能与自身重合。,180°或270°,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
208,hjb-junior-ds-v2-s1-208,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Core,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-208 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,在识别图形运动方式时，下列生活现象中属于平移的是（ ）,B. 电梯从一楼上升到五楼,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
217,hjb-junior-ds-v2-s1-217,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,recommended,geometry-diagram,P2,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何单元题插图可提升点线角关系理解。,为沪教版初中数学题 hjb-junior-ds-v2-s1-217 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,下列哪种运动一定会改变图形的位置但不会改变图形的形状和大小？,A. 平移,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
221,hjb-junior-ds-v2-s1-221,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Foundation,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-221 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,"将点A(2, -3)先向右平移4个单位，再向上平移1个单位，得到点B。点B的坐标是______。","(6, -2)",平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
224,hjb-junior-ds-v2-s1-224,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,fill-in,Core,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-224 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,一个四边形沿某条直线翻折后，与另一个四边形完全重合。如果其中一个四边形的周长为18 cm，那么另一个四边形的周长为______cm。,18,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
229,hjb-junior-ds-v2-s1-229,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-229 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,下列图形中，既是轴对称图形又是中心对称图形的是：,圆,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
235,hjb-junior-ds-v2-s1-235,S1,upper,七年级上册,图形的运动,hjb-junior-s1-upper-figure-transformations,multiple-choice,Foundation,must-have,geometry-diagram,P1,high,true,题干包含几何构型、点线角或圆的关系，原创示意图能稳定呈现已知条件与对应关系。 判定信号：几何构型包含多点线关系或证明/变换条件。,为沪教版初中数学题 hjb-junior-ds-v2-s1-235 绘制原创题目插图，单元「图形的运动」，不要复制教材或试卷版式。 画清点、线、角、平行/垂直/相交/圆等关系；仅呈现题干给出的条件，不暗示未给结论。,仅根据当前原创题干重新绘制简洁数学示意图，不复制、还原或近似教材/试卷原图、版式、题序或受保护视觉布局。,下列运动形式中，属于平移的是：,电梯的上下移动,平移；旋转；翻折；轴对称；变换前后关系,空间观念；几何直观；推理意识,movement changes shape size；corresponding points mismatched；rotation direction confused,hjb-junior-s1-upper-figure-transformations
