"questionId","grade","semester","topicId","unitTitle","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"hjb-junior-ds-v2-s1-001","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","B. 2a²b 与 -5a²b","B. 2a²b 与 -5a²b","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-002","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","2x + 3y","2x + 3y | 2x+3y","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-003","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","-3","-3","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-004","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","C. 3","C. 3","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-005","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","4","4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-006","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","7x² - 8xy + 13，常数项为13","7x² - 8xy + 13，常数项为13 | 7x²-8xy+13，常数项为13","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-007","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","12x - y","12x - y","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-008","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","4","4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-009","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","-x² - 4x + 9，当x=-1时值为12","-x² - 4x + 9，当x=-1时值为12 | -x²-4x+9，当x=-1时值为12","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-010","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","B. 7x² - x - 3","B. 7x² - x - 3","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-011","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","x³ - 5x²y + 10xy² - 7y³","x³ - 5x²y + 10xy² - 7y³","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-012","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","11x²y + 4xy²","11x²y + 4xy² | 11x²y+4xy²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-013","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","C. -5m²n 与 0.8nm²","C. -5m²n 与 0.8nm²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-014","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-015","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","-10","-10","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-016","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","7x² - 11xy + 10y²","7x² - 11xy + 10y²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-017","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","35","35","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-018","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","3m²n + 4mn²","3m²n + 4mn²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-019","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","x² + x - 4","x² + x - 4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-020","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","4","4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-021","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","5x² - 10xy + 11","5x² - 10xy + 11 | 5x^2 - 10xy + 11","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-022","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","2a³b 与 -4a³b","2a³b 与 -4a³b","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-023","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-024","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","2x² + xy - 4，当x=-1,y=2时，原式=2×(-1)²+(-1)×2-4=2-2-4=-4","2x² + xy - 4，当x=-1,y=2时，原式=2×(-1)²+(-1)×2-4=2-2-4=-4 | 2x^2 + xy - 4，当x=-1,y=2时，原式=2×(-1)^2+(-1)×2-4=2-2-4=-4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-025","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","A. 2a² - 4a + 6","A. 2a² - 4a + 6","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-026","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","7x²y - 4xy²","7x²y - 4xy² | 7x^2y - 4xy^2","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-027","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","ab，当a=-1，b=2时，原式=-2","ab，当a=-1，b=2时，原式=-2 | ab, 当a=-1, b=2时, 原式=-2 | ab，-2 | ab, -2","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-028","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","-2(x - 3y) = -2x + 6y","-2(x - 3y) = -2x + 6y","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-029","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","4","4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-030","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","3x² - x - 2","3x² - x - 2 | 3x^2 - x - 2","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-031","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","\(4x^2 - 7xy + 5y^2\)","\(4x^2 - 7xy + 5y^2\)","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-032","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-033","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","-1","-1","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-034","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","\(-2ab\) 与 \(5ba\)","\(-2ab\) 与 \(5ba\)","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-035","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","\(x^2 - x - 2\)","\(x^2 - x - 2\)","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-036","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","5x²y - 10xy² + 11xy - 11","5x²y - 10xy² + 11xy - 11","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-037","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","1","1","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-038","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","2x - 5y","2x - 5y | 2x-5y","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-039","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Exam","\(-5a^2b - 7ab\)，值为 34","\(-5a^2b - 7ab\)，值为 34 | -5a^2b - 7ab，值为34 | 34","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-040","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Challenge","C. 6xy - 4y²","C. 6xy - 4y²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-041","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Core","x^2 - 5xy + 10y^2","x^2 - 5xy + 10y^2 | x² - 5xy + 10y²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-042","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Foundation","6a^2b - 3ab^2","6a^2b - 3ab^2 | 6a²b - 3ab²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-043","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Exam","D. \(4x^2y - 2yx^2 = 2x^2y\)","D. \(4x^2y - 2yx^2 = 2x^2y\)","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-044","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Challenge","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-045","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Core","4","4","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-046","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Foundation","5x²y 与 -2yx²","5x²y 与 -2yx²","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-047","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Exam","2a²b - 6ab + 6","2a²b - 6ab + 6","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-048","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","short-answer","Challenge","7x³ - 12x²y + 11xy² - 22","7x³ - 12x²y + 11xy² - 22","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-049","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","multiple-choice","Core","A. 4x + 9y","A. 4x + 9y","pass","none","","","Passed structural gate; include in S18 pass-sample review."
"hjb-junior-ds-v2-s1-050","S1","upper","hjb-junior-s1-upper-polynomial-add-subtract","整式的加减","fill-in","Foundation","5","5","pass","none","","","Passed structural gate; include in S18 pass-sample review."
