"questionId","grade","volume","chapter","topicTitleZhHans","type","difficulty","promptZhHans","storedAnswer","acceptedAnswers","independentAnswer","solverRule","solvableStatus","answerMatchStatus","mcOptionStatus","qaStatus","severity","decision","issueCodes","issueDetails","recommendedAction","manualReviewStatus","manualReviewType","manualReviewer","manualIssueCode","manualNotes","manualRecommendedAction"
"hjb-high-ds-v2-s4-001","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Core","已知全集 U = {1,2,3,4,5,6}，集合 A = {2,4,6}，B = {1,2,3,4}。则 (∁_U A) ∩ B 等于（　）","{1,3}","{1,3}","{1,3}","manual-review","manual-pass","manual-pass","manual-pass","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-002","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","设集合 A = {x | x² - 5x + 6 = 0}，B = {x | mx - 1 = 0}。若 B ⊆ A，则实数 m 的所有可能取值构成的集合为______。","{0, 1/2, 1/3}","{0, 1/2, 1/3} | {0,1/2,1/3}","{0, 1/2, 1/3}","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-003","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Foundation","用列举法表示集合 {x ∈ N | 3/(x+1) ∈ N}。","{0,2}","{0,2} | {0, 2}","{0,2}","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-004","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","已知 p：|x - 2| < 1，q：x < a。若 p 是 q 的充分不必要条件，则实数 a 的取值范围是（　）","a ≥ 3","a ≥ 3 | a>=3","a ≥ 3","manual-review","manual-pass","manual-pass","manual-pass","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","p0-remediation-independent-solve","S18","","Corrected the endpoint. Since q is x<a, a=3 still makes every x in (1,3) satisfy q.","Approve remediated row for the V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-005","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Core","已知全集 U = R，集合 A = {x | x² - 2x - 3 ≤ 0}，则 ∁_U A = ______。","(-∞, -1) ∪ (3, +∞)","(-∞, -1) ∪ (3, +∞) | (-∞,-1)∪(3,+∞)","(-∞, -1) ∪ (3, +∞)","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-006","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Challenge","已知集合 A = {x | x² - 3x + 2 = 0}，B = {x | x² - ax + (a-1) = 0}，且 A ∪ B = A，求实数 a 的值。","a = 2 或 a = 3","a = 2 或 a = 3 | a=2或a=3","a = 2 或 a = 3","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-007","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Foundation","二轮变式0007：选择：设集合 A={1,2,3,...,100}，集合 B 为其中能被 11 整除的数。求集合 B 的元素个数。","9","9","9","set-multiple-count","pass","pass","pass","pass","none","approve","","","Approve for automated quality gate; still include in S18 manual pass-sample before app integration.","pending","","","","",""
"hjb-high-ds-v2-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","设命题 p：∃ x ∈ R，x² + 2x + m ≤ 0。若 p 是真命题，则实数 m 的取值范围是______。","m ≤ 1","m ≤ 1 | m≤1","m ≤ 1","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-009","S4","必修 第一册","集合与逻辑","集合与逻辑","short-answer","Core","已知 a、b、1 两两不同，集合 A = {1, a, b}，B = {a, a², ab}，且 A = B，求 a²⁰²³ + b²⁰²⁴ 的值。","-1","-1","-1","manual-review","manual-pass","manual-pass","not-applicable","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","p0-remediation-independent-solve","S18","","Added distinctness to make the set-equality reading unique and corrected the stored answer.","Approve remediated row for the V2 candidate release pool after aggregate QA gates pass."
"hjb-high-ds-v2-s4-010","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Challenge","已知条件 p：|x - 1| > 2，条件 q：x² - 5x + 6 > 0。则 p 是 q 的（　）","充分不必要条件","充分不必要条件","充分不必要条件","manual-review","manual-pass","manual-pass","manual-pass","pass","none","approve","","","Approved by S18 manual independent solve / pass-sample review; eligible for candidate release pool after aggregate gates pass.","reviewed","solver-gap-independent-solve","S18","","S18 independent solve: stored answer and accepted answer set match the independently derived result.","Approve for V2 candidate release pool after aggregate QA gates pass."
