question_id,grade,topic_id,reviewer,verdict,notes
us-ca-k-g5-v3-deepseek-k-u01-q01,K,us-ca-math-k-unit-01-counting-collections,S18,accepted-for-beta,Simple counting item; answer is unique; provider label removed from student prompt.
us-ca-k-g5-v3-deepseek-k-u01-q02,K,us-ca-math-k-unit-01-counting-collections,S18,accepted-for-beta,Simple counting item; answer is unique; provider label removed from student prompt.
us-ca-k-g5-v3-deepseek-g1-u01-q01,P1,us-ca-math-g1-unit-01-counting-on-and-back,S18,accepted-for-beta,Counting-on arithmetic checked; one correct option.
us-ca-k-g5-v3-deepseek-g1-u01-q02,P1,us-ca-math-g1-unit-01-counting-on-and-back,S18,accepted-for-beta,Counting-back arithmetic checked.
us-ca-k-g5-v3-deepseek-g2-u01-q01,P2,us-ca-math-g2-unit-01-add-and-subtract-within-100,S18,accepted-for-beta,Two-digit addition checked; one correct option.
us-ca-k-g5-v3-deepseek-g2-u01-q02,P2,us-ca-math-g2-unit-01-add-and-subtract-within-100,S18,accepted-for-beta,Two-digit addition checked.
us-ca-k-g5-v3-deepseek-g3-u01-q01,P3,us-ca-math-g3-unit-01-multiplication-meaning,S18,accepted-for-beta,Equal-groups multiplication checked; one correct option.
us-ca-k-g5-v3-deepseek-g3-u01-q02,P3,us-ca-math-g3-unit-01-multiplication-meaning,S18,accepted-for-beta,Equal-groups multiplication checked.
us-ca-k-g5-v3-deepseek-g4-u01-q01,P4,us-ca-math-g4-unit-01-multi-digit-addition-and-subtraction,S18,accepted-for-beta,Multi-digit addition checked; one correct option.
us-ca-k-g5-v3-deepseek-g4-u01-q02,P4,us-ca-math-g4-unit-01-multi-digit-addition-and-subtraction,S18,accepted-for-beta,Multi-digit addition checked.
us-ca-k-g5-v3-deepseek-g5-u01-q01,P5,us-ca-math-g5-unit-01-place-value-patterns,S18,accepted-for-beta,Multiply by ten decimal-place shift checked; one correct option.
us-ca-k-g5-v3-deepseek-g5-u01-q02,P5,us-ca-math-g5-unit-01-place-value-patterns,S18,accepted-for-beta,Multiply by ten decimal-place shift checked.
