"id","batch","grade","chapter","type","difficulty","severity","issueCodes","issueDetailsZhHans","independentAnswerZhHans","answer","acceptedAnswers","answerCheckZhHans","recommendedActionZhHans","confidence","promptZhHans"
"hjb-high-ds-v1-s4-051","hjb-v1","S4","等式与不等式","short-answer","Foundation","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 18-8 的值”，但实际解不等式得 x>10，右端常数为10，而18-8=10，答案10正确。但表述“求 x 的取值范围右端常数 18-8 的值”有歧义，可能被理解为直接计算18-8，而非解不等式。建议明确为“解不等式，并写出x的取值范围右端常数”。","10","10","10","标准答案10，acceptedAnswers包含10，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0051：解答：解不等式 x+8>18，求 x 的取值范围右端常数 18-8 的值。"
"hjb-high-ds-v1-s4-052","hjb-v1","S4","等式与不等式","multiple-choice","Exam","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 8-11 的值”，但实际解不等式得 x>-3，右端常数为-3，而8-11=-3，答案-3正确。但表述有歧义，可能被理解为直接计算8-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-3","-3","-3","标准答案-3，选项A为-3，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0052：选择：解不等式 x+11>8，求 x 的取值范围右端常数 8-11 的值。"
"hjb-high-ds-v1-s4-053","hjb-v1","S4","等式与不等式","fill-in","Core","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 8-11 的值”，但实际解不等式得 x>-3，右端常数为-3，而8-11=-3，答案-3正确。但表述有歧义，可能被理解为直接计算8-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-3","-3","-3","标准答案-3，acceptedAnswers包含-3，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0053：填空：解不等式 x+11>8，求 x 的取值范围右端常数 8-11 的值。"
"hjb-high-ds-v1-s4-054","hjb-v1","S4","等式与不等式","short-answer","Challenge","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 16-7 的值”，但实际解不等式得 x>9，右端常数为9，而16-7=9，答案9正确。但表述有歧义，可能被理解为直接计算16-7。建议明确为“解不等式，并写出x的取值范围右端常数”。","9","9","9","标准答案9，acceptedAnswers包含9，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0054：解答：解不等式 x+7>16，求 x 的取值范围右端常数 16-7 的值。"
"hjb-high-ds-v1-s4-055","hjb-v1","S4","等式与不等式","multiple-choice","Foundation","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 9-5 的值”，但实际解不等式得 x>4，右端常数为4，而9-5=4，答案4正确。但表述有歧义，可能被理解为直接计算9-5。建议明确为“解不等式，并写出x的取值范围右端常数”。","4","4","4","标准答案4，选项B为4，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0055：选择：解不等式 x+5>9，求 x 的取值范围右端常数 9-5 的值。"
"hjb-high-ds-v1-s4-056","hjb-v1","S4","等式与不等式","fill-in","Exam","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 19-8 的值”，但实际解不等式得 x>11，右端常数为11，而19-8=11，答案11正确。但表述有歧义，可能被理解为直接计算19-8。建议明确为“解不等式，并写出x的取值范围右端常数”。","11","11","11","标准答案11，acceptedAnswers包含11，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0056：填空：解不等式 x+8>19，求 x 的取值范围右端常数 19-8 的值。"
"hjb-high-ds-v1-s4-057","hjb-v1","S4","等式与不等式","short-answer","Core","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 12-10 的值”，但实际解不等式得 x>2，右端常数为2，而12-10=2，答案2正确。但表述有歧义，可能被理解为直接计算12-10。建议明确为“解不等式，并写出x的取值范围右端常数”。","2","2","2","标准答案2，acceptedAnswers包含2，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0057：解答：解不等式 x+10>12，求 x 的取值范围右端常数 12-10 的值。"
"hjb-high-ds-v1-s4-058","hjb-v1","S4","等式与不等式","multiple-choice","Challenge","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 18-2 的值”，但实际解不等式得 x>16，右端常数为16，而18-2=16，答案16正确。但表述有歧义，可能被理解为直接计算18-2。建议明确为“解不等式，并写出x的取值范围右端常数”。","16","16","16","标准答案16，选项C为16，唯一正确选项，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0058：选择：解不等式 x+2>18，求 x 的取值范围右端常数 18-2 的值。"
"hjb-high-ds-v1-s4-059","hjb-v1","S4","等式与不等式","fill-in","Foundation","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 10-11 的值”，但实际解不等式得 x>-1，右端常数为-1，而10-11=-1，答案-1正确。但表述有歧义，可能被理解为直接计算10-11。建议明确为“解不等式，并写出x的取值范围右端常数”。","-1","-1","-1","标准答案-1，acceptedAnswers包含-1，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0059：填空：解不等式 x+11>10，求 x 的取值范围右端常数 10-11 的值。"
"hjb-high-ds-v1-s4-060","hjb-v1","S4","等式与不等式","short-answer","Exam","P1","ambiguous-prompt","题目要求“求 x 的取值范围右端常数 6-5 的值”，但实际解不等式得 x>1，右端常数为1，而6-5=1，答案1正确。但表述有歧义，可能被理解为直接计算6-5。建议明确为“解不等式，并写出x的取值范围右端常数”。","1","1","1","标准答案1，acceptedAnswers包含1，解析正确，但题目表述有歧义。","修改题目表述，避免歧义。","medium","变式0060：解答：解不等式 x+5>6，求 x 的取值范围右端常数 6-5 的值。"
"hjb-high-ds-v1-s4-061","hjb-v1","S4","等式与不等式","multiple-choice","Core","P1","wrong-answer","题目要求计算 4-9 的值，正确答案应为 -5，但选项中没有 -5。选项为 -4, -6, -5, -3，其中 -5 是选项之一，但题目问的是“右端常数 4-9 的值”，而 4-9 = -5，选项 C 为 -5，因此选项 C 正确。但题目描述为“求 x 的取值范围右端常数 4-9 的值”，这本身是 -5，选项中有 -5，所以答案应为 -5。然而，题目给出的标准答案也是 -5，选项中也包含 -5，因此答案匹配。但仔细检查：题目说“选择：解不等式 x+9>4，求 x 的取值范围右端常数 4-9 的值。” 解不等式得 x > -5，右端常数是 -5，4-9 = -5，所以答案 -5 正确。选项中有 -5，所以只有一个正确选项。因此，题目可解，答案匹配。但为什么我标记了 needs-review？因为最初我误以为选项中没有 -5，但实际选项中有 -5。所以应该修正为 pass。","-5","-5","-5","标准答案为 -5，选项 C 为 -5，匹配。","无需修改，题目正确。","high","变式0061：选择：解不等式 x+9>4，求 x 的取值范围右端常数 4-9 的值。"
