"id","topicId","slot","reviewStatus","decision","candidatePath","srcAfterApproval","grade","semester","volume","ragCardIds","altZhHans","captionZhHans","reviewerNotes"
"hjb-primary-p1-upper-school-math-habits-concept","hjb-primary-p1-upper-school-math-habits","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-school-math-habits/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-school-math-habits/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-school-math-habits","整洁的数学学习场景展示计数片、工具卡片、检查箭头和观察线索。主题对应沪教版《我是小学生与数学学习习惯》。","良好的数学习惯从观察、表达、检查和使用工具开始。","Review 我是小学生与数学学习习惯 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-school-math-habits-worked-example","hjb-primary-p1-upper-school-math-habits","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-school-math-habits/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-school-math-habits/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-school-math-habits","整洁的数学学习场景展示计数片、工具卡片、检查箭头和观察线索。画面以例题工作区方式对应沪教版《我是小学生与数学学习习惯》。","良好的数学习惯从观察、表达、检查和使用工具开始。例题中要把模型、步骤和检查连起来。","Review 我是小学生与数学学习习惯 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-solids-introduction-concept","hjb-primary-p1-upper-solids-introduction","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-solids-introduction/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-solids-introduction/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-solids-introduction","长方体、正方体、圆柱、圆锥、展开图、单位立方体和阴影面展示空间推理。主题对应沪教版《认识立体图形》。","立体图形要分清结构、表面积和体积。","Review 认识立体图形 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-solids-introduction-worked-example","hjb-primary-p1-upper-solids-introduction","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-solids-introduction/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-solids-introduction/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-solids-introduction","长方体、正方体、圆柱、圆锥、展开图、单位立方体和阴影面展示空间推理。画面以例题工作区方式对应沪教版《认识立体图形》。","立体图形要分清结构、表面积和体积。例题中要把模型、步骤和检查连起来。","Review 认识立体图形 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-10-number-sense-concept","hjb-primary-p1-upper-within-10-number-sense","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-10-number-sense/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-10-number-sense/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-10-number-sense","位值块、计数片、十格结构和数线路径帮助理解数感。主题对应沪教版《10以内数的认识》。","先看清数量结构，再把数的组成和位置说清楚。","Review 10以内数的认识 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-10-number-sense-worked-example","hjb-primary-p1-upper-within-10-number-sense","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-10-number-sense/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-10-number-sense/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-10-number-sense","位值块、计数片、十格结构和数线路径帮助理解数感。画面以例题工作区方式对应沪教版《10以内数的认识》。","先看清数量结构，再把数的组成和位置说清楚。例题中要把模型、步骤和检查连起来。","Review 10以内数的认识 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-10-add-sub-concept","hjb-primary-p1-upper-within-10-add-sub","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-10-add-sub/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-10-add-sub/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-10-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。主题对应沪教版《10以内数的加减法》。","运算前先判断数量关系，再用模型检查结果是否合理。","Review 10以内数的加减法 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-10-add-sub-worked-example","hjb-primary-p1-upper-within-10-add-sub","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-10-add-sub/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-10-add-sub/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-10-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。画面以例题工作区方式对应沪教版《10以内数的加减法》。","运算前先判断数量关系，再用模型检查结果是否合理。例题中要把模型、步骤和检查连起来。","Review 10以内数的加减法 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-20-number-add-sub-concept","hjb-primary-p1-upper-within-20-number-add-sub","concept","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-20-number-add-sub/concept.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-20-number-add-sub/concept.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-20-number-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。主题对应沪教版《20以内的数与不进位不退位加减》。","运算前先判断数量关系，再用模型检查结果是否合理。","Review 20以内的数与不进位不退位加减 concept illustration for math correctness, source distance, age fit, and absence of readable in-image text."
"hjb-primary-p1-upper-within-20-number-add-sub-worked-example","hjb-primary-p1-upper-within-20-number-add-sub","worked-example","approved","approved","coordination/content-qa/mainland-hjb-primary-illustrations-v1/candidates/hjb-primary-p1-upper-within-20-number-add-sub/worked-example.png","/lesson-illustrations/mainland-hjb-primary/hjb-primary-p1-upper-within-20-number-add-sub/worked-example.png","P1","upper","一年级上册","hjb-primary-p1-upper-within-20-number-add-sub","分组计数片、重组托盘、部分整体条和进退路径展示运算思路。画面以例题工作区方式对应沪教版《20以内的数与不进位不退位加减》。","运算前先判断数量关系，再用模型检查结果是否合理。例题中要把模型、步骤和检查连起来。","Review 20以内的数与不进位不退位加减 worked-example illustration for math correctness, source distance, age fit, and absence of readable in-image text."
