"questionId","grade","volume","chapter","type","difficulty","answer","acceptedAnswers","qaStatus","severity","issueCodes","issueDetails","recommendedAction"
"bnu-high-ds-v1-s4-001","S4","必修 第一册","预备知识","multiple-choice","Core","(2, 3)","(2, 3)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-002","S4","必修 第一册","预备知识","short-answer","Foundation","(2, 3]","(2, 3]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-003","S4","必修 第一册","预备知识","fill-in","Exam","(-∞, +∞) 或 全体实数","(-∞, +∞) 或 全体实数 | (-∞, +∞) | 全体实数 | R","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-004","S4","必修 第一册","预备知识","multiple-choice","Challenge","充要条件","充要条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-005","S4","必修 第一册","预备知识","short-answer","Core","9","9","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-006","S4","必修 第一册","预备知识","fill-in","Foundation","{1, 2}","{1, 2} | {2, 1}","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-007","S4","必修 第一册","预备知识","multiple-choice","Exam","[1, 3]","[1, 3]","needs-review","P1","duplicate-mc-options","duplicate-mc-options: duplicate options","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-008","S4","必修 第一册","预备知识","short-answer","Challenge","[-1/2, 2]","[-1/2, 2] | [-0.5, 2]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-009","S4","必修 第一册","预备知识","fill-in","Core","(-∞, 1) ∪ (2, +∞)","(-∞, 1) ∪ (2, +∞) | (-∞,1)∪(2,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-010","S4","必修 第一册","预备知识","multiple-choice","Foundation","充要条件","充要条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-011","S4","必修 第一册","预备知识","short-answer","Exam","(3, +∞)","(3, +∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-012","S4","必修 第一册","预备知识","fill-in","Challenge","[2, 3]","[2, 3]","needs-review","P0","source-original","source-original: source/reference wording detected","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-013","S4","必修 第一册","预备知识","multiple-choice","Core","M = N","M = N","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-014","S4","必修 第一册","预备知识","short-answer","Foundation","[-2, 4)","[-2, 4)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-015","S4","必修 第一册","预备知识","fill-in","Exam","9/4","9/4","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-016","S4","必修 第一册","预备知识","multiple-choice","Challenge","必要不充分条件","必要不充分条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-017","S4","必修 第一册","预备知识","short-answer","Core","(-∞, -1] ∪ [3, 4)","(-∞, -1] ∪ [3, 4)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-018","S4","必修 第一册","预备知识","fill-in","Foundation","(-∞, 1/2) ∪ (1, +∞)","(-∞, 1/2) ∪ (1, +∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-019","S4","必修 第一册","预备知识","multiple-choice","Exam","A ∈ B","A ∈ B","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-020","S4","必修 第一册","预备知识","short-answer","Challenge","充分不必要条件","充分不必要条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-021","S4","必修 第一册","预备知识","fill-in","Core","(2,3]","(2,3]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-022","S4","必修 第一册","预备知识","multiple-choice","Foundation","(-∞,1]∪[3,+∞)","(-∞,1]∪[3,+∞)","needs-review","P1","duplicate-mc-options","duplicate-mc-options: duplicate options","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-023","S4","必修 第一册","预备知识","short-answer","Exam","充分不必要条件","充分不必要条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-024","S4","必修 第一册","预备知识","fill-in","Challenge","-1","-1","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-025","S4","必修 第一册","预备知识","multiple-choice","Core","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-026","S4","必修 第一册","预备知识","short-answer","Foundation","若x² ≤ 4，则x ≤ 2","若x² ≤ 4，则x ≤ 2","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-027","S4","必修 第一册","预备知识","fill-in","Exam","16","16","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-028","S4","必修 第一册","预备知识","multiple-choice","Challenge","a ≥ 3","a ≥ 3","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-029","S4","必修 第一册","预备知识","short-answer","Core","(-1/2, 3)","(-1/2, 3)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-030","S4","必修 第一册","预备知识","fill-in","Foundation","{0, 1, 1/3}","{0, 1, 1/3}","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-031","S4","必修 第一册","预备知识","multiple-choice","Exam","{5, 7}","{5, 7}","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-032","S4","必修 第一册","预备知识","short-answer","Challenge","-10","-10","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-033","S4","必修 第一册","预备知识","fill-in","Core","[-1, 5)","[-1, 5) | [-1,5)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-034","S4","必修 第一册","预备知识","multiple-choice","Foundation","必要不充分条件","必要不充分条件","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-035","S4","必修 第一册","预备知识","short-answer","Exam","最小值为9，a=1/3","最小值为9，a=1/3 | 9，a=1/3","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-036","S4","必修 第一册","预备知识","fill-in","Challenge","{0, 1, 1/2}","{0, 1, 1/2} | {0,1,1/2}","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-037","S4","必修 第一册","函数","multiple-choice","Core","[3, +∞)","[3, +∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-038","S4","必修 第一册","函数","short-answer","Foundation","f(x) = { x² - 2x, x > 0; 0, x = 0; -x² - 2x, x < 0 }","f(x) = { x² - 2x, x > 0; 0, x = 0; -x² - 2x, x < 0 } | f(x)={x²-2x, x>0; 0, x=0; -x²-2x, x<0}","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-039","S4","必修 第一册","函数","fill-in","Exam","(-∞, 3]","(-∞, 3] | (-∞,3]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-040","S4","必修 第一册","函数","multiple-choice","Challenge","6","6","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-041","S4","必修 第一册","函数","short-answer","Core","(-∞, -1] 和 [1, +∞)","(-∞, -1] 和 [1, +∞) | (-∞,-1]和[1,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-042","S4","必修 第一册","函数","fill-in","Foundation","[-2, 1) ∪ (1, 2]","[-2, 1) ∪ (1, 2] | [-2,1)∪(1,2]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-043","S4","必修 第一册","函数","multiple-choice","Exam","[-1, 0] 和 [2, +∞)","[-1, 0] 和 [2, +∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-044","S4","必修 第一册","函数","short-answer","Challenge","a = -3 或 a = 3","a = -3 或 a = 3 | -3 或 3 | -3,3","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-045","S4","必修 第一册","函数","fill-in","Core","10","10","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-046","S4","必修 第一册","函数","multiple-choice","Foundation","f(x) = |x| + 1","f(x) = |x| + 1","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-047","S4","必修 第一册","函数","short-answer","Exam","a ≤ -1","a ≤ -1 | (-∞, -1]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-048","S4","必修 第一册","函数","fill-in","Challenge","a > 1/2","a > 1/2 | (1/2, +∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-049","S4","必修 第一册","函数","multiple-choice","Core","(0, 4)","(0, 4)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-050","S4","必修 第一册","函数","short-answer","Foundation","[2, +∞)","[2, +∞) | [2,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-051","S4","必修 第一册","函数","fill-in","Exam","11","11","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-052","S4","必修 第一册","函数","multiple-choice","Challenge","(-∞, -2/3)","(-∞, -2/3)","needs-review","P1","duplicate-mc-options","duplicate-mc-options: duplicate options","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-053","S4","必修 第一册","函数","short-answer","Core","（1）偶函数；（2）[-1,0] 和 [1,+∞)","（1）偶函数；（2）[-1,0] 和 [1,+∞) | （1）偶函数；（2）[-1,0]和[1,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-054","S4","必修 第一册","函数","fill-in","Foundation","[-2,1)∪(1,2]","[-2,1)∪(1,2] | [-2,1)U(1,2]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-055","S4","必修 第一册","函数","multiple-choice","Exam","(1/3, 1)","(1/3, 1)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-056","S4","必修 第一册","函数","short-answer","Challenge","15","15","needs-review","P0","long-explanation | source-original | self-contradiction-wording | self-contradiction-wording","long-explanation: 1024 chars | source-original: source/reference wording detected | self-contradiction-wording: contradiction wording detected | self-contradiction-wording: contradiction wording detected","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-057","S4","必修 第一册","函数","fill-in","Core","0","0","needs-review","P2","long-explanation","long-explanation: 402 chars","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-058","S4","必修 第一册","函数","multiple-choice","Foundation","y = |x| + 1/x","y = |x| + 1/x","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-059","S4","必修 第一册","函数","short-answer","Exam","（1）f(x)=x^2-4|x|+3；（2）(-1,3)","（1）f(x)=x^2-4|x|+3；（2）(-1,3)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-060","S4","必修 第一册","函数","fill-in","Challenge","2023×2024+1","2023×2024+1 | 2023*2024+1","needs-review","P2","long-explanation","long-explanation: 288 chars","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-061","S4","必修 第一册","函数","multiple-choice","Core","f(x) 是奇函数","f(x) 是奇函数","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-062","S4","必修 第一册","函数","short-answer","Foundation","[-2, 1) ∪ (1, 2]","[-2, 1) ∪ (1, 2] | [-2,1)∪(1,2]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-063","S4","必修 第一册","函数","fill-in","Exam","[-1, 0] 和 [1, +∞)","[-1, 0] 和 [1, +∞) | [-1,0]和[1,+∞) | [-1,0]∪[1,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-064","S4","必修 第一册","函数","multiple-choice","Challenge","4","4","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-065","S4","必修 第一册","函数","short-answer","Core","奇函数","奇函数","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-066","S4","必修 第一册","函数","fill-in","Foundation","(-∞, -1]","(-∞, -1] | (-∞,-1]","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-067","S4","必修 第一册","函数","multiple-choice","Exam","f(x) 是奇函数","f(x) 是奇函数","needs-review","P2","long-explanation","long-explanation: 221 chars","Rewrite or manually approve before any app integration."
"bnu-high-ds-v1-s4-068","S4","必修 第一册","函数","short-answer","Challenge","f(x) = 2/x - x","f(x) = 2/x - x | f(x)=2/x-x","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-069","S4","必修 第一册","函数","fill-in","Core","(3, +∞)","(3, +∞) | (3,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-070","S4","必修 第一册","函数","multiple-choice","Foundation","f(x) = |x|","f(x) = |x|","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-071","S4","必修 第一册","函数","short-answer","Exam","定义域为 (-∞, 1] ∪ (3, +∞)；在 (3, +∞) 上单调递增。","定义域为 (-∞, 1] ∪ (3, +∞)；在 (3, +∞) 上单调递增。 | 定义域：(-∞, 1] ∪ (3, +∞)；单调递增 | 定义域 (-∞, 1] ∪ (3, +∞)，单调递增","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-072","S4","必修 第一册","函数","fill-in","Challenge","3 或 -1","3 或 -1 | 3, -1 | -1 或 3 | -1, 3","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-073","S4","必修 第一册","指数运算与指数函数","multiple-choice","Core","a > b > c","a > b > c","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-074","S4","必修 第一册","指数运算与指数函数","short-answer","Foundation","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-075","S4","必修 第一册","指数运算与指数函数","fill-in","Exam","3","3","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-076","S4","必修 第一册","指数运算与指数函数","multiple-choice","Challenge","f(x) 是奇函数，g(x) 是偶函数","f(x) 是奇函数，g(x) 是偶函数","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-077","S4","必修 第一册","指数运算与指数函数","short-answer","Core","(-∞, 1]","(-∞, 1] | (-∞, 1) | (-∞, 1] 或 x ≤ 1","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-078","S4","必修 第一册","指数运算与指数函数","fill-in","Foundation","0 或 2","0 或 2 | 0, 2 | 2 或 0 | 2, 0","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-079","S4","必修 第一册","指数运算与指数函数","multiple-choice","Exam","(1, 3)","(1, 3)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-080","S4","必修 第一册","指数运算与指数函数","short-answer","Challenge","a = 2, b = 0；解集为 (1, +∞)","a = 2, b = 0；解集为 (1, +∞) | a=2, b=0；x>1 | a=2,b=0；解集 (1,+∞)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-081","S4","必修 第一册","指数运算与指数函数","fill-in","Core","1","1","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-082","S4","必修 第一册","指数运算与指数函数","multiple-choice","Foundation","(1, 3)","(1, 3)","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-083","S4","必修 第一册","指数运算与指数函数","short-answer","Exam","奇函数","奇函数","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-084","S4","必修 第一册","指数运算与指数函数","fill-in","Challenge","18","18","pass","none","","","Include in S18 pass-sample review before app integration."
"bnu-high-ds-v1-s4-085","S4","必修 第一册","指数运算与指数函数","multiple-choice","Core","c < a < b","c < a < b","pass","none","","","Include in S18 pass-sample review before app integration."
