id,grade,topicId,topicTitleZhHans,volume,chapter,conceptIds,difficulty,type,promptZhHans,optionsZhHans,answer,acceptedAnswers,explanationZhHans,evidenceCardIds,examPatternCardIds,sourceDistanceStatus,mathQaStatus,terminologyQaStatus,reviewNotes
hjb-high-ds-v4-s4-001,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,multiple-choice,"V4修复变式0001：选择：设集合 A={1,2,3,...,118}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。",14 | 13 | 12 | 15,13,13,B 中元素为不超过 118 的 9 的倍数，共 floor(118/9)=13 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-002,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,fill-in,"V4修复变式0002：填空：设集合 A={1,2,3,...,31}，B 为 A 中能被 9 整除的数，C 为 A 中能被 10 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,6,6,|B|=floor(31/9)=3，|C|=floor(31/10)=3，|B∩C|=floor(31/90)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-003,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,short-answer,"V4修复变式0003：解答：设集合 A={1,2,3,...,73}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",,12,12,B 中元素为不超过 73 的 6 的倍数，共 floor(73/6)=12 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-004,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,multiple-choice,"V4修复变式0004：选择：设集合 A={1,2,3,...,134}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。",22 | 25 | 23 | 24,23,23,|B|=floor(134/10)=13，|C|=floor(134/11)=12，|B∩C|=floor(134/110)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=23。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-005,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,fill-in,"V4修复变式0005：填空：设集合 A={1,2,3,...,169}，集合 B 为其中能被 12 整除的数。求集合 B 的元素个数。",,14,14,B 中元素为不超过 169 的 12 的倍数，共 floor(169/12)=14 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-006,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,short-answer,"V4修复变式0006：解答：设集合 A={1,2,3,...,88}，B 为 A 中能被 6 整除的数，C 为 A 中能被 7 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,22,22,|B|=floor(88/6)=14，|C|=floor(88/7)=12，|B∩C|=floor(88/42)=2。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=22。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-007,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Foundation,multiple-choice,"V4修复变式0007：选择：设集合 A={1,2,3,...,84}，集合 B 为其中能被 6 整除的数。求集合 B 的元素个数。",15 | 13 | 16 | 14,14,14,B 中元素为不超过 84 的 6 的倍数，共 floor(84/6)=14 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-008,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Exam,fill-in,"V4修复变式0008：填空：设集合 A={1,2,3,...,34}，B 为 A 中能被 10 整除的数，C 为 A 中能被 11 整除的数。求只属于 B 和 C 中一个集合的元素个数。",,6,6,|B|=floor(34/10)=3，|C|=floor(34/11)=3，|B∩C|=floor(34/110)=0。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=6。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-009,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Core,short-answer,"V4修复变式0009：解答：设集合 A={1,2,3,...,68}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。",,8,8,B 中元素为不超过 68 的 8 的倍数，共 floor(68/8)=8 个。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual,pending-manual,V4 remediated candidate row; prompt prefix normalized from frozen V4 baseline to clear exact-duplicate gate while preserving row mathematics. S18 manual re-review required before app integration.
hjb-high-ds-v4-s4-010,S4,hjb-high-s4-集合与逻辑,集合与逻辑,必修 第一册,集合与逻辑,sets | set-operations | logic-conditions | quantifiers,Challenge,multiple-choice,"V4修复变式0010：选择：设集合 A={1,2,3,...,34}，B 为 A 中能被 4 整除的数，C 为 A 中能被 5 整除的数。求只属于 B 和 C 中一个集合的元素个数。",14 | 12 | 13 | 11,12,12,|B|=floor(34/4)=8，|C|=floor(34/5)=6，|B∩C|=floor(34/20)=1。只属于一个集合的元素个数为 |B|+|C|-2|B∩C|=12。,hjb-high-compulsory-1-sets-logic,hjb-high-compulsory-1-sets-logic-unit-core | hjb-high-compulsory-1-sets-logic-topic-review,passed-auto-source-scan,pending-manual-re-review,pending-manual-re-review,V4 remediated candidate row; issue classes addressed: difficulty-rigor-p2 | set-richness. Original V4 package remains frozen; S18 manual re-review required before app integration.
