templateFamilyId,illustrationPhase,gptImage2Batch,suggestedImageKind,questionCount,representativeQuestionId,approvedBasePath,candidateCountPlanned,model,size,quality,prompt
pep-junior-illustration-template-001,core,batch-1-core-plane-geometry,parallel lines cut by a transversal diagram,33,pep-junior-v2-s1-k04-fi-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-001.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: two parallel lines cut by one transversal, with open angle regions and parallel marks but no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-002,core,batch-1-core-plane-geometry,basic plane-geometry angle diagram,22,pep-junior-v2-s1-k03-mc-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-002.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: rays or line segments forming adjacent angle regions, with open arcs and no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-003,core,batch-1-core-plane-geometry,basic plane-geometry angle diagram,22,pep-junior-v2-s1-k03-fi-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-003.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: rays or line segments forming adjacent angle regions, with open arcs and no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-004,core,batch-1-core-plane-geometry,basic plane-geometry angle diagram,22,pep-junior-v2-s1-k03-sa-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-004.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: rays or line segments forming adjacent angle regions, with open arcs and no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-005,core,batch-1-core-plane-geometry,right triangle side-length diagram,34,pep-junior-v2-s2-k08-fi-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-005.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: one right triangle with a right-angle square and blank side-label space.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-006,core,batch-1-core-plane-geometry,quadrilateral side/parallel-mark diagram,34,pep-junior-v2-s2-k08-sa-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-006.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: a clean parallelogram or quadrilateral with parallel-side cue marks and blank vertex-label space.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-007,core,batch-1-core-plane-geometry,triangle angle/congruence diagram,34,pep-junior-v2-s2-k06-mc-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-007.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: a triangle diagram with angle arcs and side tick placeholders but no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-008,core,batch-1-core-plane-geometry,triangle angle/congruence diagram,34,pep-junior-v2-s2-k06-fi-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-008.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: a triangle diagram with angle arcs and side tick placeholders but no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-009,core,batch-1-core-plane-geometry,triangle angle/congruence diagram,33,pep-junior-v2-s2-k06-sa-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-009.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: a triangle diagram with angle arcs and side tick placeholders but no labels.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
pep-junior-illustration-template-010,core,batch-1-core-plane-geometry,similar triangles or similar polygons diagram,67,pep-junior-v2-s3-k11-fi-001,/question-illustrations/mainland-pep-junior/base/pep-junior-illustration-template-010.png,3,gpt-image-2,1536x1024,medium,"Create an original clean middle-school math diagram base.
Diagram type: two separated similar triangles, one larger and one smaller, with corresponding sides visually aligned.
Use clean geometric construction lines with precise-looking but unlabeled arcs, tick marks, and open label areas.
Style: simple black or dark-gray vector-like line art, balanced landscape composition, white opaque background, clear margins.
Leave generous blank space around all points, line segments, arcs, axes, curves, ticks, and marker positions for later deterministic labels.
Draw only the unlabeled mathematical structure and neutral marker placeholders; keep exact numbers, point names, equations, formulas, Chinese text, answer text, and solution steps out of the image.
Do not include publisher branding, watermarks, textbook page texture, decorative scenes, students, characters, colored backgrounds, or copied textbook styling.
Use a generic original textbook-style layout suitable for a Chinese middle-school math app, with no final-answer hint."
