questionId,status,decision,reviewNotes,grade,family,needLevel,illustrationKind,priority,imagePath,promptZhHans,imageBriefZhHans
pep-primary-p1-u-mc-001,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-001.png,乐乐有14枚彩笔，已经用掉11枚，还剩多少枚？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：乐乐有14枚彩笔，已经用掉11枚，还剩多少枚？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-002,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-002.png,第2小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第2小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-003,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-003.png,第3小组：一个数的组成中，总数是11，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第3小组：一个数的组成中，总数是11，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-004,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-004.png,第4小组：一个数的组成中，总数是12，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第4小组：一个数的组成中，总数是12，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-005,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-005.png,第5小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第5小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-006,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-006.png,第6小组：一个数的组成中，总数是14，其中一部分是6，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第6小组：一个数的组成中，总数是14，其中一部分是6，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-007,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-007.png,第7小组：一个数的组成中，总数是15，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第7小组：一个数的组成中，总数是15，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-008,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-008.png,第8小组：一个数的组成中，总数是16，其中一部分是10，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第8小组：一个数的组成中，总数是16，其中一部分是10，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-009,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-009.png,第9小组：一个数的组成中，总数是17，其中一部分是12，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第9小组：一个数的组成中，总数是17，其中一部分是12，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-010,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-010.png,第10小组：一个数的组成中，总数是18，其中一部分是14，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第10小组：一个数的组成中，总数是18，其中一部分是14，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-011,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-011.png,第11小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第11小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-012,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-012.png,第12小组：一个数的组成中，总数是8，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第12小组：一个数的组成中，总数是8，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-013,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-013.png,第13小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第13小组：一个数的组成中，总数是9，其中一部分是8，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-014,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-014.png,第14小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第14小组：一个数的组成中，总数是10，其中一部分是7，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-015,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-015.png,第15小组：一个数的组成中，总数是11，其中一部分是6，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第15小组：一个数的组成中，总数是11，其中一部分是6，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-016,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-016.png,第16小组：一个数的组成中，总数是12，其中一部分是5，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第16小组：一个数的组成中，总数是12，其中一部分是5，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-017,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-017.png,第17小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第17小组：一个数的组成中，总数是13，其中一部分是4，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-018,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-018.png,第18小组：一个数的组成中，总数是14，其中一部分是3，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第18小组：一个数的组成中，总数是14，其中一部分是3，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-019,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-019.png,第19小组：一个数的组成中，总数是15，其中一部分是2，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第19小组：一个数的组成中，总数是15，其中一部分是2，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-020,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-020.png,第20小组：一个数的组成中，总数是16，其中一部分是1，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第20小组：一个数的组成中，总数是16，其中一部分是1，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-021,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-021.png,第21小组：一个数的组成中，总数是17，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第21小组：一个数的组成中，总数是17，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-022,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-022.png,第22小组：一个数的组成中，总数是18，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第22小组：一个数的组成中，总数是18，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
pep-primary-p1-u-mc-023,pending,,,P1,number-sense,core,ten-frame,P1,candidates/P1/number-sense/pep-primary-p1-u-mc-023.png,第23小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？,为人教版小学数学“20以内数感”题目生成一张数数物/十框/数的组成题目插图。题干：第23小组：一个数的组成中，总数是19，其中一部分是16，另一部分是多少？画面要求：原创、儿童友好、清晰留白、不要教材页截图、不要品牌标识、不要生成答案；精确数字和公式后续可由程序叠加。
