"id","grade","volume","chapter","topicTitleZhHans","type","difficulty","severity","issueCodes","promptZhHans","answer","recommendation"
"hjb-high-ds-v4-s4-008","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Exam","P2","difficulty-rigor-p2","V4安全变式0008：填空：设集合 A={1,2,3,...,34}，集合 B 为其中能被 10 整除的数。求集合 B 的元素个数。","3","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-028","S4","必修 第一册","集合与逻辑","集合与逻辑","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式0028：选择：设集合 A={1,2,3,...,43}，集合 B 为其中能被 8 整除的数。求集合 B 的元素个数。","5","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-050","S4","必修 第一册","集合与逻辑","集合与逻辑","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0050：填空：设集合 A={1,2,3,...,116}，集合 B 为其中能被 9 整除的数。求集合 B 的元素个数。","12","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-056","S4","必修 第一册","等式与不等式","等式与不等式","fill-in","Exam","P2","difficulty-rigor-p2","V4安全变式0056：填空：解不等式 x+6>8，求 x 的取值范围右端常数 8-6 的值。","2","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-126","S4","必修 第一册","幂、指数与对数","幂、指数与对数","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0126：解答：已知 log_2(2^14)=m，求 m。","14","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-134","S4","必修 第一册","幂、指数与对数","幂、指数与对数","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0134：填空：已知 log_2(2^12)=m，求 m。","12","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-148","S4","必修 第一册","幂、指数与对数","幂、指数与对数","multiple-choice","Exam","P2","difficulty-rigor-p2","V4安全变式0148：选择：已知 log_12(12^22)=m，求 m。","22","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-170","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","fill-in","Challenge","P2","difficulty-rigor-p2","V4安全变式0170：填空：函数 f(x)=7^x，求 f(2)。","49","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-174","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0174：解答：函数 f(x)=3^x，求 f(2)。","9","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-198","S4","必修 第一册","幂函数、指数函数与对数函数","幂函数、指数函数与对数函数","short-answer","Challenge","P2","difficulty-rigor-p2","V4安全变式0198：解答：函数 f(x)=11^x，求 f(2)。","121","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
"hjb-high-ds-v4-s4-208","S4","必修 第一册","函数的概念、性质及应用","函数的概念、性质及应用","multiple-choice","Challenge","P2","difficulty-rigor-p2","V4安全变式0208：选择：已知 f(x)=12x+4，求 f(17)。","208","P2 manual QA issue(s): Difficulty label overstates the one-step template; rewrite for richer Challenge/Exam reasoning before integration."
