id,grade,semester,type,knowledgePointId,status,severity,issueTags,correctedAnswer,rationale,answer,promptZhHans
pep-junior-v3-s1-k01-sa-003,S1,upper,short-answer,pep-junior-s1-upper-rational-numbers,fail,major,math_error|answer_mismatch|ambiguous_mc,7 或 5/3,题目未限制P与N的位置关系，存在两个解：x=7（P在N右侧）和x=5/3（P在M、N之间）。答案仅给出7，且解释中承认两个解但未在答案中体现，导致答案不完整。应明确列出两个解。,7,在数轴上，点 M 表示 -1，点 N 表示 3。若点 P 在点 M 右侧，且到点 M 的距离是到点 N 距离的 2 倍，求点 P 表示的数。
pep-junior-v3-s1-k02-mc-001,S1,upper,multiple-choice,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,ambiguous_mc|bad_options|answer_mismatch,,四个选项化简后均为3x-5，题目要求选择“下列哪个式子化简后等于3x-5”，但所有选项都正确，导致答案不唯一，且解释中承认所有选项正确却指定C为答案，存在严重歧义。,5x-2-2x-3,下列哪个式子化简后等于3x-5？
pep-junior-v3-s1-k02-fi-006,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,major,grade_mismatch,,因式分解x²-5x+6属于八年级内容，七年级上学期未学，超纲。,(x - 2)(x - 3),因式分解：x² - 5x + 6。
pep-junior-v3-s1-k02-fi-007,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,grade_mismatch|missing_condition,,题目为反比例函数，属于八年级下册内容，与S1上学期一元一次方程单元不符，且未说明k为常数，存在超纲和条件缺失。,-6,"反比例函数y = k/x的图象经过点(2, -3)，则k的值为______。"
pep-junior-v3-s1-k02-fi-008,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,grade_mismatch|missing_condition,,平行线性质属于七年级下册内容，与S1上学期一元一次方程单元不符，且未明确∠1与同旁内角的位置关系，条件不充分。,110,已知直线a∥b，直线c与a、b相交，∠1 = 70°，则∠1的同旁内角为______度。
pep-junior-v3-s1-k02-fi-009,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,grade_mismatch,,一元二次方程根的判别式属于九年级上册内容，与S1上学期一元一次方程单元严重不符。,4,一元二次方程x² - 4x + m = 0有两个相等的实数根，则m = ______。
pep-junior-v3-s1-k02-fi-010,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,grade_mismatch,,平面直角坐标系及对称点坐标属于七年级下册内容，与S1上学期一元一次方程单元不符。,"(3, 2)","在平面直角坐标系中，点P(3, -2)关于x轴对称的点的坐标是______。"
pep-junior-v3-s1-k02-fi-021,S1,upper,fill-in,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,math_error|answer_mismatch,-2,化简正确，代入计算应为-3×1+2-1=-2，但答案和解释最后一句写为-3，矛盾。正确答案是-2。,-3,先化简，再求值：\(3(a^2 - 2ab) - (6a^2 - 5ab + 1)\)，其中 \(a = -1\)，\(b = 2\)。
pep-junior-v3-s1-k02-sa-003,S1,upper,short-answer,pep-junior-s1-upper-expressions-linear-equations,fail,blocker,math_error|answer_mismatch,2,计算过程为4-6+4=2，但答案写为-2，解释最后一句也写-2，矛盾。正确答案是2。,-2,计算：\((-2)^3 \times \left(-\frac{1}{2}\right) - |-3| \div \frac{1}{2} + \sqrt{16}\)。
pep-junior-v3-s1-k03-sa-021,S1,upper,short-answer,pep-junior-s1-upper-geometric-figures,warn,minor,ambiguous_mc,,题目未给出具体俯视图数字，答案依赖假设，但解释合理，答案形式可接受。建议补充俯视图数据以避免歧义。,从正面看：第一列3个，第二列2个，第三列1个；从左面看：第一列3个，第二列2个，第三列2个。,一个几何体由几个大小相同的小立方块搭成，从上面看得到的形状图是3×3的网格，每个位置上的数字表示该位置小立方块的个数。请你画出从正面看和从左面看得到的形状图。
pep-junior-v3-s1-k04-mc-018,S1,lower,multiple-choice,pep-junior-s1-lower-lines-coordinates,fail,major,ambiguous_mc,,题目要求表示为45x+15，但选项中也包含60(x-1)，两者都正确表示总人数，但题目只接受一个答案，造成歧义。,45x+15,某校组织七年级学生春游，若租用45座客车，则有15人没有座位；若租用同样数量的60座客车，则多出一辆车，且其余车刚好坐满。设租用45座客车x辆，则学生总人数可表示为（ ）。
