id,grade,unitTitle,type,difficulty,deepseekSeverity,deepseekIssueCodes,deepseekConfidence,codexAdjudication,releaseBlocker,codexIndependentAnswerZhHans,storedAnswer,recommendedFixZhHans,codexReasonZhHans,deepseekAnswerCheckZhHans,deepseekIssueDetailsZhHans,sourcePromptZhHans,sourceOptionsZhHans,sourceExplanationZhHans
hjb-junior-ds-v2-s1-258,S1,一元一次不等式,short-answer,Core,P1,wrong-answer | explanation-mismatch,high,minor-or-format-review,no,设购进 x 本，已售 (x-15) 本，利润 8(x-15)-5x≥120，解得 x≥95，故至少购进 95 本。,95,修改解析为不等式求解，或调整题干为“恰好获利120元时购进了多少本”。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案 95 与不等式解集 x≥95 的最小整数一致，但解析过程错误地使用了等式，且未体现不等式思想。,题干要求“至少购进多少本”，但方程解得 x=95 是恰好获利120本时的精确值，并非不等式求解。若按不等式 8(x-15)-5x≥120 解得 x≥95，则“至少”应为95本，但解析中直接列等式，且未体现“至少”的不等式思想。此外，题目属于不等式单元，却用等式求解，与单元目标不符。,某书店购进一批图书，每本进价5元，售价8元。当卖到还剩15本时，除去所有成本已获利120元。问该书店至少购进了多少本图书？,,设购进x本，则已售(x-15)本。利润=售价-进价=8(x-15)-5x=120，解得x=95。此时“至少”指恰好获利120元时的最小购进量，即95本。
hjb-junior-ds-v2-s1-264,S1,一元一次不等式,short-answer,Core,P1,wrong-answer | explanation-mismatch,medium,minor-or-format-review,no,"设45座客车 x 辆，60座客车 y 辆，则 45x+60y=240，即 3x+4y=16，x,y 为非负整数。解得 (0,4) 和 (4,1)。费用：0*220+4*300=1200≤2500；4*220+1*300=1180≤2500。故有两种方案。",方案一：租0辆45座客车，4辆60座客车，总费用1200元；方案二：租4辆45座客车，1辆60座客车，总费用1180元,"完善解析，明确 x,y 为非负整数，并说明由 3x+4y=16 得 y≤4。",Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案正确，但解析中“y为0到4的整数”未说明理由，且未明确非负整数条件，可能不够严谨。,"题干要求“每辆车都坐满”，但方案一租0辆45座客车、4辆60座客车，总座位数240，恰好坐满；方案二租4辆45座客车、1辆60座客车，总座位数240，也恰好坐满。但解析中方程 3x+4y=16 解得 (x,y)=(0,4) 和 (4,1)，正确。然而，标准答案中方案一总费用为1200元，计算正确（0*220+4*300=1200）；方案二总费用为1180元，计算正确（4*220+1*300=1180）。但题干要求“总租车费用不超过2500元”，两个方案均满足。问题在于：是否还有其他整数解？由 3x+4y=16，x,y 为非负整数，解得 (0,4), (4,1), (8,-2) 舍去，所以只有两组解。因此答案正确。但解析中未明确说明 y 为整数且非负，且未验证费用条件。此外，答案表述为“方案一：...；方案二：...”，但未说明是否还有其他方案。实际上只有两种方案，答案正确。但需注意：题干要求“列出所有可能的租车方案”，答案列出了两种，正确。然而，解析中“y为0到4的整数”不准确，因为 y 可以大于4吗？由 3x+4y=16，y 最大为4，所以范围正确。但解析未明确说明 x,y 为非负整数。整体上，答案和解析一致，但存在小瑕疵：解析中“y为0到4的整数”应说明理由。但这不是严重错误。然而，我注意到一个潜在问题：题干说“每辆车都坐满”，但方案一租0辆45座客车，是否允许租0辆？通常租车方案中，车辆数可以为0，但需确认。在不等式单元，此类问题通常允许0辆。但答案中“租0辆45座客车”表述可能引起歧义，但数学上合理。因此，我认为题目可接受，但解析不够严谨。但根据规则，如果答案和解析不一致，必须标记 needs-review。这里答案和解析一致，但解析有瑕疵。我决定标记为 needs-review，因为解析中“y为0到4的整数”未说明依据，且未明确非负整数条件，可能导致学生误解。但这不是 P1 错误，可能是 P2。然而，题干要求“每辆车都坐满”，解析中方程 3x+4y=16 正确，但未考虑车辆数非负，但解得的结果恰好非负。所以，我认为可以 pass，但为了严格，我标记为 needs-review，severity P2。",某校七年级学生计划租用45座和60座两种客车去博物馆参观。租用45座客车每辆220元，60座客车每辆300元。学校共有240名学生，要求每辆车都坐满且总租车费用不超过2500元。请列出所有可能的租车方案（用45座客车辆数和60座客车辆数表示），并计算每种方案的总费用。,,"设租45座客车x辆，60座客车y辆，则45x+60y=240，即3x+4y=16，且220x+300y≤2500。y为0到4的整数，解得(x,y)=(0,4)费用1200元，(4,1)费用1180元，均满足条件。"
hjb-junior-ds-v2-s1-285,S1,一元一次不等式,short-answer,Foundation,P1,wrong-answer | explanation-mismatch,medium,minor-or-format-review,no,不等式为 (x - 15)(800 - 20x) ≥ 2000，解得 20 ≤ x ≤ 35。,不等式为 (x - 15)(800 - 20x) ≥ 2000，解得 20 ≤ x ≤ 35。,建议修改acceptedAnswers，仅保留完整的不等式和取值范围，或明确说明仅取值范围也可接受。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,独立解题结果与标准答案一致，但acceptedAnswers中包含了仅取值范围，可能造成评分歧义。,题目要求列出不等式并求x的取值范围，但标准答案和解析中给出的不等式是二次不等式，而题目属于一元一次不等式单元，且解析中展开后得到二次不等式，但最终解集正确。然而，题目要求列出关于x的不等式，标准答案中包含了不等式和取值范围，但acceptedAnswers中包含了仅取值范围的情况，这可能导致学生只写取值范围而被判错。此外，解析中展开后得到-20x²+1100x-12000 ≥ 2000，整理得x²-55x+700 ≤ 0，因式分解为(x-20)(x-35) ≤ 0，解得20 ≤ x ≤ 35，但题目要求列出不等式，标准答案中给出了不等式，但acceptedAnswers中包含了仅取值范围，这可能导致评分不一致。,某商店销售一种成本为每件15元的文具，售价为每件x元。根据市场调查，当售价定为每件x元时，每天可售出(800 - 20x)件。若商店希望每天的利润不低于2000元，请列出关于x的不等式，并求出x的取值范围。,,单件利润为(x-15)元，日销量为(800-20x)件，日利润为(x-15)(800-20x)。由(x-15)(800-20x) ≥ 2000，展开得-20x²+1100x-12000 ≥ 2000，整理得x²-55x+700 ≤ 0，因式分解为(x-20)(x-35) ≤ 0，解得20 ≤ x ≤ 35。
hjb-junior-ds-v2-s1-368,S1,相交线与平行线,fill-in,Core,P2,accepted-answer-gap,medium,minor-or-format-review,no,∠1+∠2=65°+115°=180°，同旁内角互补，所以l1∥l2。依据：同旁内角互补，两直线平行。,平行；同旁内角互补，两直线平行,考虑调整acceptedAnswers，使其更精确地匹配标准答案，或添加说明部分得分规则。,问题类型为 P2 或 accepted-answer/格式风险，未显示题干不可解或标准答案硬错误。,标准答案正确。,标准答案为'平行；同旁内角互补，两直线平行'，acceptedAnswers包含'平行；同旁内角互补，两直线平行'、'平行；同旁内角互补'和'平行'。但填空题要求填写两个空，第一个空填'平行'，第二个空填依据。如果学生只填'平行'，可能只得到部分分数，但acceptedAnswers允许只填'平行'，这可能导致评分不准确。建议acceptedAnswers只保留完整答案，或明确部分得分规则。,直线l1与l2被直线l3所截，∠1和∠2是一对同旁内角。若∠1=65°，∠2=115°，则l1与l2的位置关系是______，依据是______。,,∠1+∠2=180°，满足同旁内角互补，根据平行线判定定理，l1∥l2。
hjb-junior-ds-v2-s1-374,S1,相交线与平行线,fill-in,Core,P2,accepted-answer-gap,medium,minor-or-format-review,no,2（或任何 ≤3 的正数）,2,建议将 acceptedAnswers 改为描述性规则（如“≤3 的正数”）或扩大列表以覆盖常见值，并确保标准答案在列表中。,问题类型为 P2 或 accepted-answer/格式风险，未显示题干不可解或标准答案硬错误。,标准答案 2 是正确的一个可能值，但 acceptedAnswers 列表与标准答案不完全一致，且未覆盖所有合理答案。,标准答案为 2，但 acceptedAnswers 包含大量小于等于 3 的值，而题干要求“写出一个满足条件的值即可”，理论上任何 ≤3 的正数均可。但 acceptedAnswers 列表虽广，却未明确覆盖所有可能（如 0.05 等），且标准答案仅为 2，可能造成评分歧义。建议明确 acceptedAnswers 范围或改为任意 ≤3 的正数。,点P在直线l外，点A、B、C在直线l上，PA = 3 cm，PB = 4 cm，PC = 5 cm。则点P到直线l的距离可能是______cm。（写出一个满足条件的值即可）,,点到直线的距离是垂线段长度，垂线段最短。已知PA=3 cm，PB=4 cm，PC=5 cm，其中PA最短，因此距离d ≤ 3 cm。只要写出小于或等于3的正数即可，例如2 cm。
hjb-junior-ds-v2-s1-485,S1,等腰三角形,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,medium,minor-or-format-review,no,BD=CD,BD=CD,修正解析，删除错误的三线合一推论，直接说明由AB=AC得∠B=∠C，若添加BD=CD，则可用SAS证明全等。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案BD=CD可能正确，但解析错误地使用了AD垂直平分BC的结论，该结论并非已知。,解析错误地声称AD垂直平分BC，但题干仅给出AB=AC和AD平分∠BAC，未说明D是BC中点，因此AD不一定是中线和高。若BD=CD，则D是BC中点，但此时AD是中线，结合等腰三角形性质可得AD垂直平分BC，但题干未明确D的位置。选项BD=CD作为条件，结合DE=DF和∠B=∠C，可以证明△BDE≌△CDF（SAS），但解析中错误地认为AD垂直平分BC是已知条件。实际上，若添加BD=CD，则D是BC中点，但题干未说明D是BC中点，因此BD=CD是额外条件。题目本身可能正确，但解析有误。,在△ABC中，AB=AC，点D在边BC上，且AD平分∠BAC。点E在边AB上，点F在边AC上，且DE=DF。下列条件中，能推出△BDE≌△CDF的是（ ）,BD=CD | ∠BDE=∠CDF | BE=CF | ∠BED=∠CFD,由AB=AC，AD平分∠BAC，得AD垂直平分BC，故BD=CD。又DE=DF，∠B=∠C（等边对等角），若添加BD=CD，则△BDE≌△CDF（SAS）。其他选项均不能唯一确定全等。
hjb-junior-ds-v2-s1-487,S1,等腰三角形,multiple-choice,Core,P1,wrong-answer | explanation-mismatch,medium,minor-or-format-review,no,90°,90°,修正解析，明确说明等腰三角形顶角平分线也是底边中线和高，因此AD⊥BC。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案90°正确，但解析表述有瑕疵。,解析错误地认为等腰三角形底边中线也是高，但题干仅给出AD平分∠BAC，未说明D是BC中点，因此AD不一定是中线和高。实际上，由AB=AC，AD平分∠BAC，根据等腰三角形三线合一，AD也是底边中线和高，因此AD⊥BC，∠ADC=90°。但解析表述不严谨，直接说“等腰三角形底边中线也是高”容易引起误解，因为D不一定是中点。然而，根据角平分线性质，在等腰三角形中，顶角平分线也是底边中线和高，所以结论正确。但解析应明确说明三线合一。,在△ABC中，AB = AC，点D在BC上，且AD平分∠BAC。若∠B = 70°，则∠ADC的度数为（ ）,90° | 100° | 110° | 120°,等腰三角形底边中线也是高，AD⊥BC，∠ADC=90°。
hjb-junior-ds-v2-s2-030,S2,实数,short-answer,Exam,P1,wrong-answer,medium,minor-or-format-review,no,3.6 cm,3.7 cm,修正解析中的比较逻辑，或直接使用四舍五入法。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案为 3.7 cm，但根据四舍五入，³√50 ≈ 3.684，精确到 0.1 应为 3.7 cm。然而解析中称 50 更接近 50.653，这是错误的，实际上 50 与 46.656 的差为 3.344，与 50.653 的差为 0.653，因此 50 更接近 50.653，所以 3.7 更接近。但 3.684 四舍五入为 3.7，答案正确。解析中的比较方法有误，但答案正确。,标准答案 3.7 cm 不精确。3.7³=50.653，3.6³=46.656，50 更接近 46.656 而非 50.653，因此精确到 0.1 cm 应为 3.6 cm。,已知一个正方体的体积是50 cm³，求它的棱长（精确到0.1 cm）。,,棱长=³√50。因为3.7³=50.653，3.6³=46.656，且50更接近50.653，所以³√50≈3.7 cm。
hjb-junior-ds-v2-s2-038,S2,实数,fill-in,Exam,P1,wrong-answer | explanation-mismatch,high,minor-or-format-review,no,10,10,解析中b³的推导可更清晰，但无实质错误，可保留。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案10正确，解析过程基本正确，但需注意符号书写，但最终无误。,标准答案为10，但独立计算得a²=2，b³=8，和为10。然而解析中a²计算正确，b³求解过程有误：由b³+3b-14=0解得b=2，但b=2代入得8+6-14=0，正确；但b³=8，最终和为10。但需验证b的表达式：b=³√(7+5√2)+³√(7-5√2)，设u=³√(7+5√2)，v=³√(7-5√2)，则u³+v³=14，uv=³√(49-50)= -1，由(u+v)³=u³+v³+3uv(u+v)得b³=14-3b，即b³+3b-14=0，因式分解(b-2)(b²+2b+7)=0，实数解b=2，故b³=8。解析中写为b³=14+3(-1)b，即b³=14-3b，正确。但解析最后写“b³=14+3(-1)b，即b³+3b-14=0”，移项应为b³+3b-14=0，正确。但解析中“b³=14+3(-1)b”应为“b³=14-3b”，然后移项得b³+3b-14=0，无误。但答案10正确。然而，解析中“b³=14+3(-1)b”后直接写“即b³+3b-14=0”，实际上b³=14-3b移项得b³+3b-14=0，正确。但需检查a²计算：a=√(3+√5)-√(3-√5)，平方得(3+√5)+(3-√5)-2√((3+√5)(3-√5))=6-2√(9-5)=6-4=2，正确。最终和为10。但标准答案和解析一致，为何标记needs-review？因为解析中b³的推导有笔误：写为“b³=14+3(-1)b”实际应为“b³=14-3b”，但结果正确。但题目本身可解，答案正确，解析基本正确，但存在小瑕疵。然而，根据规则，如果题目答案和解析不一致，即使题干本身可解，也必须标记needs-review。这里答案和解析一致，但解析中有一处符号错误（虽然不影响结果），但严格来说解析有误。但规则说“如果题目答案和解析不一致”，这里一致，所以可能pass。但为了安全，检查解析是否完全正确：解析中“由 (u+v)³ = u³+v³+3uv(u+v) 得 b³ = 14 + 3(-1)b，即 b³+3b-14=0”，实际上(u+v)³=u³+v³+3uv(u+v) => b³=14+3*(-1)*b=14-3b，移项得b³+3b-14=0，正确。所以解析无误。但解析中写“b³=14+3(-1)b”就是14-3b，没问题。所以答案和解析一致，题目可解。但独立验证：a²=2，b³=8，和10。所以应该pass。但之前QA说missing recommendedActionZhHans，现在补充。所以改为pass。,已知 a = √(3+√5) - √(3-√5)，b = ³√(7+5√2) + ³√(7-5√2)。请计算 a² + b³ 的值。,,先求 a²：a² = (√(3+√5) - √(3-√5))² = (3+√5) + (3-√5) - 2√((3+√5)(3-√5)) = 6 - 2√(9-5) = 6 - 4 = 2。再求 b³：设 u = ³√(7+5√2)，v = ³√(7-5√2)，则 u³+v³=14，uv = ³√(49-50) = -1。由 (u+v)³ = u³+v³+3uv(u+v) 得 b³ = 14 + 3(-1)b，即 b³+3b-14=0，解得 b=2，故 b³=8。所以 a²+b³=2+8=10。
hjb-junior-ds-v2-s2-068,S2,二次根式,fill-in,Challenge,P1,wrong-answer | explanation-mismatch,medium,minor-or-format-review,no,x=5,x=5,修改解析，明确说明：因为√(2x-4)与√(x+1)可合并为最简二次根式，所以它们化简后被开方数相同。√(2x-4)=√[2(x-2)]，√(x+1)已最简，故2(x-2)=x+1，解得x=5，经检验满足定义域且均为最简二次根式。,Codex 独立答案与题库答案一致，问题集中在解析严谨性、变量名、单位或评分格式。,标准答案正确，但解析过程不严谨，需补充说明。,解析中由2(x-2)=x+1解得x=5，但代入原式：√(2*5-4)=√6，√(5+1)=√6，化简后均为√6，可合并。但解析中写“√(2x-4)=√[2(x-2)]，√(x+1)已最简，故2(x-2)=x+1”逻辑不严谨：合并同类二次根式要求化简后被开方数相同，但√(2(x-2))与√(x+1)被开方数分别为2(x-2)和x+1，直接令其相等解得x=5，但需验证此时两者均为最简二次根式且被开方数相同。实际上，当x=5时，√(2x-4)=√6，√(x+1)=√6，确实可合并。但解析中未说明为何能直接令2(x-2)=x+1，且未验证化简后是否为最简二次根式。更严重的是，若考虑二次根式可合并的条件是化简后被开方数相同，但√(2x-4)化简为√[2(x-2)]，若2(x-2)不是完全平方数，则已最简；√(x+1)已最简。令2(x-2)=x+1得x=5，此时被开方数均为6，正确。但若x有其他值使得化简后被开方数相同呢？例如，若2(x-2)和x+1有公因数，但需相等。实际上，方程2(x-2)=x+1是唯一可能。但解析中未考虑定义域：x≥2，x=5满足。然而，标准答案x=5正确，但解析过程有瑕疵：直接令2(x-2)=x+1缺乏依据，应说明因为两者都是最简二次根式，所以被开方数相等。但√(2x-4)不一定是最简，需先化简。实际上，√(2x-4)=√[2(x-2)]，若x-2含有因数2，则可进一步化简。例如，若x=4，则√(2*4-4)=√4=2，不是二次根式；若x=6，则√(2*6-4)=√8=2√2，√(6+1)=√7，不能合并。所以直接令2(x-2)=x+1的前提是两者都已是最简二次根式，但解析未说明。更严谨的做法：设化简后√(2x-4)=k√m，√(x+1)=l√m，但这样复杂。通常解法：由同类二次根式定义，得2x-4与x+1化简后被开方数相同，但需先化简。实际上，2x-4=2(x-2)，x+1已最简，所以2(x-2)与x+1应相等，否则需考虑倍数关系？同类二次根式要求被开方数相同，不是倍数关系。所以直接相等是合理的，但需说明因为两者都是最简二次根式（需验证）。当x=5时，2x-4=6，x+1=6，都是最简二次根式，正确。但解析中未验证最简性，且直接写“故2(x-2)=x+1”可能让学生误解。因此，解析存在逻辑漏洞，但答案正确。标记为needs-review，建议完善解析。,已知二次根式 √(2x-4) 与 √(x+1) 可以合并为最简二次根式，求 x 的值。,,由二次根式有意义得 2x-4≥0 且 x+1≥0，即 x≥2。可合并意味着化简后被开方数相同：√(2x-4)=√[2(x-2)]，√(x+1) 已最简，故 2(x-2)=x+1，解得 x=5，满足 x≥2。
