questionId,grade,volume,unitTitle,questionType,difficulty,needTier,needLevel,priority,visualCategory,family,illustrationKind,needsDeterministicOverlay,assetStatus,imagePath,reason,promptZhHans,imageBriefZhHans
hjb-primary-ds-v1-p1-001,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-001.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师说：“请每个小朋友从盒子里拿出5颗糖果，然后数一数，告诉同桌你拿了几颗。”下面哪个做法是正确的？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-006,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-006.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,老师让小朋友说一说自己书包里有什么数学有关的东西。小明说：“我的书包里有3本数学书。”小红说：“我的书包里有一个圆形的笔筒。”小华说：“我的书包里有很多铅笔。”谁说的话里既有数字又有形状？请写出这个小朋友的名字。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-007,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Challenge,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-007.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师拍手，小朋友要仔细听，然后说出老师拍了几下。下面哪个做法最好？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-013,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-013.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,数学课上，老师请小红说说她看到的铅笔。小红说：“我看到3支红铅笔和2支蓝铅笔，合起来是5支铅笔。”老师又请小明说说他听到的。下面哪个小朋友的做法最好？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-016,P1,一年级上册,我是小学生与数学学习习惯,multiple-choice,Exam,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-016.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,在数学课上，老师要求小朋友先和同桌说一说，再举手回答。老师问：“教室里有3个红气球和2个蓝气球，红气球比蓝气球多几个？”下面哪个做法既符合老师要求，又回答正确？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-018,P1,一年级上册,我是小学生与数学学习习惯,short-answer,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-018.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小明在数学课上观察自己的文具盒，他说：“我的文具盒里有4支铅笔和2块橡皮。”请你帮小明想一想，他还可以怎样用数学的话说一说文具盒里的东西？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-020,P1,一年级上册,我是小学生与数学学习习惯,fill-in,Exam,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-020.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,在数学活动“我说你摆”中，老师对小明说：“请你在桌上摆出5个圆片，然后拿走2个。”小明应该怎样做？请用数字和动作写下来。,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-081,P1,一年级上册,20以内的数与不进位不退位加减,short-answer,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-081.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小乐有1捆小棒（10根）和6根零散小棒，他一共有多少根小棒？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-106,P1,一年级上册,一年级上册整理与复习,multiple-choice,Foundation,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-106.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,下面哪一项是“数一数，再比多少”的任务？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
hjb-primary-ds-v1-p1-141,P1,一年级下册,100以内的数,short-answer,Core,A_required,core,P1,counting_manipulatives,counting-manipulatives,counters,true,not-generated,candidates/hjb-primary-ds-v1-p1-141.png,题干或单元含显性看图/操作/空间方位/图表线索；没有插图会明显影响低龄学生理解题意、还原对象数量或完成空间/图表判断。,小丽用小棒表示数。她摆了6捆小棒（每捆10根）和3根单独的小棒。她表示的数是多少？,用糖果、积木、圆片、小棒等课堂操作物表现数量、比较、合并或分组，画面简洁，便于后续叠加精确数量或标注。
