lessonId,grade,domainId,clusterId,reviewStatus,reviewerNotes
us-ca-k-g5-tx-v1-k-k-cc-count-sequence,K,K.CC,K.CC.count-sequence,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-k-k-cc-cardinality-compare,K,K.CC,K.CC.cardinality-compare,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-k-k-oa-compose-decompose,K,K.OA,K.OA.compose-decompose,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-k-k-nbt-teen-numbers,K,K.NBT,K.NBT.teen-numbers,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-k-k-md-attributes-data,K,K.MD,K.MD.attributes-data,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-k-k-g-shapes-position,K,K.G,K.G.shapes-position,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p1-1-oa-add-subtract,P1,1.OA,1.OA.add-subtract,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p1-1-nbt-place-value,P1,1.NBT,1.NBT.place-value,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p1-1-md-measure-data,P1,1.MD,1.MD.measure-data,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p1-1-g-shape-reasoning,P1,1.G,1.G.shape-reasoning,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p2-2-oa-fluency-arrays,P2,2.OA,2.OA.fluency-arrays,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p2-2-nbt-three-digit-place-value,P2,2.NBT,2.NBT.three-digit-place-value,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p2-2-md-measure-data-money-time,P2,2.MD,2.MD.measure-data-money-time,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p2-2-g-partition-shapes,P2,2.G,2.G.partition-shapes,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p3-3-oa-mult-div,P3,3.OA,3.OA.mult-div,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p3-3-nbt-arithmetic,P3,3.NBT,3.NBT.arithmetic,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p3-3-nf-fraction-meaning,P3,3.NF,3.NF.fraction-meaning,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p3-3-md-time-data-area-perimeter,P3,3.MD,3.MD.time-data-area-perimeter,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p3-3-g-categories,P3,3.G,3.G.categories,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p4-4-oa-factors-patterns,P4,4.OA,4.OA.factors-patterns,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p4-4-nbt-multi-digit,P4,4.NBT,4.NBT.multi-digit,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p4-4-nf-fraction-decimal,P4,4.NF,4.NF.fraction-decimal,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p4-4-md-conversion-angles,P4,4.MD,4.MD.conversion-angles,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p4-4-g-lines-shapes,P4,4.G,4.G.lines-shapes,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p5-5-oa-expressions-patterns,P5,5.OA,5.OA.expressions-patterns,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p5-5-nbt-decimals,P5,5.NBT,5.NBT.decimals,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p5-5-nf-operations,P5,5.NF,5.NF.operations,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p5-5-md-volume-data,P5,5.MD,5.MD.volume-data,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
us-ca-k-g5-tx-v1-p5-5-g-coordinate-shapes,P5,5.G,5.G.coordinate-shapes,pending-s18-human-sampling,Generator validation passed; requires S18/human sampling before production.
